"# Fairway positioning tags for the LISTED LENDING AND SPECIALTY FINANCE set. Written 30-Aug-2026."
# Keyed on exchange_ticker, which is what the loader joins on. Company name is never a key.
#
# THE ONE JUDGEMENT THAT MATTERS IN THIS FILE. Only Lending & Credit and Digital Bank & Deposits are
# priced on PRICE TO BOOK, and balance_sheet_compatible() fences those two archetypes off from every
# other sector in both directions. So a company tagged into them is priced on a lender basis and a
# company tagged out of them can never be compared to a lender. Eleven names in this file are NOT
# tagged as lenders even though the file is called lending, and each was decided on whether the
# company takes credit risk onto its own balance sheet or takes deposits:
#
#   GATX, Willis Lease        own and rent physical assets. No credit extended, no deposits taken
#   FirstCash, EZCORP         pawn. Retail resale of unredeemed collateral is the defining line
#   Upbound, PROG Holdings    lease-to-own is lease-merchandise accounting, not an amortising book
#   Cass Information Systems  invoice audit and payment for a fee; the bank subsidiary holds float
#   Walker & Dunlop           fee-based agency origination, brokerage and servicing, little retained
#   Block                     Daniil ruling: prices on EBITDA, then EV/revenue and P/E, never P/B
#   Chime                     no charter of its own. Deposits and cards sit on partner banks and
#                             revenue is overwhelmingly interchange. FLAG: the market file carries a
#                             P/BV of 6.2x for Chime which this tagging makes unusable. Deliberate,
#                             and worth a second look
#   American Express          led with Lending & Credit, since card member loans funded by its own
#                             bank deposits dominate, with the network as secondary
exchange_ticker,company_name,archetype,archetype_secondary,industry,function,buyer,gtm_motion,revenue_model,product_role,ai_stance,acv_usd_disclosed,in_stats,product_tags,what_it_does
NYSE:OMF,"OneMain Holdings, Inc.",Lending & Credit,,Financial Services,Banking & Lending,CONSUMER,CHANNEL,NET_INTEREST,DESTINATION,AI_EMBEDDED,,1,Subprime Personal Loans|Branch-Based Installment Lending|Debt Consolidation|Auto-Secured Loans|Credit Insurance|Near-Prime Consumer Credit,"originates and services branch-based personal installment loans to non-prime consumers, earning net interest margin funded by securitized and unsecured debt"
NASDAQGS:OPRT,Oportun Financial Corporation,Lending & Credit,,Financial Services,Banking & Lending,CONSUMER,PAID_ACQUISITION,NET_INTEREST,DESTINATION,AI_EMBEDDED,,1,Personal Installment Loans|Credit-Invisible Consumers|Secured Auto Loans|Credit Builder Card|AI Underwriting|Thin-File Lending,"lends to credit-invisible and underbanked consumers through AI-scored personal loans and a secured credit card, earning interest funded by warehouse debt and securitization"
NYSE:PRG,"PROG Holdings, Inc.",Owned-Inventory Retail,Lending & Credit,Retail & E-commerce,Commerce Operations,CONSUMER,CHANNEL,PRODUCT_SALES,DESTINATION,AI_EMBEDDED,,1,Virtual Lease-To-Own|Point-of-Sale Financing|No-Credit-Needed Checkout|Progressive Leasing|Second-Look Credit Cards|BNPL At Checkout,"buys furniture and electronics that partner retailers sell, then leases the merchandise to consumers who don't qualify for traditional credit until they own it outright"
NASDAQGS:PGY,Pagaya Technologies Ltd.,Lending & Credit,"Data, AI & Developer Tools",Financial Services,Banking & Lending,LOB,NETWORK_EFFECT,NET_INTEREST,AGGREGATOR,AI_NATIVE,,1,AI Credit Underwriting|Loan Funding Network|Asset-Backed Securitization|Bank Partner Origination|Point-of-Sale Auto Loans|Personal Loan Network,"uses AI models to price and fund consumer loans originated by bank and fintech partners, warehousing and securitizing the receivables it buys before selling them into ABS"
NYSE:PFSI,"PennyMac Financial Services, Inc.",Lending & Credit,,Financial Services,Banking & Lending,CONSUMER,CHANNEL,NET_INTEREST,DESTINATION,AI_NEUTRAL,,1,Residential Mortgage Origination|Mortgage Servicing Rights|Correspondent Lending|Broker Direct Loans|Loan Production|Agency Mortgage Banking,"originates and services US residential mortgages through retail, broker and correspondent channels, earning gain-on-sale income plus a large mortgage-servicing-rights asset"
NYSE:TFIN,"Triumph Financial, Inc.",Digital Bank & Deposits,Commerce & Payments Software,Financial Services,Banking & Lending,SMB,ENT_SALES,NET_INTEREST,INFRA_LAYER,AI_EMBEDDED,,1,Commercial Banking|Factoring For Truckers|Freight Payments Network|TriumphPay|Deposit-Funded Lending|Trucking Industry Finance,"runs a deposit-taking commercial bank alongside TriumphPay, a freight-invoice payments and factoring network that pays truckers and audits freight bills for brokers"
LSE:SUS,S&U plc,Lending & Credit,,Financial Services,Banking & Lending,CONSUMER,CHANNEL,NET_INTEREST,DESTINATION,AI_NEUTRAL,,1,Used-Car Hire Purchase|Subprime Motor Finance|Property Bridging Loans|Dealer-Sourced Lending|Non-Bank Consumer Credit|UK Regional Lending Branches,"funds used-car hire-purchase agreements for non-prime UK borrowers through dealers, plus short-term property bridging loans, off its own balance sheet"
LSE:OSB,OSB Group Plc,Digital Bank & Deposits,Lending & Credit,Financial Services,Banking & Lending,SMB,CHANNEL,NET_INTEREST,DESTINATION,AI_NEUTRAL,,1,Buy-To-Let Mortgages|Specialist Bridging Finance|Semi-Commercial Mortgages|Kent Reliance Savings|Retail Deposit Funding|Professional Landlord Lending,"takes UK retail savings deposits under the Kent Reliance brand and lends them out as specialist buy-to-let, bridging and semi-commercial mortgages"
LSE:FCH,Funding Circle Holdings plc,Lending & Credit,,Financial Services,Banking & Lending,SMB,NETWORK_EFFECT,NET_INTEREST,AGGREGATOR,AI_EMBEDDED,,1,Online SME Lending|Marketplace Loan Funding|Institutional Loan Funding|Small Business Term Loans|Credit-Scored Underwriting|UK Business Lending Platform,"originates and underwrites small-business term loans online and funds them through institutional capital and its own balance sheet, earning net interest and servicing income"
XTRA:GLJ,Grenke AG,Lending & Credit,Digital Bank & Deposits,Financial Services,Banking & Lending,SMB,CHANNEL,NET_INTEREST,DESTINATION,AI_NEUTRAL,,1,Small-Ticket Equipment Leasing|IT And Office Equipment Finance|SME Factoring|Vendor Finance Programmes|Deposit-Funded Leasing Bank|Cross-Border European Leasing,"finance-leases small-ticket IT and office equipment to SMEs through vendor partnerships, funded partly by deposits taken through its own leasing bank"
