investor	layer	sector	cheque	what is missing
Andbank	CALLABLE|EVIDENCE		3300.0-4800.0 USD	no sector in our vocabulary
Addition	CALLABLE|EVIDENCE		8000.0-8000.0 USD	no sector in our vocabulary
Ada Ventures	CALLABLE	Climate & Energy; Healthcare	0.25-1.5 GBP	no dated deal with a source URL
Backed VC	CALLABLE	Commerce Enablement & Fulfilment; Life Sciences; Local Deliv	0.5-5.0 USD	no dated deal with a source URL
Concept Ventures	CALLABLE	Business Applications; Cloud & Infrastructure; Data, AI & De	1.0-1.0 GBP	no dated deal with a source URL
Founders Factory	CALLABLE	Education	0.03-0.25 GBP	no dated deal with a source URL
Fuel Ventures	CALLABLE	Commerce Enablement & Fulfilment; Consumer Brand; Freelance 	0.1-1.0 GBP	no dated deal with a source URL
Future Planet Capital	CALLABLE	Climate & Energy; Cloud & Infrastructure; Life Sciences		no dated deal with a source URL; no first-cheque range and no round-size range
LocalGlobe / Latitude	CALLABLE	Commerce & Payments Software; Digital Bank & Deposits; Merch	0.5-2.0 GBP	no dated deal with a source URL
MMC Ventures	CALLABLE	Data, AI & Developer Tools	3.2-3.2 USD	no dated deal with a source URL
Maven Capital Partners	CALLABLE	Commerce Enablement & Fulfilment; Local Delivery & On-Demand		no dated deal with a source URL; no first-cheque range and no round-size range
Mercia Ventures	CALLABLE	Cloud & Infrastructure; Education; Healthcare; Life Sciences		no dated deal with a source URL; no first-cheque range and no round-size range
Octopus Ventures	CALLABLE	Climate & Energy; Cybersecurity; Healthcare; Insurance		no dated deal with a source URL; no first-cheque range and no round-size range
Passion Capital	CALLABLE	Commerce & Payments Software; Digital Bank & Deposits; Freel	1.0-2.0 GBP	no dated deal with a source URL
Project A	CALLABLE	Enterprise Applications; Data, AI & Developer Tools; Vertica	1.0-10.0 USD	most recent deal is 15 months old, the rule is 12
SFC Capital	CALLABLE	Education; Vertical Software	0.1-0.3 GBP	no dated deal with a source URL
SyndicateRoom	CALLABLE	Other		no dated deal with a source URL; no first-cheque range and no round-size range; no sector in our vocabulary
