# CAPITAL IQ TPV BLOCK, REVISION 2. Transcribed 31-Aug-2026 from Daniil's corrected screen, USD m.
# Supersedes 2026-08-31_capiq-tpv-block.csv. Five forward series were rebuilt after the first pass
# showed they had inherited a break in the local-currency revenue line.
company_name,exchange_ticker,market_cap_musd,aggregate_value_musd,tpv_cy0,tpv_cy1,tpv_cy2,tpv_ntm,rev_cy1,rev_cy2,rev_ntm,gross_profit_musd,rev_lcy_cy0,rev_lcy_cy1,rev_lcy_cy2,rev_lcy_cy3
"PayPal Holdings, Inc.",NASDAQ:PYPL,52654,55426,1793979,1877151,1958145,1928854,34710,36208,35666,16028,33172,34710,36208,37893
"Fiserv, Inc.",NASDAQ:FISV,27960,54358,4600000,4249690,4414676,4355010,19579,20339,20064,11647,21193,19579,20339,20978
The Western Union Company,NYSE:WU,2277,4054,107400,109467,115658,113419,4129,4362,4278,1443,4051,4129,4362,4480
"Shift4 Payments, Inc.",NYSE:FOUR,3785,8119,209000,255976,292638,279380,5120,5853,5588,3841,4180,5120,5853,6577
"Toast, Inc.",NYSE:TOST,21178,19465,195100,236865,280413,264664,7470,8844,8347,2317,6153,7470,8844,10383
DLocal Limited,NASDAQ:DLO,4452,3645,40816,58912,75788,69685,1578,2031,1867,607,1094,1578,2031,2499
Flywire Corporation,NASDAQ:FLYW,2377,2085,37554,45900,52954,50403,761,879,836,497,623,761,879,1011
"Euronet Worldwide, Inc.",NASDAQ:EEFT,2621,3259,77600,81799,85833,84274,4474,4694,4615,1910,4244,4474,4694,
"Corpay, Inc.",NYSE:CPAY,27389,35307,258452,303398,329870,320297,5316,5780,5612,4443,4528,5316,5780,6272
Paysafe Limited,NYSE:PSFE,359,2679,167000,178036,188034,184419,1814,1916,1879,1053,1701,1814,1916,2003
Payoneer Global Inc.,NASDAQ:PAYO,2409,2149,87503,93274,102915,99429,1122,1238,1196,1025,1053,1122,1238,1388
"Remitly Global, Inc.",NASDAQ:RELY,5646,5007,74912,91018,108698,102304,1987,2373,2233,1498,1635,1987,2373,2822
"Marqeta, Inc.",NASDAQ:MQ,1703,1009,382513,430959,494361,471432,704,808,770,533,625,704,808,920
Adyen N.V.,ENXTAM:ADYEN,39578,25876,1576070,1903642,2306917,2161075,3351,4061,3804,,2376,2870,3478,4166
Wise plc,LSE:WISE,13216,8314,243500,216940,241272,232472,2901,3226,3108,2501,2389,2128,2367,2952
Nexi S.p.A.,BIT:NEXI,5771,10360,982741,1000086,1022222,1014216,4257,4351,4317,,,3646,3727,3847
"Boku, Inc.",AIM:BOKU,454,213,,,,,136,158,150,149,129,136,158,177
CAB Payments Holdings plc,LSE:CABP,285,-399,55251,57990,62293,60737,170,183,178,,119,125,134,153
StoneCo Ltd.,NASDAQ:STNE,2158,3845,100436,112336,118595,116331,2904,3066,3008,1326,13400,14987,15822,16573
PagSeguro Digital Ltd.,NYSE:PAGS,2376,2451,94992,101927,108181,105919,4105,4357,4266,1681,19743,21185,22485,22734
One97 Communications Limited,NSEI:PAYTM,10922,9397,269565,336134,418541,388739,1054,1312,1219,793,80844,100899,125523,151342
One MobiKwik Systems Limited,NSEI:MOBIKWIK,162,97,20625,23850,29707,27589,133,165,154,64,10983,12700,15819,
"GMO Payment Gateway, Inc.",TSE:3769,4405,3455,146256,168826,199396,188340,615,726,686,454,84695,97765,115468,134837
Tyro Payments Limited,ASX:TYR,342,273,30027,31586,31954,31821,368,372,371,182,488,513,519,558
OFX Group Limited,ASX:OFX,136,81,25390,23221,26329,25205,144,163,156,,219,201,227,
EML Payments Limited,ASX:EML,77,112,15674,15355,16064,15807,156,163,160,112,222,217,227,229
Hightech Payment Systems,CBSE:HPS,518,532,,,,,183,212,202,,1521,1691,1958,2011
Nu Holdings Ltd.,NYSE:NU,70431,70340,,,,,22793,27420,25747,10685,6991,22793,27420,34934
