#,fixture,what it says it is,archetype,listed comparables,private comparables,flags,VERDICT (Daniil)
1,fundraisly,Investor matching and outreach run as a productized agency for founders raising,Marketing & Customer Engagement,"shared product, 3 priced: ZoomInfo Technologies Inc., Red Violet, Inc., Similarweb Ltd.","shared product, 2 priced: Clay, Apollo.io, 6sense",,
2,goldfish,Local-first AI memory layer for Mac and Windows that drafts in your own tone,Consumer & Prosumer Software,"partial, 5 priced: Dropbox, Inc., Opera Limited, Truecaller AB (publ), Life360, Inc., F-Secure Oyj","partial, 3 priced: Suno, Framer, Perplexity, OpenAI",,
3,upstream,"AI layer over Gmail that triages, drafts and tracks follow-ups for a team",Communications & Collaboration,"partial, 6 priced: monday.com Ltd., Zoom Communications, Inc., HubSpot, Inc., RingCentral, Inc., Intuit Inc., Twilio Inc.","strong, 7 priced: Notion, Glean, Factorial, Miro, PayFit, Mailchimp, Calendly",,
4,bond,AI chief of staff in Slack that captures commitments and works a prioritised list,Business Applications,"partial, 2 priced: Asana, Inc., ZoomInfo Technologies Inc.","partial, 3 priced: Glean, Pleo, Calendly",,
5,mailwarm,Email warm-up and deliverability across a network of aged real inboxes,Marketing & Customer Engagement,"partial, 4 priced: Klaviyo, Inc., HubSpot, Inc., Zeta Global Holdings Corp., Yext, Inc.","thin, 2 priced: Apollo.io, Mailchimp, Klaviyo",,
6,publora,One API and MCP server for publishing and engagement across ten social networks,"Data, AI & Developer Tools","partial, 5 priced: Qt Group Oyj, GitLab Inc., PagerDuty, Inc., ZoomInfo Technologies Inc., TomTom N.V.","partial, 4 priced: Oxylabs, Anthropic, OpenAI, Writer, AlphaSense, Vercel, Apollo.io",,
7,bluerails,"Makes hotels discoverable and bookable by AI travel agents, bypassing OTA commission",Vertical Software,"thin, 3 priced: Agilysys, Inc., PAR Technology Corporation, Toast, Inc.","shared product, 3 priced: Owner, Mews, Guesty, Restaurant365, Brex",,
8,elentaria,One system that runs commercial operations from acquisition through retention,Business Applications,"strong, 7 priced: UiPath, Inc., Sidetrade SA, Pegasystems Inc., DocuSign, Inc., Workday, Inc., Zaggle Prepaid Ocean Services, BlackLine, Inc.","strong, 6 priced: Sierra, Decagon, Clay, Gong, Ramp, Verint Systems, E2open",,
9,browseract,"Describe the data you want and it builds, hosts and runs the scraper","Data, AI & Developer Tools","strong, 7 priced: Datadog, Inc., Cloudflare, Inc., Agora, Inc., Twilio Inc., Sinch AB (publ), Dynatrace, Inc., Similarweb Ltd.","strong, 6 priced: Oxylabs, Anthropic, Confluent, Lovable, LangChain, Replit, Perplexity",,
10,sellerclaw,"A supervised team of AI agents that runs a merchant Shopify, eBay and Amazon stores",Commerce Enablement & Fulfilment,"partial, 3 priced: BASE, Inc., Klaviyo, Inc., Baozun Inc., Nayax Ltd.","thin, 2 priced: Shiprocket, ElasticRun, Packable, Klaviyo, Yotpo",,
