"# Fairway peer set: the MIXED listed names from the 5-September public pull."
# GENERATED by tools/load_public_pull_16_7sep.py from data/raw/2026-09-04_public-pull-16-names.csv.
# Never hand-edit: re-run the script. Tags for these names are in data/peers-mixed-tags.csv, which
# also carries the reasoning and the two places the archetype vocabulary does not reach.
#
# as_of=2026-09-05. The pull was run and transcribed on 5 September; the file NAME says 4 September
# and is deliberately unchanged, because the MANIFEST, check 1, the verdicts document and the status
# document all point at it by that name. The correction lives inside the record.
#
# 16 ROWS SUPPLIED, 14 LOADED, 2 NOT LOADED, both named:
#   NASDAQ:LPSN  LivePerson  EXCLUDED  Nasdaq delisting notice, shrinking a third a year.
#   NYSE:GDOT    Green Dot   HELD OUT  no gross profit, no BVPS or P/BV, and it is a bank holding
#                                      company. Belongs in data/peers-lending.csv once those arrive.
#
# CURRENCY IS USD ON EVERY ROW INCLUDING THE TWO EURONEXT LISTINGS. Derived, not assumed: Pluxee
# reports net cash excluding restricted cash of EUR 1,270m against a screen bridge of -1,365, which
# gives USD/EUR 1.0748. docs/public-pull-verdicts-4sep.md issue 3.
#
# NO CUSTOMER-FLOAT ADJUSTMENT. Ruled by Daniil 5-Sep-2026 21:50 UK: his figures stand. The
# enterprise values below are the screen's own.
#
# GROWTH: rev_cagr_cy1_cy3_pct goes into revenue_growth_cagr_cy1_cy3_pct, the column the loader
# already reads first and 72 ecommerce rows already use. Settled 6-Sep and tested: compounding the
# CY+2 and CY+3 yearly rates reproduces the printed CAGR on 16 of 16 rows.
#
# leverage_debt_share_pct IS THE ONE DERIVED COLUMN: equity_to_av_bridge_musd divided by
# enterprise_value_musd, as a percentage, both from the screen. Verdicts issue 4 asks for a flag on
# Claritev (87.5%) and Skillsoft (89.0%) because their multiples describe balance sheets rather than
# businesses. It is computed on every row so a threshold can be set once instead of a list being
# maintained. NOTHING FILTERS ON IT TODAY: it reaches the founder as a caveat and does not move a
# number. Evolent Health at 63.9% is the third name a threshold would catch.
row,exchange_ticker,company_name,market_cap_musd,price_per_share,equity_to_av_bridge_musd,enterprise_value_musd,n_estimates,revenue_ntm_musd,gross_profit_musd,ni_ntm_musd,bvps_ntm,ev_ntm_revenue_x,ev_ntm_gp_x,p_e_x,p_bv_x,revenue_growth_cy1_pct,revenue_growth_cy2_pct,revenue_growth_cy3_pct,revenue_growth_cagr_cy1_cy3_pct,ni_growth_pct,leverage_debt_share_pct,as_of
1,NASDAQ:PAYS,"Paysign, Inc.",700,12,-22,678,5,127,80,36,,5.3,8.5,19.6,,39.8,16.2,16.2,16.2,27.6,-3.2,2026-09-05
2,NASDAQ:PMTS,CPI Card Group Inc.,327,28,300,626,4,637,210,40,,1.0,3.0,8.1,,11.2,8.2,6.7,7.4,18.9,47.9,2026-09-05
3,ENXTPA:EDEN,Edenred SE,8027,35,2175,10203,16,3592,3271,641,,2.8,3.1,12.5,,8.7,6.5,6.8,6.7,12.9,21.3,2026-09-05
4,ENXTPA:PLX,Pluxee N.V.,2546,18,-1365,1181,14,1501,1363,253,,0.8,0.8,10.0,,-0.4,1.7,3.1,2.4,2.8,-115.6,2026-09-05
5,NYSE:CRD.B,Crawford & Company,608,12,199,808,2,1307,379,51,,0.6,2.1,12.0,,1.4,2.8,2.8,2.8,14.0,24.6,2026-09-05
6,NASDAQ:EXLS,"ExlService Holdings, Inc.",5673,37,200,5874,10,2598,998,381,,2.3,5.9,14.9,,15.4,11.7,11.8,11.7,11.7,3.4,2026-09-05
7,NASDAQ:VRSK,"Verisk Analytics, Inc.",25296,194,4041,29336,18,3366,2375,1082,,8.7,12.4,23.4,,4.8,6.7,6.7,6.7,9.9,13.8,2026-09-05
8,NYSE:EVH,"Evolent Health, Inc.",484,4,855,1339,16,3079,433,37,,0.4,3.1,13.1,,40.5,25.1,11.3,18.0,97.0,63.9,2026-09-05
9,NYSE:CTEV,Claritev Corporation,667,39,4686,5353,5,1051,778,117,,5.1,6.9,5.7,,5.2,5.2,5.2,5.2,27.9,87.5,2026-09-05
10,NASDAQ:ALHC,"Alignment Healthcare, Inc.",2819,14,0,2819,12,6074,753,131,2,0.5,3.7,21.5,7.3,32.1,24.6,24.0,24.3,39.3,0.0,2026-09-05
11,NASDAQ:PGNY,"Progyny, Inc.",1969,26,-214,1754,11,1467,384,183,,1.2,4.6,10.7,,6.7,10.0,6.7,8.1,10.0,-12.2,2026-09-05
12,NYSE:SKIL,Skillsoft Corp.,59,7,467,525,1,340,130,3,,1.5,4.1,16.9,,-20.7,-24.8,-25.0,-24.9,,89.0,2026-09-05
13,TSX:DTOL,D2L Inc.,387,7,-84,303,7,246,176,32,,1.2,1.7,12.2,,7.1,9.3,9.5,9.4,42.9,-27.7,2026-09-05
14,NASDAQ:MNDY,monday.com Ltd.,4080,97,-846,3234,25,1620,1422,285,,2.0,2.3,14.3,,19.4,15.2,14.7,14.9,21.4,-26.2,2026-09-05
