# LATEST ANNUAL COMPANY-REPORTED GMV AND TRANSACTION-VALUE METRICS.
# Supplied by Daniil 30-Aug-2026 as screenshots of a research sheet answering the outstanding
# volume-metrics list in docs/sourcing-volume-metrics.md. Transcribed the same session.
#
# HOW TO READ THE STATUS COLUMN. Disclosed means the issuer itself publishes a monetary gross
# transaction figure and the sheet carries its exact words. Not disclosed means the issuer reports
# revenue and often unit volumes (parcels, shipments, tonnes, subscribers) but never a monetary
# gross figure. Excluded means the business model does not have one to report: a first-party
# retailer, a carrier moving other people's goods, a subscription seller. Excluded is a CONCLUSION,
# not a gap, and those names should never come back onto the sourcing list.
#
# metric_category separates CORE GMV (the marketplace's own transaction value, the number a founder
# in that model would quote) from ADJACENT GROSS VOLUME (a payments or lending throughput figure
# that is a real disclosure but is not GMV and must not be pooled with GMV multiples).
company_name,exchange_ticker,status,metric_category,issuer_metric_name,fiscal_period,reported_value,scale_unit,currency,value_usd_musd,scope,exact_wording,source_url
"RB Global, Inc.",NYSE:RBA,DISCLOSED,CORE_GMV,Gross Transaction Value (GTV),FY ended 31-Dec-2025,16.2,USD bn,USD,16200,"Consolidated, all disposition channels","Approximately $16.2bn; total proceeds from items sold through auctions, marketplaces, private brokerage and other disposition channels.",https://s24.q4cdn.com/560830410/files/doc_financials/2025/ar/RB-Global-2025-ARS-As-Filed-1.pdf
"Liquidity Services, Inc.",NASDAQGS:LQDT,DISCLOSED,CORE_GMV,Gross merchandise volume (GMV),FY ended 30-Sep-2025,1570.891,USD m,USD,1570.891,Consolidated,"Total sales value of all merchandise sold in compensated completed transactions.",https://www.sec.gov/Archives/edgar/data/1235468/000123546825000045/lqdt-20250930.htm
GigaCloud Technology Inc.,NASDAQGM:GCT,DISCLOSED,CORE_GMV,GigaCloud Marketplace GMV,FY ended 31-Dec-2025,1576.788,USD m,USD,1576.788,"Marketplace total, 1P and 3P","Total Marketplace GMV before VAT/GST, buyer-paid shipping and refunds.",https://www.sec.gov/Archives/edgar/data/1857816/000185781626000010/gct-20251231.htm
Freightos Limited,NASDAQCM:CRGO,DISCLOSED,CORE_GMV,Gross Booking Value (GBV),FY ended 31-Dec-2025,1.286,USD bn,USD,1286,Platform-wide,"Annual GBV of $1.286bn; freight/platform transaction value translated at transaction-date FX.",https://www.sec.gov/Archives/edgar/data/1927719/000110465926034941/crgo-20251231x20f.htm
Auction Technology Group plc,LSE:ATG,DISCLOSED,CORE_GMV,Total Hammer Value (THV),FY ended 30-Sep-2025,12.1,USD bn,USD,12100,Marketplace auctions,"FY2025 Total Hammer Value of $12.1bn.",https://www.auctiontechnologygroup.com/investors/annual-report-2025/
Airtasker Limited,ASX:ART,DISCLOSED,CORE_GMV,Gross Marketplace Volume (GMV),FY ended 30-Jun-2025,208.7,AUD m,AUD,,Marketplace,"FY2025 Gross Marketplace Volume of A$208.7m.",https://announcements.asx.com.au/asxpdf/20250828/pdf/06nhm909bp30th.pdf
Freelancer Limited,ASX:FLN,DISCLOSED,CORE_GMV,Freelancer marketplace GMV,FY ended 31-Dec-2025,133.4,AUD m,AUD,,Freelancer marketplace only,"Marketplace GMV A$133.4m; issuer Group GMV A$881.5m also includes A$748.1m Escrow.com/payment volume.",https://announcements.asx.com.au/asxpdf/20250822/pdf/06n5s3y9lqpx9j.pdf
"PROG Holdings, Inc.",NYSE:PRG,DISCLOSED,ADJACENT_GROSS_VOLUME,Gross merchandise volume (GMV),FY ended 31-Dec-2025,2497.3,USD m,USD,2497.3,Continuing operations,"Value of new leases and loans originated; Progressive Leasing $1,760.8m plus Four $736.5m.",https://www.sec.gov/Archives/edgar/data/1808834/000180883426000012/prg-20251231.htm
Sezzle Inc.,NASDAQ:SEZL,DISCLOSED,CORE_GMV,Gross Merchandise Volume,FY ended 31-Dec-2025,3940.422,USD m,USD,3940.422,BNPL-facilitated,"Issuer-reported annual Gross Merchandise Volume.",https://www.sec.gov/Archives/edgar/data/1662991/000166299312600012/sezl-20251231.htm
"Triumph Financial, Inc.",NASDAQ:TFIN,DISCLOSED,ADJACENT_GROSS_VOLUME,Total payment volume,FY ended 31-Dec-2025,40500,USD m,USD,40500,Company total,"Approximately $40.5bn total payment volume; narrower TriumphPay network volume was $6,273m.",https://www.sec.gov/Archives/edgar/data/1539638/000153963826000021/tfin-20251231.htm
Avarda Bank AB (publ),OM:AVARDA,DISCLOSED,ADJACENT_GROSS_VOLUME,Ecommerce Solutions transaction volume,FY ended 31-Dec-2025,17017,SEK m,SEK,,Ecommerce Solutions,"SEK17.017bn transaction volume.",https://group.avarda.com/wp-content/uploads/sites/2/2026/03/wkr0006-1.pdf
