# Fairway listed fintech and financial-technology screen. 87 names.
# as_of=2026-08-30  refreshed from 2026-08-30_capiq-listed-fintech.csv. Market columns replaced, analysis columns kept.
# CORRECTION 24-Aug-2026: MercadoLibre revenue_ntm_musd read 46939 and the source screen says
# 46874. Found because the same name appears in the listed consumer and commerce pull, where
# every other MercadoLibre field is byte-identical. Both figures round to the same 2.2x, so no
# ratio check could have caught it; only the cross-set duplicate did. Verified against the
# original screenshot at 5x before the change was made.
#
# THE AS-OF DATE IS INFERRED, NOT SUPPLIED. BILL, Q2 and nCino appear in both this pull and the
# listed software pull with byte-identical enterprise value and NTM revenue, which can only be
# RULING 4-Sep-2026 (Daniil): NASDAQ:XP equity_to_av_bridge_musd overridden to 0 and enterprise_value_musd set to market_cap_musd. The supplied bridge was -25402 (net debt -24684, associates 718), giving EV -15902 and a -3.8x revenue multiple: a broker's client balances net against its market cap. The three component columns are left as supplied and no longer sum to the bridge for this row alone. See docs/rulings-applied-4sep.md.
# true if both were pulled on the same date. Confirm before this is used in anger.
# RULING 4-Sep-2026 (Daniil): LSE:CABP equity_to_av_bridge_musd overridden to 0 and enterprise_value_musd set to market_cap_musd, because a cross-border payments company holding client and settlement balances. The bridge components are left as supplied and no longer sum to the bridge for this row. Every EV-based multiple in the row is rebuilt from the new enterprise value. See docs/rulings-applied-4sep.md.
#
# COLUMN NAMES follow the software file so the two join. The source sheet calls
# enterprise_value_musd "Total Aggregate Value" and the multiples "AV / NTM Rev" and "AV / NTM GP".
# equity_to_av_bridge_musd is the sheet's "Eq.V - AV Bridge" column: net debt plus minorities less
# associates. It is kept because market_cap + bridge = enterprise_value is an INDEPENDENT check on
# transcription, and it caught a six-billion-dollar error on Nu Holdings.
#
# 23 rows do not foot to the dollar on that bridge. All 23 are off by exactly one, which is what
# independent per-column rounding produces, not a transcription error.
#
# net_debt is BLANK for Nu Holdings because net debt is not a meaningful measure for a bank.
#
# TICKER FORMAT DIFFERS FROM THE SOFTWARE PULL. This file uses NASDAQ:, the software file uses
# NASDAQGS: / NASDAQGM: / NASDAQCM:. They do not join without normalising the tier suffix, and
# without that normalisation nCino enters the database twice as two different companies.
# Duplicates across the two pulls: NYSE:BILL, NYSE:QTWO, NASDAQ:NCNO. Count each once.
row,company_name,exchange_ticker,country,market_cap_musd,net_debt_musd,minority_interest_musd,associates_musd,equity_to_av_bridge_musd,enterprise_value_musd,revenue_ntm_musd,gross_margin_pct,gross_profit_musd,ev_ntm_revenue_x,ev_ntm_gp_x,revenue_growth_ntm_pct,paying_users_k,paying_users_basis,revenue_local_cy0,revenue_local_cy2,revenue_growth_cagr_cy0_cy2_pct,recurring_revenue_pct,as_of,gmv_cy0_musd,gmv_ntm_musd,ev_ntm_gmv_x
9,Visa Inc.,NYSE:V,United States,684075,10066,0,0,10066,694141,50426,75.5,38085,13.8,18.2,15,,,41180,51940,12,,2026-09-01,,,
10,Mastercard Incorporated,NYSE:MA,United States,509049,12891,-5,282,12604,521653,40408,60.5,24452,12.9,21.3,14,,,32708,41968,13,,2026-09-01,,,
11,American Express Company,NYSE:AXP,United States,218929,13340,0,0,0,218929,84363,7.9,6684,2.6,32.8,10,,,72137,86772,10,,2026-09-01,,,
12,"PayPal Holdings, Inc.",NASDAQ:PYPL,United States,44826,2965,0,193,2772,47598,35708,44.2,15790,1.3,3.0,4,,,33296,36208,4,,2026-09-01,1793979.0,1928854.0,0.02874
13,"Block, Inc.",NYSE:XYZ,United States,46790,433,-36,0,397,47187,28006,48.5,13578,1.7,3.5,7,,,24283,28948,9,,2026-09-01,,,
14,"Fidelity National Information Services, Inc.",NYSE:FIS,United States,21056,20512,3,13,20502,41558,14060,37.4,5256,3.0,7.9,29,,,10601,14258,16,,2026-09-01,,,
15,"Fiserv, Inc.",NASDAQ:FISV,United States,27476,27407,22,1031,26398,53874,20072,58.7,11786,2.7,4.6,-1,,,19806,20339,1,,2026-09-01,4600000.0,,
16,Global Payments Inc.,NYSE:GPN,United States,23832,18147,859,0,19006,42837,12785,81.9,10468,3.4,4.1,31,,,9446,13009,17,,2026-09-01,,,
17,The Western Union Company,NYSE:WU,United States,2202,1777,0,0,1777,3979,4282,34.2,1465,0.9,2.7,1,,,4088,4362,3,,2026-09-01,107400.0,113419.0,0.03574
18,"Shift4 Payments, Inc.",NYSE:FOUR,United States,3244,4211,123,0,4334,7578,5596,69.8,3906,1.4,1.9,22,,,4195,5853,18,,2026-09-01,209000.0,279380.0,0.02906
19,"Toast, Inc.",NYSE:TOST,United States,19415,-1713,0,0,-1713,17702,8388,28.2,2362,2.1,7.5,22,,,6134,8844,20,,2026-09-01,195100.0,264664.0,0.07355
20,"BILL Holdings, Inc.",NYSE:BILL,United States,4061,-40,0,0,-40,4021,1844,83.8,1545,2.2,2.6,10,,,1537,1915,12,,2026-09-01,,,
21,DLocal Limited,NASDAQ:DLO,Uruguay,4352,-807,0,0,-807,3546,1903,32.2,613,1.9,5.8,50,,,1054,2031,39,,2026-09-01,40816.0,69685.0,0.05231
22,Flywire Corporation,NASDAQ:FLYW,United States,2213,-293,0,0,-293,1920,840,58.7,493,2.3,3.9,27,,,598,879,21,,2026-09-01,37554.0,50403.0,0.04137
23,"EVERTEC, Inc.",NYSE:EVTC,United States,1742,1065,78,18,1124,2866,1150,52.5,604,2.5,4.7,18,,,924,1180,13,,2026-09-01,,,
24,"Euronet Worldwide, Inc.",NASDAQ:EEFT,United States,2549,623,15,0,638,3187,4608,41.4,1906,0.7,1.7,5,,,4245,4694,5,,2026-09-01,77600.0,84274.0,0.03867
25,"Corpay, Inc.",NYSE:CPAY,United States,26580,7558,360,0,7919,34498,5626,79.2,4458,6.1,7.7,18,,,4517,5780,13,,2026-09-01,258452.0,320297.0,0.11023
26,Paysafe Limited,NYSE:PSFE,United Kingdom,325,2321,0,0,2321,2645,1882,56.1,1055,1.4,2.5,6,,,1704,1916,6,,2026-09-01,167000.0,184419.0,0.01453
27,Payoneer Global Inc.,NASDAQ:PAYO,United States,2406,-260,0,0,-260,2146,1199,85.3,1023,1.8,2.1,6,,,1060,1238,8,,2026-09-01,87503.0,99429.0,0.02161
28,"Remitly Global, Inc.",NASDAQ:RELY,United States,5442,-638,0,0,-638,4804,2245,67.2,1508,2.1,3.2,23,,,1620,2373,21,,2026-09-01,74912.0,102304.0,0.04894
29,"Affirm Holdings, Inc.",NASDAQ:AFRM,United States,23599,7322,0,0,8321,31920,5732,48.9,2802,5.6,11.4,32,,,3649,5921,27,,2026-09-01,,,
30,"SoFi Technologies, Inc.",NASDAQ:SOFI,United States,22021,49,0,0,0,22021,5735,5.9,338,3.8,65.1,37,,,3557,6131,31,,2026-09-01,,,
31,"Upstart Holdings, Inc.",NASDAQ:UPST,United States,2665,1600,0,0,1600,4265,1712,82.5,1412,2.5,3.0,37,,,1036,1860,34,,2026-09-01,,,
32,"Marqeta, Inc.",NASDAQ:MQ,United States,1683,-694,0,0,-694,989,773,69.0,533,1.3,1.9,14,,,618,808,14,,2026-09-01,382513.0,471432.0,0.00214
33,LendingClub Corporation,NYSE:LC,United States,1935,-901,0,0,0,1935,1195,6.1,73,1.6,26.7,8,,,994,1255,12,,2026-09-01,,,
34,"Enova International, Inc.",NYSE:ENVA,United States,5506,4910,0,1,0,5506,4313,58.9,2542,1.3,2.2,18,,,3151,4538,20,,2026-09-01,,,
35,"Coinbase Global, Inc.",NASDAQ:COIN,United States,46652,-2121,0,0,-2121,44531,6277,83.0,5210,7.1,8.5,-26,,,7234,6812,-3,,2026-09-01,,,
36,"Robinhood Markets, Inc.",NASDAQ:HOOD,United States,93064,-980,61,0,-919,92145,6084,95.6,5815,15.1,15.8,14,,,4529,6487,20,,2026-09-01,,,
37,Bullish,NYSE:BLSH,Cayman Islands,5013,205,45,0,250,5264,390,100.0,390,13.5,13.5,25,,,285,406,19,,2026-09-01,,,
38,"Bakkt, Inc.",NYSE:BKKT,United States,387,-52,0,11,-62,325,,,,,,-49,,,2335,,-100,,2026-08-30,,,
39,Klarna Group plc,NYSE:KLAR,United Kingdom,5403,-3062,225,0,0,5403,4579,40.7,1863,1.2,2.9,20,,,3503,4865,18,,2026-09-01,,,
40,"Chime Financial, Inc.",NASDAQ:CHYM,United States,11986,-980,0,0,-980,11006,3110,89.4,2779,3.5,4.0,26,,,2168,3290,23,,2026-09-01,,,
41,"Jack Henry & Associates, Inc.",NASDAQ:JKHY,United States,11786,116,0,0,66,11852,2729,43.7,1193,4.3,9.9,6,,,2455,2780,6,,2026-09-01,,,
42,"Q2 Holdings, Inc.",NYSE:QTWO,United States,3985,-65,0,0,-65,3920,945,62.8,593,4.1,6.6,12,,,792,975,11,,2026-09-01,,,
