# Lending and Credit, priced private funding rounds. REVISED PULL, version 2.
# Transcribed 3 September 2026 from six screenshots supplied by Daniil. Supersedes
# data/raw/2026-09-02_lending-screen.csv, which stays on disk as the record of what arrived first.
# Sheet header: "22 transactions reviewed | 17 bounded multiples | 2 NM (both inputs floors) |
#   3 NOT FOUND | 1 Jan 2021-2 Sep 2026".
# Sheet note: "Only stated-period metrics, reported annualised run-rates, or contemporaneously public
#   book value / total equity are used. Lifetime and cumulative activity are excluded."
#
# WHAT CHANGED FROM VERSION 1. Every cumulative-since-inception denominator is gone. Ten rows were
# restated or withdrawn: Atom Bank now carries BOOK VALUE / TOTAL EQUITY, Fundbox and Happy Money
# carry annualised revenue run-rates, Clearco and both Upgrade rows carry a single financial year,
# Tala carries one month, MNT-Halan carries FY2022 revenue, and Zilch, Billie and Pipe are NOT FOUND
# rather than priced on a cumulative figure. Klarna's two FY2020 rows are now correctly labelled net
# operating income and sourced to Klarna's own annual report.
#
# FX is now recorded in the denominator_basis text on both converted rows, Konfio and Monzo.
sheet_row,company_name,transaction_date,round_type,transaction_class,amount_raised_m,amount_currency,amount_raised_reported,premoney_valuation_m,postmoney_valuation_m,valuation_reference_m,valuation_currency,valuation_basis,metric_type,metric_value_m,metric_currency,metric_qualifier,metric_period_basis,multiple_denominator_m,denominator_currency,denominator_basis,implied_multiple_x,lead_investors,valuation_source_url,revenue_metric_source_url,transcription_note
6,Konfio,29-Sep-2021,Series E extension (total Series E USD 235m),Funding / priced private round,110.0,USD,USD 110m extension,,,1300.0,USD,Company-stated valuation after extension,LTM REVENUE,680.0,MXN,EQ,LTM at Jun-2021,33.1,USD,MXN680m converted at 1 MXN = 0.04873 USD on 29-Sep-2021,39.23,Tarsadia Capital; QED Investors,https://konfio.another.co/konfio-completa-ronda-de-inversion-por-235-millones-de-dolares-con-una-valuacion-de-1300-mdd,https://vef.vc/wp-content/uploads/VEF-Investor-Presentation-Jun21-v8.pdf,
7,Creditas,25-Jan-2022,Series F,Funding / priced private round,260.0,USD,USD 260m,,4800.0,4800.0,USD,Post-money,ANNUALISED REVENUE,200.0,USD,FORWARD / PROJECTED,Annualised 2021 revenue stated at round,200.0,USD,Annualised 2021 revenue stated at round,24.00,Fidelity Management & Research Company,https://techcrunch.com/2022/01/25/brazilian-fintech-creditas-gets-260m-at-a-4-8b-valuation-and-a-new-investor-in-fidelity-after-revenue-jumps-in-2021/,https://techcrunch.com/2022/01/25/brazilian-fintech-creditas-gets-260m-at-a-4-8b-valuation-and-a-new-investor-in-fidelity-after-revenue-jumps-in-2021/,
8,Tabby,2025-02-12,Series E,Funding / priced private round,160.0,USD,"160,000,000 USD",,,3300.0,USD,Reported financing valuation; post-money not explicit,ANNUALISED TRANSACTION VOLUME,10000.0,USD,GTE,Annualised run-rate as of 2025-02-12,10000.0,USD,Annualised run-rate as of 2025-02-12,<=0.33,Blue Pool Capital; Hassana Investment Company,https://tabby.ai/en-AE/newsroom/series-e-funding,https://tabby.ai/en-AE/newsroom/series-e-funding,
9,Tabby,2023-11-01,Series D,Funding / priced private round,200.0,USD,"200,000,000 USD",,,1500.0,USD,Reported financing valuation; post-money not explicit,ANNUALISED TRANSACTION VOLUME,6000.0,USD,GTE,Annualised run-rate as of 2023-11-01,6000.0,USD,Annualised run-rate as of 2023-11-01,NM,Wellington Management,https://tabby.ai/en-AE/newsroom/series-d,https://tabby.ai/en-AE/newsroom/series-d,Multiple cell blank in the sheet. Header says 2 NM (both inputs floors); this is one of them. Computes to 0.25x.
10,MNT-Halan,2023-02-01,Strategic equity financing plus securitised debt,Funding / priced private round,260.0,USD,"260,000,000 equity (400,000,000 total financing package including securitised debt)",,1000.0,1000.0,USD,"Post-money; GTE (""exceed"")",FULL-YEAR REVENUE,300.0,USD,GTE,FY2022 (12 months),300.0,USD,FY2022 revenue; denominator is a floor,NM,Chimera Abu Dhabi (> $200m for > 20%); IFC identified for up to $40m of additional primary capital,https://ent.news/2023/2/MNT-Halan-Funding-230201-FINAL-FOR-IMMEDIATE-RELEASE.pdf,https://techcrunch.com/2023/01/31/egyptian-financial-services-provider-mnt-halan-gets-1b-valuation-after-securing-400m/,"Multiple cell blank. Floor valuation over floor denominator, the second of the sheet's 2 NM. Computes to 3.33x. CHANGED from the first pull, which used cumulative loans disbursed."
11,Klarna,2022-07-11,Private equity financing,Funding / priced private round,800.0,USD,$800m,,6700.0,6700.0,USD,Post-money,TOTAL NET OPERATING INCOME,1600.0,USD,EQ,FY2021 (12 months),1600.0,USD,FY2021 (12 months),4.19,"Existing investors including Sequoia, Silver Lake, Bestseller, CPP Investments, Mubadala and others",https://investors.klarna.com/News--Events/news/news-details/2022/Klarna-closes-major-financing-round-during-worst-stock-downturn-in-50-years-holding/default.aspx,https://investors.klarna.com/News--Events/news/news-details/2022/Klarna-closes-major-financing-round-during-worst-stock-downturn-in-50-years-holding/default.aspx,
12,Atom Bank,2022-02-16,Equity growth round / pre-IPO round,Funding / priced private round,75.0,GBP,>GBP75m,,,435.0,GBP,Reported company valuation; priced at 70p/share,BOOK VALUE / TOTAL EQUITY,137.0,GBP,EQ,Balance sheet at 31-Mar-2021,137.0,GBP,Consolidated total equity at 31-Mar-2021,3.17,Toscafund; Infinity Investment Partners; BBVA,https://www.uktech.news/fintech/atom-bank-ipo-funding-20220216,https://www.atombank.co.uk/~/docs/annual-report-20-21.pdf,"THE ONLY BOOK MULTIPLE IN THE SHEET, and the second priced book comparable we hold after Zopa. CHANGED from the first pull, which used cumulative mortgage completions."
13,Wayflyer,2022-02-01,Series B,Funding / priced private round,150.0,USD,"150,000,000 USD",,1600.0,1600.0,USD,Post-money; EQ,CUSTOMER FUNDING ADVANCED / ORIGINATIONS,500.0,USD,EQ,FY2021,500.0,USD,FY2021,3.20,DST Global; QED Investors,https://wayflyer.com/blog/series-b,https://www.irishtimes.com/business/technology/wayflyer-becomes-latest-irish-tech-unicorn-after-150m-fundraise-1.4790726,
14,Monzo Bank,2021-12-08,Series H,Funding / priced private round,500.0,USD,$500m,,4500.0,4500.0,USD,Post-money / reported round valuation,FULL-YEAR REVENUE,79.4,GBP,EQ,FY ended 28-Feb-2021 (12 months),104.9,USD,GBP79.443m converted at 1 GBP = 1.3208 USD on 08-Dec-2021,42.91,Abu Dhabi Growth Fund (lead); Accel; Coatue; Goodwater; Alpha Wave,https://www.lse.co.uk/news/monzo-valuation-jumps-to-45-billion-after-fresh-funding-round-wj8vl4utb7jp8lg.html,https://monzo.com/static/docs/monzo-annual-report-2021.pdf,"Denominator revised from the first pull: GBP80.5m became GBP79.443m and the fx rate, 1.3208 on the round date, is now recorded."
15,Fundbox,2021-11-30,Series D,Funding / priced private round,100.0,USD,"100,000,000 USD",,1100.0,1100.0,USD,Post-money; EQ,ANNUALISED REVENUE RUN-RATE,100.0,USD,GTE,Annual revenue run-rate at 30-Nov-2021,100.0,USD,Reported annual revenue run-rate; denominator is a floor,<=11.00,Healthcare of Ontario Pension Plan (HOOPP),https://www.globenewswire.com/news-release/2021/11/30/2343283/0/en/Fundbox-Closes-100M-Series-D-Fueled-by-Record-Growth.html,https://www.globenewswire.com/news-release/2021/11/30/2343283/0/en/Fundbox-Closes-100M-Series-D-Fueled-by-Record-Growth.html,"CHANGED from cumulative transaction volume to the annualised revenue run-rate, and now agrees exactly with the 11.00x already in the engine."
16,Zilch,2021-11-10,Series C,Funding / priced private round,110.0,USD,$110m,,,2000.0,USD,"Reported valuation, floor",NOT FOUND,,,,No qualifying metric public by 10-Nov-2021,,,NOT FOUND - GBP100m+ sales were cumulative over 13 months,,Ventura Capital; Gauss Ventures; DMG Ventures and others,https://www.zilch.com/news/zilch-becomes-fastest-growing-unicorn-bnpl-in-europe/,https://www.zilch.com/news/zilch-becomes-fastest-growing-unicorn-bnpl-in-europe/,CHANGED to NOT FOUND. The first pull priced this on a cumulative 13-month sales figure.
17,Billie,2021-10-25,Series C,Funding / priced private round,100.0,USD,"100,000,000 USD",,640.0,640.0,USD,Post-money; EQ,NOT FOUND,,,,No qualifying metric public by 25-Oct-2021,,,NOT FOUND - financed purchases had no stated period,,Dawn Capital,https://techcrunch.com/2021/10/25/billie-a-buy-now-pay-later-specialist-for-the-b2b-market-raises-100m-on-a-640m-valuation/,https://techcrunch.com/2021/10/25/billie-a-buy-now-pay-later-specialist-for-the-b2b-market-raises-100m-on-a-640m-valuation/,CHANGED to NOT FOUND. The first pull priced this at 0.74x on cumulative purchases financed.
18,Klarna,2021-06-10,Private equity financing,Funding / priced private round,639.0,USD,$639m,,45600.0,45600.0,USD,Post-money,FULL-YEAR TOTAL NET OPERATING INCOME,1087.0,USD,EQ,FY2020 (12 months),1087.0,USD,FY2020 total net operating income,41.95,SoftBank Vision Fund 2 (lead); Adit Ventures; Honeycomb Asset Management; WestCap; existing investors,https://ebs.publicnow.com/view/E72F7F44A6A3C9B68335EC815B2DD799D58D27FB,https://investors.klarna.com/News--Events/news/news-details/2021/Klarna-2020-Annual-Report-Published-holding/default.aspx,"CHANGED. The first pull called this FULL-YEAR REVENUE at 1,000; it is now correctly labelled net operating income at 1,087, sourced to Klarna's own 2020 annual report."
19,Pipe,2021-05-19,Venture round (commonly described as strategic equity financing; not formally lettered in source),Funding / priced private round,250.0,USD,"250,000,000 USD",,2000.0,2000.0,USD,Post-money; EQ,NOT FOUND,,,,No qualifying company metric public by 19-May-2021,,,"NOT FOUND - ARR belonged to customers, not Pipe",,Greenspring Associates,https://techcrunch.com/2021/05/19/pipe-raises-250m-at-a-2b-valuation/,https://techcrunch.com/2021/05/19/pipe-raises-250m-at-a-2b-valuation/,"CHANGED to NOT FOUND, and correctly: the first pull used tradable ARR connected to the platform, which is the customers' revenue and not Pipe's."
20,Clearco (then Clearbanc),2021-04-20,Series C,Funding / priced private round,100.0,USD,"100,000,000 USD",,2000.0,2000.0,USD,"Post-money; LT / approximately (""almost"")",CAPITAL DEPLOYED / ADVANCES,1000.0,USD,APPROX.,FY2020 (12 months),1000.0,USD,Capital deployed during FY2020,<2.00,Oak HC/FT,https://www.oakhcft.com/news/clearbanc-rebrands-to-clearco-announces-us-100m-series-c-funding,https://techcrunch.com/2021/04/20/clearbanc-unicorn-clearco/,CHANGED from cumulative capital invested since inception to capital deployed during FY2020 alone.
21,Starling Bank,2021-03-08,Series D,Funding / priced private round,272.0,GBP,GBP272m,1100.0,,1100.0,GBP,Pre-money,ANNUALISED REVENUE RUN-RATE,145.0,GBP,APPROX.,January 2021 annualised run-rate,145.0,GBP,Published annualised revenue run-rate,7.59,Fidelity Management & Research Company; Qatar Investment Authority; RPMI Railpen; Millennium Management,https://www.starlingbank.com/news/starling-announces-272m-funding-round-march-2021/,https://www.starlingbank.com/news/starling-announces-272m-funding-round-march-2021/,PRE-MONEY. Still the only pre-money revenue multiple in the sheet and not like for like with the post-money ones.
22,Klarna,2021-03-01,Private equity financing,Funding / priced private round,1000.0,USD,"$1,000m",,31000.0,31000.0,USD,Post-money,FULL-YEAR TOTAL NET OPERATING INCOME,1087.0,USD,EQ,FY2020 (12 months),1087.0,USD,FY2020 total net operating income,28.52,Unspecified new and existing investors; company said the round was oversubscribed,https://techcrunch.com/2021/03/01/daily-crunch-klarna-valued-at-31b/,https://investors.klarna.com/News--Events/news/news-details/2021/Klarna-2020-Annual-Report-Published-holding/default.aspx,
23,Upgrade,16-Nov-2021,Series F,Funding / priced private round,280.0,USD,USD 280m,6000.0,,6000.0,USD,Pre-money,FY CREDIT DELIVERED / ORIGINATIONS,8000.0,USD,FORWARD / ON TRACK,FY2021 company on-track figure,8000.0,USD,Credit delivered during 2021 alone,0.75,Coatue Management; DST Global,https://www.upgrade.com/en-ca/press/releases/upgrade-raises-280-million-at-6-billion-valuation/,https://www.upgrade.com/en-ca/press/releases/upgrade-raises-280-million-at-6-billion-valuation/,PRE-MONEY. CHANGED from cumulative credit since inception to the FY2021 figure alone.
24,Tala,14-Oct-2021,Series E,Funding / priced private round,145.0,USD,USD 145m,,,800.0,USD,Reference valuation; Forbes reports company valued at roughly $800m after the round,MONTHLY LOAN ORIGINATIONS,60.0,USD,APPROX.,Current monthly pace at 14-Oct-2021; period_months = 1,60.0,USD,Reported monthly originations; not annualised,~13.33,Upstart,https://www.forbes.com/sites/maggiemcgrath/2021/10/14/tala-raises-145-million-series-e-to-expand-account-and-crypto-capabilities/,https://www.forbes.com/sites/maggiemcgrath/2021/10/14/tala-raises-145-million-series-e-to-expand-account-and-crypto-capabilities/,"ONE-MONTH denominator, not annualised. 13.33x is a monthly-originations multiple and is not comparable to the annual ones."
25,Upgrade,11-Aug-2021,Series E,Funding / priced private round,105.0,USD,USD 105m,3325.0,,3325.0,USD,Pre-money,FY CREDIT DELIVERED / ORIGINATIONS,7000.0,USD,FORWARD / ON TRACK,FY2021 company on-track figure,7000.0,USD,Credit delivered during 2021 alone,0.48,Koch Disruptive Technologies,https://www.upgrade.com/press/releases/upgrade-closes-105-million-series-e-round-at-3-325-billion-valuation/,https://www.upgrade.com/press/releases/upgrade-closes-105-million-series-e-round-at-3-325-billion-valuation/,PRE-MONEY.
26,Nubank,08-Jun-2021,Series G second extension,Funding / priced private round,750.0,USD,USD 750m extension (USD 1.15bn total Series G),,,30000.0,USD,Approximate reported valuation,REVENUE,963.0,USD,EQ,FY2020 revenue as reported in same-day transaction coverage; retain source definition as reported,963.0,USD,FY2020 revenue as reported in same-day transaction coverage; retain source definition as reported,31.15,Berkshire Hathaway (USD 500m); Sands Capital; CPP Investments; MSA Capital; Sunley House; Verde Asset Management,https://building.nubank.com/investors-largest-private-capital-raise-in-latam/,https://techcrunch.com/2021/06/08/fintech-all-star-nubank-raises-a-750m-mega-round/,
27,Happy Money,08-Feb-2022,Series D-1,Funding / priced private round,50.0,USD,USD 50m,,,1100.0,USD,Approximate reported financing valuation; pre/post basis unspecified,ANNUALISED REVENUE RUN-RATE,100.0,USD,GTE,Annualised revenue as of 31-Mar-2021,100.0,USD,Reported annualised revenue; denominator is a floor,<11.00,Anthemis Group; CMFG Ventures,https://www.pymnts.com/news/investment-tracker/2022/lending-platform-happy-money-valued-at-1-1b/,https://www.trustage.com/-/media/cunamutual/events/discovery/public/happy-money-overview.pdf,CHANGED from cumulative loans funded to an annualised revenue run-rate.
