# Fairway private consumer, commerce and commerce-software transactions.
# 50 verified transaction records across 34 companies. ONLY 16 ROWS ACROSS 13 COMPANIES CARRY A
# DEFENSIBLE REVENUE MULTIPLE (in_medians=1). A separate GMV lane carries 4 rows (in_gmv_medians=1);
# GMV multiples must NEVER be pooled with revenue multiples. Every other row is a real, verified
# transaction kept for its date, structure and investor record, with no denominator that survives
# the at-pricing rule.
#
# Second verification pass 24-Aug-2026 against a revised sheet. Rows marked CORRECTED-AGAIN had a
# defect in Fairway's OWN previous entry, not in the supplied sheet: vinted-2021-05, ag1-2022-01,
# shein-2023-05, liquid-death-2024-03, rokt-2025-01, trendyol-2021-08.
transaction_id,company_key,company_name,date,date_iso,round_type,transaction_type,capital_raised_musd,post_money_musd,currency,revenue_metric,revenue_musd,bound,ev_revenue_x,denominator_basis,verification,in_medians,lead_investor,lead_confidence,other_named_investors,round_source_url,category_as_supplied,subsector_as_supplied,notes,gmv_metric,gmv_period,gmv_musd,gmv_basis,gmv_bound,ev_gmv_x,in_gmv_medians,growth_band,growth_pct_at_round,growth_band_basis,target_was_listed,revenue_basis,funding_model,paying_users_k,revenue_period,ev_revenue_low_x,ev_revenue_high_x,display_gate,fx_ccy,fx_rate,fx_date,valuation_basis,book_value_musd,book_value_date,ev_book_x,tangible_book_musd,ev_tangible_book_x,originations_musd,originations_period
whatnot-2026-08,whatnot,Whatnot,Aug-26,2026-08,Series G,PRIMARY,545.0,20000.0,USD,none published,,,,GMV_ONLY,CORRECTED,0,ICONIQ; Lightspeed; Avra,co-led,Andreessen Horowitz; DST Global; CapitalG; Greycroft,blog.teamwhatnot.com/unitedstates/seriesg,Consumer Marketplace,Livestream commerce marketplace,"Whatnot's own 2026 State of Live Selling report, 28-Jan-2026, six months before pricing: 'In 2025, sellers drove $8 billion in live sales, more than doubling the year before.' Full year, company-disclosed, public well before the round, so 2.5x is a clean GMV multiple. Still GMV only: Whatnot has never disclosed net revenue or a blended take rate in any round. The Series G post's 'halfway through this year, sellers have already sold more than they did in all of 2025' is a partial period and must not be annualised.",FY2025 live sales (GMV),FY2025,8000.0,GMV_ONLY,,2.5,1,,,,,NONE,,,,,,,,,,NONE,,,,,,,
vinted-2026-04,vinted,Vinted,Apr-26,2026-04,Secondary share sale,SECONDARY,880.0,8000.0,EUR,FY2025 revenue,1100.0,,7.3,DISCLOSED_ACTUAL,CORRECTED,1,EQT,named in source,Ontario Teachers' Venture Growth; Schroders Capital; BlackRock funds,company.vinted.com/newsroom/financial-results-2025,Consumer Marketplace,Fashion resale marketplace,"CORRECTED. Dated Apr-2026, not Apr-2025, and the figures are EUR not USD. Vinted states 'Vinted is not raising any new primary capital in this transaction'. FY2025 revenue EUR 1.1bn was published 9-Apr-2026, eighteen days before pricing. GROWTH AT ROUND, DERIVED FROM OUR OWN TWO DATED POINTS: net revenue of 1100 at 2026-04 against 596 at 2024-10, 18 months, 50% a year. Both figures were public at their own pricing dates and neither is a threshold, so the difference is a real rate rather than an artefact of two floors.",,,,,,,,MATURE,50,DERIVED,,NET_REVENUE,,,LTM,,,,,,,REVENUE,,,,,,,
quince-2026-03,quince,Quince,Mar-26,2026-03,Series E,PRIMARY,500.0,10100.0,USD,FY2025 revenue,1000.0,<=,10.1,DISCLOSED_THRESHOLD,CORRECTED,1,ICONIQ,named in source,Insight; existing investors,prnewswire.com/news-releases/quince-raises-500m-series-e-resulting-in-10-1b-valuation-to-accelerate-the-manufacturer-to-consumer-platform-302710298.html,D2C / Consumer Brand,Value-led apparel and home,"CORRECTED. Raise was $500m, not $200m. At pricing the company said it 'last year surpassed $1 billion in top-line revenue', so the multiple is a CEILING of 10.1x. The $2,000m in the sheet was published 29-Jul-2026, four and a half months AFTER pricing, and produced a flattering 5.1x.",,,,,,,,,,,,NET_REVENUE,,,LTM,,,,,,,REVENUE,,,,,,,
skims-2025-11,skims,SKIMS,Nov-25,2025-11,Equity financing,PRIMARY,225.0,5000.0,USD,FY2025E net sales,1000.0,<=,5.0,DISCLOSED_FORECAST,VERIFIED,1,Goldman Sachs Alternatives,named in source,BDT & MSD; existing investors,am.gs.com/en-us/advisors/news/press-release/2025/skims,D2C / Consumer Brand,Apparel and shapewear,"The company release calls this an 'Equity Financing', not a lettered round. Company projection at closing: 'expected to exceed $1 billion in net sales in 2025', forward-looking and unaudited on the day, so 5.0x is a ceiling. Primary is an assumption: the release says proceeds fund retail, international and category expansion, but no source affirmatively rules out a secondary component. Post-money is per Retail Dive and Fortune, not per the issuer.",,,,,,,,,,,,NET_REVENUE,,,LTM,,,,,,,REVENUE,,,,,,,
whatnot-2025-10,whatnot,Whatnot,Oct-25,2025-10,Series F plus tender,MIXED,225.0,11500.0,USD,none published,,,,GMV_ONLY,CORRECTED,0,DST Global; CapitalG,co-led,Sequoia; Alkeon,news.crunchbase.com/venture/ecommerce-unicorn-whatnot-raises-seriesf/,Consumer Marketplace,Livestream commerce marketplace,"No multiple, on the partial-period rule. The company said 'we've already surpassed $6 billion in live sales this year', which covers about ten months of 2025 and cannot meet a point-in-time valuation. Structure corrected to MIXED: the USD 225m Series F was accompanied by a separate tender of up to USD 126m for existing investors, so total transaction activity was about USD 351m. Superseded as the live mark by the August 2026 Series G at USD 20bn.","2025 year-to-date live sales (GMV), partial period",2025 YTD,6000.0,DISCLOSED_PARTIAL_PERIOD,<=,,0,,,,,NONE,,,,,,,,,,NONE,,,,,,,
quince-2025-07,quince,Quince,Jul-25,2025-07,Series D,PRIMARY,200.0,4500.0,USD,not disclosed at pricing,,,,NONE,CORRECTED,0,ICONIQ Capital,"led, sole confirmed participant",,news.crunchbase.com/e-commerce/iconiq-investment-doubles-quince-valuation/,D2C / Consumer Brand,Value-led apparel and home,"Record only, no denominator of any kind existed at pricing. Round size resolved to USD 200m, not the 'over USD 290 million' that appears in Industry Dive titles from December 2025 onward: 200 is carried by every contemporaneous source and reconciles arithmetically with total funding of USD 461.5m against USD 261.5m through Series C. PitchBook labels it 'Series D-1', consistent with a tranched round whose later tranche lifted the total. Investor list corrected: only ICONIQ is confirmed as a Series D participant; Insight, Wellington, Founders Fund, 8VC and FJ Labs are prior backers listed as 'other backers', not participants in this round. The March 2026 'revenue surpassed $1 billion' is 2026 hindsight across a period in which the company says revenue tripled.",,,,,,,,,,,,NONE,,,,,,,,,,NONE,,,,,,,
olipop-2025-02,olipop,OLIPOP,Feb-25,2025-02,Series C,PRIMARY,50.0,1850.0,USD,FY2024 sales,400.0,,4.6,DISCLOSED_THRESHOLD,CORRECTED,1,J.P. Morgan Private Capital,named in source,,nbcnews.com/business/business-news/prebiotic-soda-brand-olipop-valued-1point85-billion-latest-funding-rcna191894,D2C / Consumer Brand,Functional beverages,"Ceiling only. The revised sheet showed a 400 to 450 range giving 4.1x to 4.6x: nothing anywhere supports 450 and the 4.1x end is fabricated. Every contemporaneous account says the same thing, CNBC's 'annual sales surpassed $400 million last year, doubling the year prior'. The likely origin of a spurious 450 is splitting the difference between a Bloomberg May-2024 story that the company 'eyes $500 million in sales' and the 400 actually delivered, a target Just Drinks notes it fell short of. Separately the basis is gross, not net: the company's own historic language is 'gross revenue' and 'gross sales', so the true net-revenue multiple is ABOVE 4.6x, not below it. BOUND WITHDRAWN 27-Aug-2026, and revenue_basis records why. Two errors push in OPPOSITE directions and the row was only counting one. 'Surpassed $400 million' is a floor on the denominator, which makes 4.6x a ceiling. But the $400mm is GROSS sales in the company's own historic language, and net revenue is lower, which pushes the multiple UP. Net of the two the direction is indeterminate, so the '<=' is gone. THE ROW IS ALSO THE ONLY ONE IN THE CONSUMER FILE PRICED ON A GROSS BASIS while every other priced row is net, which is exactly the like-for-like problem revenue_basis exists to make visible. GROWTH AT ROUND: 'Annual sales surpassed $400 million last year, doubling the year prior', CNBC at pricing.",,,,,,,,GROWING,100,DISCLOSED,,GROSS_REVENUE,,,LTM,,,,,,,REVENUE,,,,,,,
rokt-2025-01,rokt,Rokt,Jan-25,2025-01,Secondary transaction,SECONDARY,335.0,3500.0,USD,CY2024 gross network revenue,600.0,,,DISCLOSED_UNDEFINED_BASIS,CORRECTED-AGAIN,0,Tiger Global; Square Peg,"named buyers, no lead stated",Barrenjoey; SecondQuarter; John Ho (Janchor); Terry Bowen; Karen Katz,prnewswire.com/news-releases/rokt-announces-secondary-transaction-increasing-valuation-to-us3-5-billion-and-appointment-of-anita-sands-to-the-board-of-directors-302352792.html,E-commerce Enablement,Checkout advertising and offers,"CORRECTED AGAIN. The 5.8x comes off and Wellington comes out. Wellington was in the December 2021 Series E (USD 325m at USD 1.95bn), not this transaction, and 325 against 335 is an easy transposition. On the denominator: Rokt says 'Seven out of every eight dollars generated through our platform goes back to ecommerce partners', and has never reconciled that to the USD 600m. Public readings are irreconcilable, one trade source reads it as Rokt retaining about 12.5% while Sacra models 50/50. A literal 7/8 payout would leave Rokt about 75m net, which cannot be squared with the same release's 'more than USD 60 million in the Rokt Brain' while profitable. Until cost of revenue or gross profit is disclosed this cannot sit beside net-revenue multiples.",,,,,,,,,,,,GROSS_REVENUE,,,LTM,,,,,,,NONE,,,,,,,
vuori-2024-11,vuori,Vuori,Nov-24,2024-11,Secondary tender,SECONDARY,825.0,5500.0,USD,not company-disclosed,,,,THIRD_PARTY_ESTIMATE,CORRECTED,0,General Atlantic,named in source,Stripes,businesswire.com/news/home/20241108508233/en/Vuori-Announces-%24825-Million-Investment-Led-by-General-Atlantic-and-Stripes,D2C / Consumer Brand,Performance apparel,"100% secondary: 'structured as a secondary tender offer', and none of it reached the balance sheet. No revenue in the release; the $1bn is an analyst estimate.",,,,,,,,,,,,NONE,,,,,,,,,,NONE,,,,,,,
vinted-2024-10,vinted,Vinted,Oct-24,2024-10,Secondary share sale,SECONDARY,340.0,5000.0,EUR,FY2023 revenue,596.3,,8.4,DISCLOSED_ACTUAL,CORRECTED,1,TPG,led,Hedosophia; Baillie Gifford; Invus Opportunities; FJ Labs; Manhattan Venture Partners; Moore Strategic Ventures,company.vinted.com/newsroom/secondary-investment,Consumer Marketplace,Fashion resale marketplace,"The cleanest row in the consumer set. FY2023 revenue of EUR 596.3m was published on 29-Apr-2024 with EUR 17.8m net profit, about six months BEFORE pricing, so this is the only consumer row where the denominator had real daylight ahead of the transaction rather than landing on the same day. Roles corrected: Baillie Gifford was a BUYER here, not a selling holder, and EQT and Accel are not named as participants at all, TechCrunch says only that they retained some stake. Same-currency EUR throughout; ignore the USD 5.4bn headlines.",,,,,,,,,,,,NET_REVENUE,,,LTM,,,,,,,REVENUE,,,,,,,
