# INVESTOR ENRICHMENT TARGETS, 3-Sep-2026. Every CALLABLE house that cannot render.
# A callable row renders only when it carries a dated deal, a first-cheque range, a
# geography and a sector. These are the rows that fail that bar, with what each one needs.
# 62 of 140 callable rows render today; filling these takes it to 140.
investor_key,investor_name,house_type,needs,have_geographies,have_stage_bands,have_cheque_low_m,have_cheque_high_m,have_thesis,have_recent_deal,sectors_we_have_evidence_for
accel,Accel,,first_cheque_low_m; geographies,,Series B; Series C,,,"Joins rounds of $1400m to $17500m in Data, AI & Developer Tools. Generated from ",Decagon,"Data, AI & Developer Tools(3); Cybersecurity(3); Enterprise Applications(3); Cloud & Infrastructure Software(1); Vertica"
acrew,Acrew Capital,,first_cheque_low_m; geographies,,Series B; Series C,,,Joins rounds of $2000m to $2000m in Scraping / Data for AI. Generated from the r,Invisible Technologies,Scraping / Data for AI(1)
addition,Addition,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,Joins rounds of $8000m to $8000m in our tracked sectors. Generated from the roun,Airwallex,
adobe,Adobe Ventures,,first_cheque_low_m; geographies,,Series B; Series C,,,Joins rounds of $1900m to $1900m in Enterprise Applications. Generated from the ,Semrush,Enterprise Applications(1); SEO Tools (M&A precedent)(1)
alkeon,Alkeon Capital,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,"Joins rounds of $4000m to $18400m in Data, AI & Developer Tools. Generated from ",Whatnot,"Data, AI & Developer Tools(2); Enterprise Applications(1); Cross-Border & FX(1); Merchant Acquiring & PSP(1); Consumer M"
alphawave,Alpha Wave,,first_cheque_low_m; geographies,,Series B; Series C,,,Joins rounds of $1315m to $32000m in Vertical Software. Generated from the round,Ramp,Vertical Software(1); Enterprise Applications(1)
altimeter,Altimeter Capital,,first_cheque_low_m; geographies,,Series B; Series C,,,"Joins rounds of $3800m to $965000m in Data, AI & Developer Tools. Generated from",Anthropic,"Data, AI & Developer Tools(4); Enterprise Applications(2); Consumer Marketplace(1)"
amex,Amex Ventures,,first_cheque_low_m; geographies,,Series B; Series C,,,"Joins rounds of $3000m to $3000m in Data, AI & Developer Tools. Generated from t",Replit,"Data, AI & Developer Tools(1)"
amplify,Amplify,,first_cheque_low_m; geographies,,Series B; Series C,,,"Joins rounds of $1250m to $4200m in Data, AI & Developer Tools. Generated from t",LangChain,"Data, AI & Developer Tools(1); Agent Ops(1)"
andbank,Andbank,,first_cheque_low_m; geographies,,Series B; Series C,,,Joins rounds of $3300m to $4800m in our tracked sectors. Generated from the roun,Creditas,
andreessenhorowitz,Andreessen Horowitz,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,Joins rounds of $2200m to $20000m in Real Estate Marketplace. Generated from the,Whatnot,Real Estate Marketplace(1); Consumer Marketplace(1)
atomico,Atomico,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,Joins rounds of $1000m to $2500m in Enterprise Applications. Generated from the ,Mews,Enterprise Applications(1); Vertical Software(1)
avra,Avra,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,Joins rounds of $5000m to $20000m in Sales Engagement. Generated from the rounds,Whatnot,Sales Engagement(1); Consumer Marketplace(1)
bdtmsd,BDT & MSD Partners,,first_cheque_low_m; geographies,,Series B; Series C,,,"Joins rounds of $900m to $5000m in Data, AI & Developer Tools. Generated from th",SKIMS,"Data, AI & Developer Tools(1); Enterprise Applications(1); Vertical Software(1); D2C / Consumer Brand(1)"
bailliegifford,Baillie Gifford,,first_cheque_low_m; geographies,,Growth; Late stage; Crossover,,,"Joins rounds of $1400m to $183000m in Data, AI & Developer Tools. Generated from",Faire,"Data, AI & Developer Tools(2); Local Delivery & On-Demand(1); Consumer Marketplace(1); D2C(1); B2B marketplace(1)"
