# Fairway PRIVATE FINANCING TRANSACTION DATABASE. 58 valuation-backed rounds, transcribed 30-Aug-2026
# from Daniil's workbook. His header: "Exact wording preserved | Green = usable multiple; yellow =
# metric unusable; red = NOT FOUND".
#
# THIS IS THE AUTHORITATIVE SOURCE AND IT OVERRIDES MY OWN WORK WHERE THEY DISAGREE. Six conflicts
# with what went into data/private-rounds.csv this morning are listed at the foot of this comment
# block. They must be resolved before either file is used.
#
# TRANSCRIBED FROM SCREENSHOTS. The analytical fields below are faithful to my reading. THE SOURCE
# URLs ARE NOT TRANSCRIBED: they are not legible enough at screenshot resolution to reproduce
# safely, and a URL that is wrong by one character is worse than no URL. Every row is therefore
# marked source_url=NEEDS_WORKBOOK. The workbook must land as a CSV before any of these rows can be
# published to a founder, because our own rule is that every figure carries a named source.
#
# THE SIX CONFLICTS WITH THIS MORNING'S INSERT
#  1. LOADSMART. I excluded it for having no stated period. THE WORKBOOK SHOWS A PERIOD: gross
#     revenue "north of $250 million in 2021", contemporaneous VentureBeat, and marks it USABLE at
#     <5.2x. I was wrong and Daniil's instinct to keep it was right. Insert it.
#  2. GORILLAS. I excluded it. Workbook marks it USABLE at <10.3x post-money, Tier 1 on both the
#     transaction and the metric, and calls it "strongest logistics pricing comp in this" set.
#  3. JOBANDTALENT. I excluded it. Workbook marks it USABLE at <2.08x on the revenue run-rate.
#  4. ZEPZ. I inserted 21.0x on $238m. Workbook uses the $338m round-announcement figure and gives
#     14.8x, FLAGGED. Both figures are Zepz's own. Daniil's call needed.
#  5. MARQETA. I inserted 30.0x on FY2019 net revenue from the S-1. Workbook uses the contemporaneous
#     Forbes "above $300 million" 2019 GROSS revenue and gives <14.3x, flagged, "retain only as
#     valuation/gross". The workbook is stricter on at-pricing evidence and is probably right.
#  6. PINE LABS and RAZORPAY. I inserted both as usable. The workbook marks BOTH "not usable /
#     timing or definition issue". Pine Labs because the ₹726 crore statutory figure conflicts with a
#     cited "$107 million" net revenue on a different definition; Razorpay because FY2022 was
#     unavailable at pricing and FY2021 is the wrong side of the definition question.
#     BETTER.COM is a seventh: the workbook covers the Apr-2021 secondary and marks it not usable.
#     My insert used the May-2021 SPAC instead, which the workbook does not cover.
#
# COLUMNS. implied_multiple_bound is carried EXACTLY as the workbook states it, including the
# inequality. A bound is information: "<5.2x" means the denominator was a floor so the multiple is a
# ceiling. Never strip it.
sector,company,country,subsector,transaction_date,classification,round_type,capital_raised,valuation_status,valuation_wording,revenue_wording_and_timing,secondary_metric,public_at_pricing,revenue_evidence_status,implied_multiple_bound,investors,revenue_source_tier,caveat,source_url
Payments infrastructure,Paddle,UK,Merchant of record / billing rails,2022-05-10,PRIMARY,Series D US$200m,US$200m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"$1.4bn valuation","Announcement said revenue had doubled over the prior 18 months, but supplied no dollar base",,NO / NOT ESTABLISHED,FOUND - not usable / timing or definition issue,,KKR; FTV Capital; 83North; Notion; Kindred,Tier 1,Tier 1. Revenue NOT FOUND; no multiple.,NEEDS_WORKBOOK
Payments infrastructure,Checkout.com,UK,Global acquiring / processing,2022-01-12,PRIMARY,Series D US$1.0bn,US$1.0bn,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"$40 billion post-money","Company disclosed hundreds of billions of dollars in payment volume for 2021, not revenue. A later UK-company figure of approximately $259.6 million may exclude international operations and its availability at pricing is not established",,NO / NOT ESTABLISHED,FOUND - not usable / timing or definition issue,,Altimeter; Dragoneer; Franklin Templeton; GIC; Insight; Qatar Investment Authority; Tiger Global; Oxford Endowment,Tier 1,Tier 1. Revenue NOT FOUND at pricing; no multiple.,NEEDS_WORKBOOK
Payments infrastructure,Pine Labs,India / Singapore,Merchant commerce / POS,2021-05-17,PRIMARY,First close US$285m,US$285m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"valued at $3 billion","FY2021 statutory operating revenue approximately Rs 726 crore; other material cited net revenue about $107 million / Rs 800 crore, likely a different definition",,NO / NOT ESTABLISHED,FOUND - not usable / timing or definition issue,,Temasek; Lone Pine; Baron; Marshall Wace; Moore Strategic; Ward Ferry; Sunley House; Duro,Tier 2,Rs 726cr converted at US$1=Rs 73.27 on 17-May-2021: $99.08m against $3.0bn,NEEDS_WORKBOOK
Payments infrastructure,Airwallex,Australia,Cross-border payments / treasury,2021-11-18,PRIMARY,Series E1 US$100m,US$100m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"valuation reaches US$5.5b","annualized revenue exceeding US$100 million based on Q3 2021 performance; disclosed in the round announcement",,YES,FOUND - usable for multiple,<55.0x,Lone Pine Capital; 1835i Ventures; Sequoia China,Tier 1,"Tier 1. Bound preserves exceeding.",NEEDS_WORKBOOK
Payments infrastructure,Primer,UK,Payments orchestration,2021-10-19,PRIMARY,Series B US$50m,US$50m,THIRD-PARTY REPORTED / ESTIMATED,"$425 million post-money","NOT FOUND in company announcement. A 2024 deck/aggregator estimate of about $18m for 2021 is both later and insufficiently sourced",,NO / NOT ESTABLISHED,NOT FOUND,,ICONIQ Growth; Accel; Balderton; RTP Global; Seedcamp; Speedinvest,Tier 1,Tier 1 valuation; Tier 4 estimate rejected. No multiple.,NEEDS_WORKBOOK
Payments infrastructure,dLocal,Uruguay,Emerging-markets cross-border processing,2021-04-02,PRIMARY,Late-stage equity US$150m,US$150m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"$5B post-money","approximately $104.1 million in FY 2020 revenue",,YES,FOUND - usable for multiple,48.0x,Alkeon; BOND; D1; Tiger Global,Tier 2,"Tier 2, later corroborable to IPO filing.",NEEDS_WORKBOOK
Payments infrastructure,Razorpay,India,Payment gateway / merchant fintech,2021-12-20,PRIMARY,Series F US$375m,US$375m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"valuation increases to $7.5 Bn","Rs 844.6 crore FY2021 revenue; later reporting distinguishes FY2022 Rs 1485.7 crore, which was unavailable at pricing",,NO / NOT ESTABLISHED,FOUND - not usable / timing or definition issue,,Lone Pine; Alkeon; TCV; Tiger Global; Sequoia India; GIC; Y Combinator,Tier 1,Rs 844.6cr converted at US$1=Rs 75.76 on 20-Dec-2021: $111.49m against $7.5bn,NEEDS_WORKBOOK
Payments infrastructure,Airwallex,Australia,Cross-border payments / treasury,2021-09-20,PRIMARY,Series E US$200m,US$200m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"US$4 billion post-money","Same later company disclosure: annualized revenue exceeding US$100 million, published 18-Nov-2021, about 59 days after pricing",,NO / NOT ESTABLISHED,FOUND - not usable / timing or definition issue,,Lone Pine Capital; G Squared; Vetamer; 1835i; DST; Salesforce Ventures; Sequoia China; Tencent; Square Peg,Tier 1,Revenue based on Q3 performance disclosed 18-Nov-2021; Q3 had not ended,NEEDS_WORKBOOK
Payments infrastructure,TrueLayer,UK,Open-banking payments,2021-09-21,PRIMARY,Series E US$130m,US$130m,DISCLOSED / CONTEMPORANEOUSLY REPORTED,"over $1 billion post-money","NOT FOUND. A CB Insights profile figure was rejected because its original publication timing was not established.",,NO / NOT ESTABLISHED,NOT FOUND,,Tiger Global; Stripe; existing investors,Tier 4 - rejected,No Tier 1-3 dated absolute denominator located; CB Insights figure not used.,NEEDS_WORKBOOK
