# Fairway private software and fintech transactions.
# 66 transaction records across 60 companies. 32 rows feed medians; 34 are demoted because the row's
# OWN revenue_status calls the denominator an estimate, a proxy, a range midpoint or a construction.
#
# TRIAGE ONLY, NOT VERIFICATION. Every row here is marked STATUS-TRIAGE: the at-pricing rule has been
# applied to the file's own labels, NOT to primary sources. The consumer file has been through full
# primary-source verification; this one has not, and until it has, these multiples are weaker than the
# consumer ones no matter what in_medians says. 18 rows carry a '> threshold' metric and are now bound
# '<=' rather than printing as points. 10 rows are secondaries or tenders and are now labelled as such:
# a secondary is a mark, not a priced round, and must be shown that way even when it stays in medians.
transaction_id,company_key,company_name,date,date_iso,round_type,capital_raised_musd,post_money_musd,valuation_status,revenue_metric,revenue_musd,revenue_status,ev_revenue_x,subsector_as_supplied,screening_category_as_supplied,lead_key_investors,round_source_url,revenue_source_url,notes,transaction_type,denominator_basis,bound,in_medians,verification
lovable-2025-12,lovable,Lovable,Dec-25,2025-12,Series B,330.0,6600.0,Disclosed,ARR (> threshold),200.0,Disclosed,33.0,AI application development / vibe coding,"Data, AI & Developer Tools",CapitalG; Menlo Anthology; NVentures; Salesforce Ventures; Databricks Ventures,https://lovable.dev/blog/series-b,https://techcrunch.com/2025/12/18/vibe-coding-startup-lovable-raises-330m-at-a-6-6b-valuation/,Uses $200mm threshold for >$200mm ARR; multiple is a maximum.,PRIMARY,DISCLOSED_THRESHOLD,<=,1,STATUS-TRIAGE
ramp-2025-11,ramp,Ramp,Nov-25,2025-11,Primary financing + tender,300.0,32000.0,Disclosed,Annualized revenue (> threshold),1000.0,Disclosed,32.0,Spend management / corporate cards,Vertical Software,Lightspeed; Alpha Wave; Bessemer; Founders Fund; Coatue; Thrive,https://techcrunch.com/2025/11/17/ramp-hits-32b-valuation-just-three-months-after-hitting-22-5b/,https://techcrunch.com/2025/11/17/ramp-hits-32b-valuation-just-three-months-after-hitting-22-5b/,"Kept, bounded. $300m primary led by Lightspeed at $32bn post on 17-Nov-2025, three months after the $22.5bn round, PLUS an employee tender whose size was never disclosed, so it cannot be presented as a clean primary. Denominator is company-stated and at-pricing: Ramp's 9-Sep-2025 release says it 'surpassed $1 billion in annualized revenue'. Because that is a floor, 32.0x is a maximum and the true multiple is lower; the same release says revenue and customers doubled year on year.",MIXED,DISCLOSED_THRESHOLD,<=,1,VERIFIED
deel-2025-10,deel,Deel,Oct-25,2025-10,Series E,300.0,17300.0,Disclosed,ARR (> threshold),1000.0,Disclosed,17.3,"HR, payroll and global workforce",Enterprise Applications,Ribbit; a16z; Coatue; General Catalyst; Green Bay Ventures,https://www.deel.com/blog/new-investment-valuation/,https://www.deel.com/blog/new-investment-valuation/,Uses $1.0bn threshold; multiple is a maximum.,PRIMARY,DISCLOSED_THRESHOLD,<=,1,STATUS-TRIAGE
replit-2025-09,replit,Replit,Sep-25,2025-09,Series C,250.0,3000.0,Disclosed,Annualized revenue,150.0,Disclosed,20.0,AI coding / cloud development,"Data, AI & Developer Tools",Prysm; Google AI Futures Fund; Amex Ventures; a16z; Coatue,https://replit.com/news/funding-announcement-series-c,https://replit.com/news/funding-announcement-series-c,"Company-reported run-rate, not audited full-year revenue.",PRIMARY,DISCLOSED_ACTUAL,,1,STATUS-TRIAGE
sierra-2025-09,sierra,Sierra,Sep-25,2025-09,Growth financing,350.0,10000.0,Reported,Enterprise ARR / run-rate,100.0,Estimated / timing proxy,100.0,AI customer service agents,Communications & Customer Engagement,Greenoaks; Sequoia; Benchmark; ICONIQ; Thrive,https://techcrunch.com/2025/09/04/bret-taylors-sierra-raises-350m-at-a-10b-valuation/,https://techcrunch.com/2025/09/04/bret-taylors-sierra-raises-350m-at-a-10b-valuation/,On track for $100mm at round; reached in Nov-2025. Timing proxy.,PRIMARY,CONSTRUCTED,,0,STATUS-TRIAGE
harvey-2025-06,harvey,Harvey,Jun-25,2025-06,Series E,300.0,5000.0,Disclosed,Annualized run-rate revenue,75.0,Reported estimate,66.7,Legal AI / legal workflow,Vertical Software,Kleiner Perkins; Coatue; Sequoia; GV; DST; OpenAI Startup Fund,https://www.harvey.ai/blog/harvey-raises-series-e,https://techcrunch.com/2025/05/15/harvey-reportedly-in-discussions-to-raise-250m-at-5b-valuation/,"Revenue estimate as of Apr-2025, c. two months pre-round.",PRIMARY,THIRD_PARTY_ESTIMATE,,0,STATUS-TRIAGE
glean-2025-06,glean,Glean,Jun-25,2025-06,Series F,150.0,7200.0,Disclosed,ARR (> threshold),100.0,Disclosed,72.0,Enterprise search / knowledge management,Enterprise Applications,Wellington; Khosla; Bicycle; Altimeter; Coatue; Sequoia,https://www.glean.com/press/glean-raises-150m-series-f-at-7-2b-valuation-to-accelerate-enterprise-ai-agent-innovation-globally,https://www.glean.com/press/glean-achieves-100m-arr-in-three-years-delivering-true-ai-roi-to-the-enterprise,"Uses $100mm threshold; multiple is a maximum. Glean announced ARR surpassing $300mm in May-2026, which would imply 24.0x on the same price as a later timing proxy; the at-round print stays per the vintage rule.",PRIMARY,DISCLOSED_THRESHOLD,<=,1,STATUS-TRIAGE
anysphere-cursor-2025-06,anysphere-cursor,Anysphere / Cursor,Jun-25,2025-06,Series C,900.0,9900.0,Disclosed,ARR (> threshold),500.0,Disclosed,19.8,AI coding assistant / IDE,"Data, AI & Developer Tools",Thrive; a16z; Accel; DST Global,https://www.cursor.com/blog/series-c,https://www.cursor.com/blog/series-c,Uses $500mm threshold; multiple is a maximum.,PRIMARY,DISCLOSED_THRESHOLD,<=,1,STATUS-TRIAGE
openai-2025-03,openai,OpenAI,Mar-25,2025-03,Growth financing (conditional),40000.0,300000.0,Disclosed,Annualized recurring revenue,5500.0,Reported estimate,54.5,Foundation models / generative AI,"Data, AI & Developer Tools",SoftBank; Microsoft; Coatue; Altimeter; Thrive,https://openai.com/index/march-funding-updates/,https://openai.com/index/march-funding-updates/,"Uses end-2024 run-rate, closest pre-round measure; up-to financing had conditions.",PRIMARY,THIRD_PARTY_ESTIMATE,,0,STATUS-TRIAGE
anthropic-2025-03,anthropic,Anthropic,Mar-25,2025-03,Series E,3500.0,61500.0,Disclosed,Annualized revenue run-rate,1000.0,Reported estimate,61.5,Foundation models / generative AI,"Data, AI & Developer Tools",Lightspeed; Bessemer; Cisco; Fidelity; General Catalyst; Menlo,https://www.anthropic.com/news/anthropic-raises-series-e-at-usd61-5b-post-money-valuation,https://www.bloomberg.com/news/articles/2025-03-03/anthropic-finalizes-megaround-at-61-5-billion-valuation,Late-2024 / early-2025 run-rate; not GAAP revenue.,PRIMARY,THIRD_PARTY_ESTIMATE,,0,STATUS-TRIAGE
