# EVERY private round, with the announcement URL, for the user-count sweep of 3-Sep-2026.
# Daniil: "How many private round records do we have currently? Did we check for each of
# them the number of users at announcement?" We had checked eight. This is all of them.
tid,key,company,date,post,existing_metric,url
1password-2022-01,1password,1Password,Jan-22,6800.0,,https://1password.com/newsroom/1password-raises-620-million/
6sense-2022-01,6sense,6sense,Jan-22,5200.0,,https://www.prnewswire.com/news-releases/6sense-announces-200-million-series-e-round-increasing-valuation-to-5-2-billion-301464832.html
ag1-2022-01,ag1,AG1,Jan-22,1315.0,,https://techcrunch.com/2022/01/25/athletic-greens-valued-at-1-2b-nutrition-drink/
ag1athleticgreens-2022-01,ag1athleticgreens,AG1 (Athletic Greens),Jan-22,1315.0,,https://techcrunch.com/2022/01/25/athletic-greens-valued-at-1-2b-nutrition-drink/
abnormal-security-2024-08,abnormal-security,Abnormal Security,Aug-24,5100.0,,https://abnormal-website-rd-sandbox.vercel.app/newsroom/press-releases/series-d-5b-valuation
airwallex-2025-12,airwallex,Airwallex,Dec-25,8000.0,,https://www.airwallex.com/newsroom/airwallex-series-g
airwallex-2025-05,airwallex,Airwallex,May-25,6200.0,,https://www.airwallex.com/newsroom/airwallex-raises-300m-series-f
airwallex-2021-11,airwallex,Airwallex,Nov-21,5500.0,,https://www.airwallex.com/global/newsroom/airwallex-raises-additional-usd100-million-in-series-e1-led-by-lone-pine
airwallex-2022-10,airwallex,Airwallex,Oct-22,5500.0,TPV,https://www.airwallex.com/newsroom/airwallex-raises-us100-million-series-e2
airwallex-2021-09,airwallex,Airwallex,Sep-21,4000.0,,https://www.airwallex.com/newsroom/series-e
alan-2026-06,alan,Alan,Jun-26,5500.0,,https://alan.com/fr-fr/blog/tout-alan/a/alan-leve-480-millions-deuros-pour-faire-de-la-prevention-le-nouveau-standard-mondial-de-la-sante
alan-2022-05,alan,Alan,May-22,2700.0,,https://alan.com/en/blog/discover-alan/a/alan-2022-q1-letter-to-shareholders-x-series-e
alan-2024-09,alan,Alan,Sep-24,4500.0,,https://techcrunch.com/2024/09/20/health-insurance-startup-alan-reaches-45-billion-valuation-with-new-funding-round/
aledade-2023-06,aledade,Aledade,Jun-23,3500.0,,https://finance.yahoo.com/news/healthcare-startup-aledade-valued-3-175105397.html
algolia-2021-07,algolia,Algolia,Jul-21,2250.0,,https://www.algolia.com/about/news/algolia-advances-api-first-software-development-valuation-soars-to-2-25-billion-with-150-million-series-d-funding
alphasense-2022-06,alphasense,AlphaSense,Jun-22,1700.0,,https://www.prnewswire.com/news-releases/alphasenses-valuation-jumps-to-1-7-billion-with-225-million-series-d-led-by-goldman-sachs-asset-management-and-viking-global-301568717.html
alphasense-2024-06,alphasense,AlphaSense,Jun-24,4000.0,,https://news.bloomberglaw.com/private-equity/market-data-firm-alphasense-valued-at-4-billion-in-fundraise
alphasense-2023-09,alphasense,AlphaSense,Sep-23,2500.0,,https://techcrunch.com/2023/09/28/alphasense-an-ai-based-market-intel-firm-snaps-up-150m-at-a-2-5b-valuation/
ankorstore-2022-01,ankorstore,Ankorstore,Jan-22,2000.0,,techcrunch.com/2022/01/09/ankorstore-reaches-2-billion-valuation-two-years-after-launching-its-wholesale-marketplace/
anthropic-2026-02,anthropic,Anthropic,Feb-26,380000.0,,https://www.anthropic.com/news/anthropic-raises-30-billion-series-g-funding-380-billion-post-money-valuation
anthropic-2024-01,anthropic,Anthropic,Jan-24,18400.0,,https://www.forbes.com/sites/alexkonrad/2024/01/11/anthropic-750million-funding-round-menlo-ventures/
anthropic-2025-03,anthropic,Anthropic,Mar-25,61500.0,,https://www.anthropic.com/news/anthropic-raises-series-e-at-usd61-5b-post-money-valuation
anthropic-2023-05,anthropic,Anthropic,May-23,4000.0,,https://www.anthropic.com/news/anthropic-series-c
anthropic-2026-05,anthropic,Anthropic,May-26,965000.0,,https://www.anthropic.com/news/series-h
anthropic-2025-09,anthropic,Anthropic,Sep-25,183000.0,,https://www.anthropic.com/news/anthropic-raises-series-f-at-usd183b-post-money-valuation
anysphere-cursor-2025-06,anysphere-cursor,Anysphere / Cursor,Jun-25,9900.0,,https://www.cursor.com/blog/series-c
apollo-io-2023-08,apollo-io,Apollo.io,Aug-23,1600.0,,https://www.apollo.io/magazine/apolloio-secures-100-million-series-d-at-16b-valuation-to-drive-world-class-gtm
atombank-2022-02,atombank,Atom Bank,Feb-22,435.0,,https://www.uktech.news/fintech/atom-bank-ipo-funding-20220216
atombank-2023-11,atombank,Atom Bank,Nov-23,362.0,,https://www.atombank.co.uk/newsroom/investors-back-atom/
