investor_key,investor_name,house_type,layer,geographies,stage_bands,first_cheque_low_m,first_cheque_high_m,cheque_currency,thesis_one_liner,cheque_range_source,screening_categories,subsectors,recent_deal_1_company,recent_deal_1_date,recent_deal_1_source_url,recent_deal_2_company,recent_deal_2_date,recent_deal_2_source_url,last_verified,provenance,geographies_source,deal_note
nfx,NFX,VC,CALLABLE,"U.S., Israel, Latin America and Europe",Pre-seed; Seed,,,USD,We back exceptional Founders building market-transforming companies.,NOT PUBLISHED,Online Learning; Consumer & Prosumer Software,consumer; marketplaces; AI; network effects,Gizmo,2026-04,https://techcrunch.com/2026/04/15/ai-learning-app-gizmo-levels-up-with-13m-users-and-a-22m-investment/,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026, fetch-only (session search budget exhausted); every page named here was read that day. nfx.com, nfx.com/about, TechCrunch Gizmo article.",https://www.nfx.com/about,"TechCrunch, 15-Apr-2026, $22m Series A into Gizmo (AI study app for students, gamified): 'The Series A round was led by Shine Capital, with participation from Ada Ventures, Seek Investments, GSV, and NFX'. NFX led Gizmo's earlier $3.5m seed per the same article. Stage from nfx.com/about: 'We typically invest in seed and pre-seed companies.' No cheque size published."
lerer-hippeau,Lerer Hippeau,VC,CALLABLE,based in New York City,Pre-seed; Seed,,,USD,"Generalist investors, specializing in pre-seed and seed.",NOT PUBLISHED,Consumer & Prosumer Software,consumer; digital health; AI; commerce,MOTHER.tech (Degen app),2026-05,https://techfundingnews.com/mother-tech-15m-seed-gv-lerer-hippeau-degen-ai-app/,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026, fetch-only (session search budget exhausted); every page named here was read that day. lererhippeau.com, lererhippeau.com/portfolio, Tech Funding News article.",https://www.lererhippeau.com/portfolio,"Tech Funding News, 5-May-2026: 'MOTHER.tech, a creative studio based in Brooklyn, has raised $15 million in seed funding' and 'Investors include GV, Lerer Hippeau Ventures, BoxGroup, and Shine Capital.' Degen is a one-tap consumer AI app for images, videos and memes. Participation, not lead; the site states pre-seed and seed as its specialism."
boxgroup,BoxGroup,VC,CALLABLE,Built in NYC + SF; funds companies anywhere,Pre-seed; Seed; Series A,,1,USD,The Earliest Investor: we invest as early as the pre-seed round and as late as Series A.,https://www.boxgroup.com/about,Consumer & Prosumer Software,consumer; marketplaces; developer tools; frontier,MOTHER.tech (Degen app),2026-05,https://techfundingnews.com/mother-tech-15m-seed-gv-lerer-hippeau-degen-ai-app/,Era Computer,2026-04,https://techcrunch.com/2026/04/23/era-computer-raises-11m-to-build-a-software-platform-for-ai-gadgets/,2026-09-05,"CLAUDE PULL 05-Sep-2026, fetch-only (session search budget exhausted); every page named here was read that day. boxgroup.com/about, boxgroup.com/portfolio, Tech Funding News, TechCrunch Era article.",https://www.boxgroup.com/about,"Tech Funding News, 5-May-2026, $15m seed: 'Investors include GV, Lerer Hippeau Ventures, BoxGroup, and Shine Capital.' Second deal shows it co-leads: TechCrunch, 23-Apr-2026, Era Computer '$9 million seed round (led by Abstract Ventures and BoxGroup)', a device software platform rather than a consumer app. Cheque from boxgroup.com/about: 'Investing up to $1M'; low end not published."
betaworks,Betaworks,VC,CALLABLE,companies based anywhere in the world; in-person time in NYC required for Camp,Pre-seed; Seed,,0.25,USD,A thematic investment and in-residence program for startups building in frontier technologies.,https://www.betaworks.com/camp/application,Consumer & Prosumer Software,AI; agents; interfaces; native applications,Marker,2026-07,https://pulse2.com/marker-raises-13-million-seed-funding-to-build-an-ai-native-word-processor/,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026, fetch-only (session search budget exhausted); every page named here was read that day. betaworks.com, betaworks.com/camp, betaworks.com/camp/application, Pulse 2.0 article.",https://www.betaworks.com/camp/application,"Pulse 2.0, 10-Jul-2026: 'Index Ventures has led a $13 million seed round for Marker, a London-based startup developing an AI-native word processor ... The funding round includes participation from LocalGlobe, Betaworks, Radical Ventures, Tiny VC and Otherwise Fund'. Cheque from the Camp application page: 'Betaworks and our syndicate partners will each invest up to $250k for a total of up to $500k investment per team'; the Betaworks half is recorded. Stage: the Camp page describes Betaworks as 'a pre-seed and seed stage investor'."
homebrew,Homebrew,VC,CALLABLE,"North or South America, initially targeting markets in those geographies",Pre-seed; Seed,0.1,0.5,USD,"Capital, counsel and commitment for mission-driven founders reimagining the world we live in.",https://www.homebrew.co/,Online Learning; Consumer & Prosumer Software,mission-driven founders; consumer; AI,Oboe,2025-09,https://techcrunch.com/2025/09/10/after-selling-to-spotify-anchors-co-founders-are-back-with-oboe-an-ai-powered-app-for-learning/,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026, fetch-only (session search budget exhausted); every page named here was read that day. homebrew.co, homebrew.co blog post on Oboe, TechCrunch Oboe article.",https://www.homebrew.co/,"TechCrunch, 10-Sep-2025: 'The startup's $4 million seed round was led by Eniac Ventures ... The round also includes investment from Haystack, Factorial Capital, Homebrew, Offline Ventures'. Oboe is a consumer AI learning app with a free tier, $15 and $40 a month plans. Cheque from homebrew.co: '90% of what we do is pre-seed/seed investments of between $100k and $500k.' Deal sits exactly twelve months back on 5-Sep-2026."
haystack,Haystack,VC,CALLABLE,Silicon Valley and beyond,,1,3,USD,Backing outlier founders at the earliest stages.,https://haystack.vc/,Online Learning; Consumer & Prosumer Software,software; consumer; AI,Oboe,2025-09,https://techcrunch.com/2025/09/10/after-selling-to-spotify-anchors-co-founders-are-back-with-oboe-an-ai-powered-app-for-learning/,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026, fetch-only (session search budget exhausted); every page named here was read that day. haystack.vc, haystack.vc/about-us, TechCrunch Oboe article.",https://haystack.vc/about-us,"TechCrunch, 10-Sep-2025, $4m seed led by Eniac with 'investment from Haystack, Factorial Capital, Homebrew'. Cheque from haystack.vc: 'We typically invest $1M to $3M in initial rounds and can lead or participate.' STAGE BAND LEFT EMPTY: the site says 'earliest stages' and 'initial rounds', not a named band, and silence is not a claim; the render gate will hold this row until a band is stated or ruled."
eniac-ventures,Eniac Ventures,VC,CALLABLE,NYC,Seed,,,USD,We partner with founders from 0 to 1.,NOT PUBLISHED,Online Learning; Consumer & Prosumer Software,seed; 0 to 1; AI; consumer,Oboe,2025-09,https://techcrunch.com/2025/09/10/after-selling-to-spotify-anchors-co-founders-are-back-with-oboe-an-ai-powered-app-for-learning/,Kin Health,2026-05,https://techcrunch.com/2026/05/18/kin-health-raises-9m-to-build-an-ai-notetaker-for-patients/,2026-09-05,"CLAUDE PULL 05-Sep-2026, fetch-only (session search budget exhausted); every page named here was read that day. eniac.vc, eniac.vc/stories, TechCrunch Oboe and Kin Health articles.",https://eniac.vc/,"TechCrunch, 10-Sep-2025: 'The startup's $4 million seed round was led by Eniac Ventures, the VC firm that led Anchor's seed.' TechCrunch, 18-May-2026, Kin Health $9m seed led by Maveron 'with participation from Town Hall Ventures, Eniac Ventures, Flex Capital, Foundry Square Capital, Pear VC, and The Family Fund'. Stage from eniac.vc: 'from 0 to 1' with the site's seed positioning; no cheque size published."
maveron,Maveron,VC,CALLABLE,,Seed,,,USD,A consumer-centric venture capital firm focused on partnering with world-class entrepreneurs that change the way we live.,NOT PUBLISHED,Consumer & Prosumer Software,consumer brands; healthcare; commerce; consumer behavior change,Kin Health,2026-05,https://maveronvc.substack.com/p/maveron-leads-9m-seed-round-in-kin,Kin Health,2026-05,https://techcrunch.com/2026/05/18/kin-health-raises-9m-to-build-an-ai-notetaker-for-patients/,2026-09-05,"CLAUDE PULL 05-Sep-2026, fetch-only (session search budget exhausted); every page named here was read that day. maveron.com, maveronvc.substack.com Kin post, TechCrunch Kin Health article.",NOT PUBLISHED,"Maveron's own post, 21-May-2026: 'Maveron have led a $9 million seed round in Kin Health', a free consumer app that records the doctor visit and writes a plain-language summary. TechCrunch, 18-May-2026: 'the startup has raised $9 million in a seed funding round led by Maveron.' Stage band 'Seed' is what the fund states in its own words about this round ('led a ... seed round'); maveron.com describes 'early-stage investing in consumer brands' without naming bands. No cheque size or geography published."
pear-vc,Pear VC,VC,CALLABLE,"San Francisco and Menlo Park, California (offices)",Pre-seed; Seed,0.25,6,USD,We're seed specialists that partner with founders at the earliest stages to turn great ideas into category-defining companies.,https://pear.vc/how-we-invest,Consumer & Prosumer Software,seed specialists; pre-seed (PearX); company builders,Kin Health,2026-05,https://techcrunch.com/2026/05/18/kin-health-raises-9m-to-build-an-ai-notetaker-for-patients/,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026, fetch-only (session search budget exhausted); every page named here was read that day. pear.vc, pear.vc/how-we-invest, pear.vc/news, TechCrunch Kin Health article.",https://pear.vc/how-we-invest,"TechCrunch, 18-May-2026, $9m seed led by Maveron: 'The funding round also saw participation from Town Hall Ventures, Eniac Ventures, Flex Capital, Foundry Square Capital, Pear VC, and The Family Fund.' Cheque from pear.vc/how-we-invest: 'We write early checks that range from $250K to $6M', pre-seed $250K to $2M, seed $1M to $6M."
nextview-ventures,NextView Ventures,VC,CALLABLE,"North America; offices in San Francisco, New York, and Boston",Pre-seed; Seed,0.25,4,USD,We lead rounds for pre-traction companies that leverage AI and software to tackle mass market human problems.,https://nextview.vc/approach/,Consumer & Prosumer Software,mass market end users; AI and software; pre-traction,Fambot,2026-09,https://techcrunch.com/2026/09/01/fambot-introduces-an-ai-chief-of-staff-for-families/,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026, fetch-only (session search budget exhausted); every page named here was read that day. nextview.vc, nextview.vc/approach/, nextview.vc/press/, TechCrunch Fambot article.",https://nextview.vc/approach/,"TechCrunch, 1-Sep-2026: 'The startup is backed by $3.5 million in pre-seed funding, co-led by NextView Ventures and Baukunst'. Fambot is a consumer AI assistant for family logistics. Cheque from nextview.vc/approach: 'Our initial investments range from $250K to $4M'."
