# Fairway peer set: LISTED SPECIALTY FINANCE AND LENDING. Transcribed 30-Aug-2026 from Daniil's
# S&P Capital IQ Pro screen, currency USD, 79 names, rows 9 to 87 of the sheet.
#
# WHY THIS FILE IS SEPARATE. A lender is priced on price to book and on earnings, never on
# EV/revenue: revenue for a lending business contains interest earned on BORROWED money, so it
# scales with leverage rather than with value, and enterprise value adds back the debt that IS the
# product. This file therefore carries P/E and P/BV and no revenue multiple at all. It is fenced off
# from every other sector by balance_sheet_compatible(): a lender never prices a non-lender and the
# reverse.
#
# WHAT IS IN EACH COLUMN. Everything is as it appeared on the screen. Nothing is computed here.
#   ni_fy0/fy1/fy2_musd  net income, consensus, in US$ millions. A NEGATIVE figure is stored with a
#                        minus sign: Klarna FY+0 is -241, Navient FY+0 is -5, UWM FY+1 is -6.
#   ni_ntm_musd          net income, next twelve months.
#   bvps_2026/2027/ntm   book value per share. BLANK where the screen returned no value.
#   pe_ntm_x             price to earnings on NTM net income. Blank where the screen showed n.a.
#   pb_ntm_x             PRICE TO BOOK on NTM book value per share. Blank where the screen showed
#                        n.a., which is the case for 21 of the 79 names because no BVPS pulled.
#                        THOSE 21 ARE THE OUTSTANDING ITEM: they need a reported book value before
#                        they can enter a median.
#   ni_growth_pct        as shown on the screen. Read it with care where net income crosses zero:
#                        Klarna shows -1904% and UWM -11974%, which are artefacts of dividing by a
#                        near-zero or negative base, not real growth rates. Banca IFIS at 316% and
#                        Coastal at 231% are similar. These must never enter a growth band.
#
# TWO NAMES TO WATCH. Klarna Group plc is here as a listed lender (NYSE:KLAR) and carries consumer
# credit risk, which is exactly why it must not price an embedded-payments company. Block, Inc.
# (NYSE:XYZ) is in the payments file, not here, on Daniil's ruling of 29-Aug: it trades on EBITDA in
# reality, and the next best bases are EV/revenue and P/E, not P/BV. Its row is carried below for
# reference only and is marked in_medians=0.
company_name,exchange_ticker,country,market_cap_musd,price_per_share,ni_fy0_musd,ni_fy1_musd,ni_fy2_musd,ni_ntm_musd,bvps_2026,bvps_2027,bvps_ntm,p_e_x,p_bv_x,ni_growth_pct,in_medians,gmv_cy0_musd,gmv_ntm_musd,ev_ntm_gmv_x,as_of,revenue_growth_cagr_cy1_cy3_pct,revenue_growth_cy1_pct,revenue_growth_cy2_pct,revenue_growth_cy3_pct,n_estimates
"OneMain Holdings, Inc.",NYSE:OMF,United States,7030,61,787,817,963,915,30.24,33.77,33,7.7,1.9,18,1,,,,2026-09-01,7.9,77.1,7.5,8.4,9
Oportun Financial Corporation,NASDAQ:OPRT,United States,328,7,64,78,101,94,9.04,10.41,10,3.5,0.7,29,1,,,,2026-09-01,7.2,30.5,5.3,9.2,4
"PROG Holdings, Inc.",NYSE:PRG,United States,1498,38,140,201,225,217,21.59,26.70,24.9,6.9,1.6,12,1,2497,3458,0.678,2026-09-01,8.9,27.0,8.0,9.8,8
Pagaya Technologies Ltd.,NASDAQ:PGY,United States,1747,21,268,360,408,392,7.06,9.01,8.3,4.5,2.6,13,1,,,,2026-09-01,14.4,13.0,15.2,13.6,11
"PennyMac Financial Services, Inc.",NYSE:PFSI,United States,3677,71,638,391,558,503,86.81,97.13,94,7.3,0.8,43,1,,,,2026-09-01,11.3,-36.1,27.1,-2.5,5
"Triumph Financial, Inc.",NYSE:TFIN,United States,1661,70,16,49,77,68,39.62,42.47,42,24.5,1.7,57,1,,,,2026-09-01,10.5,9.0,10.5,10.5,5
S&U plc,LSE:SUS,United Kingdom,329,27,32,36,42,39,29.76,31.44,30,8.4,0.9,16,1,,,,2026-09-01,15.8,50.8,20.3,11.6,4
OSB Group Plc,LSE:OSB,United Kingdom,2374,7,381,360,384,369,9.22,9.89,10,6.4,0.7,7,1,,,,2026-09-01,6.3,2.8,4.3,8.3,10
Funding Circle Holdings plc,LSE:FCH,United Kingdom,859,3,20,46,61,55,1.16,1.31,1.3,15.5,2.6,34,1,,,,2026-09-01,10.7,26.7,9.7,11.7,6
Grenke AG,XTRA:GLJ,Germany,586,13,71,73,86,81,31.98,33.29,33,7.2,0.4,17,1,,,,2026-09-01,6.0,24.7,6.0,5.9,4
Multitude AG,XTRA:MULT,Switzerland,146,7,30,34,39,37,12.44,12.04,12,3.9,0.6,17,1,,,,2026-09-01,4.7,85.4,3.7,5.7,4
Banca IFIS S.p.A.,BIT:IF,Italy,1056,17,153,36,148,110,40.44,41.95,41,9.6,0.4,316,1,,,,2026-09-01,2.7,16.7,2.0,3.3,3
BFF Bank S.p.A.,BIT:BFF,Italy,677,4,176,153,150,150,5.60,5.97,6,4.5,0.6,-2,1,,,,2026-09-01,-4.6,19.1,-11.3,2.6,3
Cembra Money Bank AG,SWX:CMBN,Switzerland,3205,110,234,256,262,257,58.93,62.40,61,12.5,1.8,2,1,,,,2026-09-01,1.9,17.8,1.6,2.1,3
Avarda Bank AB (publ),OM:AVARDA,Sweden,1415,22,70,88,107,100,5.85,6.90,6,14.2,3.4,22,1,,,,2026-09-01,19.7,94.5,21.6,17.9,2
KRUK Spolka Akcyjna,WSE:KRU,Poland,2064,106,306,311,357,338,83.38,96.19,91,6.1,1.2,15,1,,,,2026-09-01,11.4,31.5,12.3,10.6,4
Lufax Holding Ltd,NYSE:LU,China,1049,1,170,324,243,170,18.27,13.87,15,6.2,0.1,-25,1,,,,2026-09-01,1.4,-15.2,-1.3,4.2,3
"Qfin Holdings, Inc.",NASDAQ:QFIN,China,1019,8,899,529,578,393,31.04,34.34,32,2.6,0.3,9,1,,,,2026-09-01,-3.4,-31.7,-8.1,1.6,7
Far East Horizon Limited,SEHK:3360,Hong Kong,4369,1,571,597,634,622,1.67,1.73,2,7.0,0.5,6,1,,,,2026-09-01,3.9,7.5,3.9,3.9,7
Latitude Group Holdings Limited,ASX:LFS,Australia,696,1,68,91,87,88,0.83,0.84,1,7.9,0.8,-4,1,,,,2026-09-01,3.6,65.5,3.6,3.6,1
Pepper Money Limited,ASX:PPM,Australia,612,1,69,78,86,83,1.46,1.53,2,7.4,0.9,10,1,,,,2026-09-01,5.7,17.8,3.4,8.0,2
Banco BMG S.A.,BOVESPA:BMGB4,Brazil,693,1,93,113,120,118,1.41,1.54,1,5.9,0.7,7,1,,,,2026-09-01,5.5,167.3,5.0,6.0,1
"Pathward Financial, Inc.",NASDAQ:CASH,United States,1669,80,166,170,192,191,,,47,8.7,1.7,13,0,,,,2026-09-01,5.7,5.1,5.7,5.7,3
"Cass Information Systems, Inc.",NASDAQ:CASS,United States,707,55,30,39,47,44,19.96,21.56,21,16.1,2.6,20,1,36447,68570,0.008,2026-09-01,6.5,-1.3,6.5,6.5,5
Credit Acceptance Corporation,NASDAQ:CACC,United States,6168,594,455,522,608,563,,,,11.0,,16,0,,,,2026-09-01,7.1,72.6,7.1,7.1,3
Atlanticus Holdings Corporation,NASDAQ:ATLC,United States,1354,89,114,182,254,230,,,51,5.9,1.7,40,0,,,,2026-09-01,17.1,438.8,12.7,21.7,3
Sezzle Inc.,NASDAQ:SEZL,United States,3856,115,120,183,234,217,,,,17.8,,28,0,3940,6157,0.658,2026-09-01,20.0,35.2,24.3,15.8,7
Close Brothers Group plc,LSE:CBG,United Kingdom,837,6,69,87,134,139,,,14,6.0,0.4,53,0,,,,2026-09-01,5.9,-2.3,4.3,7.5,6
Paragon Banking Group PLC,LSE:PAG,United Kingdom,1996,11,289,287,298,296,,,12,6.7,0.9,4,0,,,,2026-09-01,2.8,1.5,2.3,3.2,8
Time Finance plc,AIM:TIME,United Kingdom,72,1,9,10,,10,,,,7.4,,-100,0,,,,,,,,,
Distribution Finance Capital Holdings plc,AIM:DFCH,United Kingdom,161,1,,23,27,23,,,,6.9,,15,0,,,,,,,,,
Bajaj Finance Limited,NSEI:BAJFINANCE,India,69047,11,2047,2699,3289,2960,,,3,23.3,4.4,22,0,,,,2026-09-01,24.5,40.9,26.6,22.4,27
Shriram Finance Limited,NSEI:SHRIRAMFIN,India,26272,11,1037,1457,1740,1577,,,5,16.7,2.1,19,0,,,,2026-09-01,21.0,54.3,25.3,16.8,0
Cholamandalam Investment and Finance Company Limited,NSEI:CHOLAFIN,India,16319,19,543,708,871,783,,,5,20.8,3.8,23,0,,,,2026-09-01,23.7,50.4,27.2,20.3,5
Five-Star Business Finance Limited,NSEI:FIVESTAR,India,1674,6,118,126,153,140,,,3,12.0,1.7,21,0,,,,2026-09-01,18.9,21.6,20.4,17.3,5
Humm Group Limited,ASX:HUM,Australia,152,0,19,23,26,26,,,1,5.8,1.5,10,0,,,,2026-09-01,20.7,64.4,42.8,2.0,1
Judo Capital Holdings Limited,ASX:JDO,Australia,870,1,78,105,138,112,,,1,7.8,0.6,30,0,,,,2026-09-01,18.8,33.5,26.4,11.7,12
Capital One Financial Corporation,NYSE:COF,United States,129654,211,10895,12576,13655,13213,182.40,198.67,194,9.8,1.1,9,1,,,,2026-09-01,5.9,95.2,6.0,5.8,19
Ally Financial Inc.,NYSE:ALLY,United States,12605,42,1168,1615,1906,1811,47.02,52.48,50,7.0,0.8,18,1,,,,2026-09-01,4.8,22.8,6.3,3.3,15
"Affirm Holdings, Inc.",NASDAQ:AFRM,United States,23599,70,1139,1391,1868,1690,,,,14.0,,34,0,,,,2026-09-01,25.3,30.3,26.3,24.4,32
"SoFi Technologies, Inc.",NASDAQ:SOFI,United States,22021,17,448,804,1136,1027,8.90,9.86,10,21.4,1.8,41,1,,,,2026-09-01,23.3,36.4,26.0,20.8,22
