# Fairway tags for the 31 private consumer, commerce and commerce-software companies.
#
# THE SPLIT RULE, applied exactly as it was for fintech. A company that SELLS SOFTWARE TO MERCHANTS
# keeps the SOFTWARE archetypes with industry = Retail & E-commerce, so a founder building commerce
# software matches Klaviyo and also matches the listed software set. A company that IS a consumer or
# commerce business gets the consumer archetypes. Nine are software: Klaviyo, Yotpo, Rokt, Gorgias,
# CommerceIQ, Fabric, Mirakl, Loop Returns, Recharge. Twenty-two are not.
company_key,company_name,archetype,archetype_secondary,industry,function,buyer,gtm_motion,revenue_model,product_role,asset_intensity,purchase_frequency,ai_stance,product_tags,what_it_does
ag1,AG1,Consumer Brand,,Healthcare & Life Sciences,Commerce Operations,CONSUMER,PAID_ACQUISITION,SUBSCRIPTION_CONSUMER,BRAND,OWN_PRODUCT,SUBSCRIPTION,AI_NEUTRAL,Nutritional Supplements|Subscription Commerce|Direct-to-Consumer|Owned Brand|Greens Powder|Influencer Marketing|Podcast Advertising,"single-product daily supplement sold entirely on subscription, acquired through podcast and creator advertising rather than retail shelf"
ankorstore,Ankorstore,Third-Party Marketplace,,Retail & E-commerce,Marketplace Operations,SMB,NETWORK_EFFECT,TAKE_RATE,AGGREGATOR,NONE,REPEAT_TRANSACTION,AI_NEUTRAL,B2B Marketplace|Wholesale Marketplace|Independent Retailers|Brand Discovery|Net Terms|Europe,"wholesale marketplace connecting independent European retailers with small brands, funding the retailer's terms and taking a cut of the order"
away,Away,Consumer Brand,,Apparel & Beauty,Commerce Operations,CONSUMER,ORGANIC_BRAND,PRODUCT_SALES,BRAND,OWN_PRODUCT,EPISODIC,AI_NEUTRAL,Luggage|Travel Accessories|Direct-to-Consumer|Owned Brand|Owned Retail|Design-Led|Community Brand,"direct-to-consumer luggage brand that designs its own hard-shell cases and sells them online and through its own stores, a low-frequency high-ticket purchase rather than a repeat one"
back-market,Back Market,Third-Party Marketplace,,Retail & E-commerce,Marketplace Operations,SMB,NETWORK_EFFECT,TAKE_RATE,DESTINATION,NONE,EPISODIC,AI_NEUTRAL,Online Marketplace|Refurbished Electronics|Recommerce|Circular Economy|Third-Party Sellers|Quality Certification|Europe,"marketplace for professionally refurbished phones and laptops, where the differentiator is vetting the refurbishers rather than holding the stock"
commerceiq,CommerceIQ,Marketing & Customer Engagement,"Data, AI & Developer Tools",Retail & E-commerce,Marketing,ENT_IT,ENT_SALES,PLATFORM,SOE,NONE,SUBSCRIPTION,AI_EMBEDDED,Retail Media|Amazon Advertising|E-commerce Management|Digital Shelf|Retail Analytics|Supply Chain|Brand Management,"manages a consumer brand's presence on Amazon and other retailers, joining advertising bids to inventory and pricing"
fabric,Fabric,Commerce & Payments Software,,Retail & E-commerce,IT & Integration,ENT_IT,ENT_SALES,PLATFORM,INFRA_LAYER,NONE,SUBSCRIPTION,AI_NEUTRAL,Headless Commerce|Commerce Platform|API-First|Order Management|Product Information Management|Composable Commerce,"API-first commerce platform sold as a replacement for a monolithic storefront, so the buyer is an enterprise engineering team"
faire,Faire,Third-Party Marketplace,,Retail & E-commerce,Marketplace Operations,SMB,NETWORK_EFFECT,TAKE_RATE,AGGREGATOR,NONE,REPEAT_TRANSACTION,AI_EMBEDDED,B2B Marketplace|Wholesale Marketplace|Independent Retailers|Brand Discovery|Net Terms|Free Returns,"the same wholesale model at larger scale, underwriting free returns and sixty-day terms for the retailer as the acquisition tool"
flipkart,Flipkart,Third-Party Marketplace,Owned-Inventory Retail,Horizontal,Marketplace Operations,SMB,NETWORK_EFFECT,TAKE_RATE,DESTINATION,MIXED,REPEAT_TRANSACTION,AI_NEUTRAL,Online Marketplace|E-commerce|General Merchandise|Third-Party Sellers|Fulfilment|India|Fashion|Grocery,"Indian general-merchandise marketplace with a separate B2B wholesale entity, which is why its published revenue depends entirely on which legal entity is being quoted"
glossier,Glossier,Consumer Brand,,Apparel & Beauty,Commerce Operations,CONSUMER,ORGANIC_BRAND,PRODUCT_SALES,BRAND,OWN_PRODUCT,REPEAT_TRANSACTION,AI_NEUTRAL,Beauty|Cosmetics|Skincare|Direct-to-Consumer|Community Brand|Owned Retail|Wholesale|Owned Brand,"beauty brand built out of a blog audience, direct-only for most of its life and now also in Sephora"
goat-group,GOAT Group,Third-Party Marketplace,,Apparel & Beauty,Marketplace Operations,CONSUMER,NETWORK_EFFECT,TAKE_RATE,DESTINATION,MIXED,EPISODIC,AI_NEUTRAL,Online Marketplace|Sneaker Resale|Streetwear|Authentication|Recommerce|Consignment|Apparel,sneaker and streetwear resale marketplace with authentication centres and an owned retail arm through Flight Club
gorgias,Gorgias,Commerce & Payments Software,Business Applications,Retail & E-commerce,Customer Service,SMB,PLG,SEATS,SOE,NONE,SUBSCRIPTION,AI_EMBEDDED,Customer Support|Helpdesk|E-commerce Support|Shopify Ecosystem|AI Agents|Ticketing|Live Chat,"helpdesk built for online merchants, with the order record inside the ticket, now resolving a large share of contacts with agents"
harrys,Harry's,Consumer Brand,,Apparel & Beauty,Commerce Operations,CONSUMER,CHANNEL,SUBSCRIPTION_CONSUMER,BRAND,OWN_PRODUCT,SUBSCRIPTION,AI_NEUTRAL,Shaving|Razors|Personal Care|Grooming|Subscription Commerce|Direct-to-Consumer|Wholesale|Owned Brand|House of Brands,"shaving brand that owns its German blade factory and sells both direct on subscription and through mass retail, now operating several brands"
huel,Huel,Consumer Brand,,Food & Grocery,Commerce Operations,CONSUMER,PAID_ACQUISITION,SUBSCRIPTION_CONSUMER,BRAND,OWN_PRODUCT,SUBSCRIPTION,AI_NEUTRAL,Meal Replacement|Nutrition|Subscription Commerce|Direct-to-Consumer|Owned Brand|Plant-Based|United Kingdom,"nutritionally complete meal-replacement brand sold on a direct subscription, with a growing retail channel behind it"
klaviyo,Klaviyo,Marketing & Customer Engagement,"Data, AI & Developer Tools",Retail & E-commerce,Marketing,SMB,PLG,PLATFORM,SOE,NONE,SUBSCRIPTION,AI_EMBEDDED,Marketing Automation|Email Marketing|SMS Marketing|Customer Data Platform|E-commerce Marketing|Shopify Ecosystem|Segmentation|Retention,"owned-marketing platform for online merchants, built on a customer data layer that reads the store's order history; now listed as NYSE:KVYO"
liquid-death,Liquid Death,Consumer Brand,,Food & Grocery,Commerce Operations,CONSUMER,CHANNEL,PRODUCT_SALES,BRAND,OWN_PRODUCT,REPEAT_TRANSACTION,AI_NEUTRAL,Canned Water|Beverages|Brand Marketing|Grocery Distribution|Convenience|Owned Brand|CPG,"canned water and iced tea brand whose asset is the marketing voice rather than the liquid, distributed through grocery, convenience and venues"
