# Investor houses appearing in the private consumer, commerce and commerce-software set.
# DERIVED from private-rounds-consumer.csv; regenerate rather than hand-edit.
#
# rounds_led is what the reveal should show. The supplied sheet listed investors without saying who
# led, and independent verification found several lists that were simply wrong: Attentive's Series E
# did not include Sequoia or Bain Capital Ventures, Glossier's Series E did not include Tiger Global,
# Vuori's 2021 round did not include Norwest, OLIPOP's Series C did not include Goldman Sachs AM, and
# Rokt's 2025 secondary was bought by Tiger Global, Square Peg, Barrenjoey and SecondQuarter, not by
# Wellington, which was the 2022 deal. Only houses named in a source that survived verification are
# here.
#
# rounds_on_secondaries matters: buying existing shares in a tender is not the same signal as leading
# a priced primary round, and a founder reading "who is investing in this space" should be able to
# tell the two apart.
investor_house,rounds,rounds_led,rounds_on_secondaries,companies,company_list,first_round,last_round
General Atlantic,5,4,1,4,Back Market; SHEIN; Trendyol; Vuori,2021-08,2024-11
Tiger Global,6,3,2,6,Ankorstore; Meesho; Rokt; SHEIN; StockX; Yotpo,2021-03,2025-01
ICONIQ,4,3,0,3,Quince; Recharge; Whatnot,2021-05,2026-08
SoftBank Vision Fund 2,6,2,1,6,CommerceIQ; Fabric; Flipkart; Trendyol; Vestiaire Collective; Vuori,2021-07,2022-03
CapitalG,3,2,1,1,Whatnot,2022-07,2026-08
DST Global,3,2,1,1,Whatnot,2022-07,2026-08
EQT,2,2,1,1,Vinted,2021-05,2026-04
Square Peg,2,2,2,1,Rokt,2022-12,2025-01
Wellington,2,2,1,2,Rokt; SKIMS,2022-12,2023-07
Fidelity,2,1,0,1,Meesho,2021-09,2024-05
Shopify,2,1,0,2,Gorgias; Loop Returns,2021-07,2022-08
Alpha Wave Global,1,1,0,1,AG1,2022-01,2022-01
Altimeter,1,1,1,1,StockX,2021-04,2021-04
Avra,1,1,0,1,Whatnot,2026-08,2026-08
Bain Capital,1,1,0,1,Harry's,2021-03,2021-03
Bessemer,1,1,0,1,Yotpo,2021-03,2021-03
Bond,1,1,0,1,Ankorstore,2022-01,2022-01
CRV,1,1,0,1,Loop Returns,2021-07,2021-07
Durable Capital Partners,1,1,0,1,Faire,2021-11,2021-11
Goldman Sachs Alternatives,1,1,0,1,SKIMS,2025-11,2025-11
Highland Europe,1,1,0,1,Huel,2022-11,2022-11
J.P. Morgan Private Capital,1,1,0,1,OLIPOP,2025-02,2025-02
L Catterton,1,1,0,1,Savage X Fenty,2021-02,2021-02
Lightspeed,1,1,0,1,Whatnot,2026-08,2026-08
Lone Pine,1,1,0,1,Glossier,2021-07,2021-07
Macquarie Capital,1,1,0,1,Harry's,2021-03,2021-03
Park West,1,1,0,1,GOAT Group,2021-06,2021-06
Peak XV,1,1,0,1,Meesho,2024-05,2024-05
Sands Capital,1,1,0,1,Klaviyo,2021-05,2021-05
Silver Lake,1,1,0,1,Mirakl,2021-09,2021-09
TPG,1,1,1,1,Vinted,2024-10,2024-10
Transpose Platform,1,1,0,1,Gorgias,2022-08,2022-08
Walmart,1,1,0,1,Flipkart,2021-07,2021-07
Insight,4,0,0,3,CommerceIQ; Quince; Vinted,2021-05,2026-03
Sequoia,3,0,1,3,Faire; Glossier; Whatnot,2021-07,2025-10
Accel,2,0,0,2,Klaviyo; Vinted,2021-05,2021-05
D1,2,0,0,2,Faire; SKIMS,2021-11,2023-07
Dragoneer,2,0,1,2,Faire; StockX,2021-04,2021-11
Eurazeo,2,0,0,2,Ankorstore; Back Market,2022-01,2022-01
Forerunner,2,0,0,2,Fabric; Glossier,2021-07,2022-02
Generation IM,2,0,0,2,Back Market; Vestiaire Collective,2021-09,2022-01
Sequoia China,2,0,0,1,SHEIN,2022-04,2023-05
SoftBank,2,0,0,1,Meesho,2021-09,2024-05
existing investors,2,0,0,2,Quince; SKIMS,2025-11,2026-03
83North,1,0,0,1,Mirakl,2021-09,2021-09
8VC,1,0,0,1,Quince,2025-07,2025-07
ADQ,1,0,0,1,Trendyol,2021-08,2021-08
Adage,1,0,0,1,GOAT Group,2021-06,2021-06
Aglae,1,0,0,1,Back Market,2022-01,2022-01
Alkeon,1,0,1,1,Whatnot,2025-10,2025-10
Andreessen Horowitz,1,0,0,1,Whatnot,2026-08,2026-08
Avenir,1,0,0,1,Savage X Fenty,2021-02,2021-02
B Capital,1,0,0,1,Meesho,2021-09,2021-09
BDT & MSD,1,0,0,1,SKIMS,2025-11,2025-11
Baillie Gifford,1,0,1,1,Vinted,2024-10,2024-10
Bain Capital Ventures,1,0,0,1,Recharge,2021-05,2021-05
Barrenjoey,1,0,1,1,Rokt,2025-01,2025-01
