# TPV DISCLOSURE RESEARCH, supplied by Daniil 31-Aug-2026, transcribed the same session.
# Every row carries the issuer's own metric name, the exact scope, an audit note and a filing URL.
#
# THE comparability_category COLUMN IS THE ONE THAT MATTERS. "Consolidated TPV" is the whole
# company. "Segment-only payment volume" is one segment against a group enterprise value, which is
# the U-NEXT error in a different suit. "FX turnover" and "Remittance send/principal volume" are
# analogues: real, comparable to each other, and NOT the same thing as merchant-acquiring TPV.
ticker,company,disclosure_status,comparability_category,issuer_metric_name,fiscal_period,reported_value,scale_unit,currency,usd_musd,scope,audit_note,source_url,publisher_date
ENXTAM:ADYEN,Adyen N.V.,REPORTED,CONSOLIDATED_TPV,Processed volume,FY2025 YE 2025-12-31,1394.300,bn,EUR,1576070.077,"Consolidated processed volume; POS volume is a subset and must not be added.","Confirmed EUR1,394.3bn; +8% YoY, or +21% excluding one large-volume customer.",https://www.adyen.com/press-and-media/adyen-publishes-h2-2025-financial-results-3pgu2,Adyen FY2025 results / 2026-02-12
DFM:ALANSARI,Al Ansari Financial Services PJSC,NOT_DISCLOSED,,,FY2025 YE 2025-12-31,,,,,"Annual report gives remittance transaction growth and mix, but no annual monetary principal or value.","Blank is correct. AED1.30bn service revenue and commissions are not TPV.",https://aafs.ae/wp-content/uploads/2026/03/AAFS-Annual-Report_2025_Final_En-1.pdf,Al Ansari FY2025 Annual Report / Mar-2026
LSE:CABP,CAB Payments Holdings plc,REPORTED,FX_TURNOVER,Total FX Volume,FY2025 YE 2025-12-31,41.900,bn,GBP,55251.075,"Issuer-wide FX-flow analogue combining wholesale FX and payment FX; not generic payment TPV.","Confirmed GBP41.9bn versus GBP37.2bn in 2024. Retain exact label and analogue caveat.",https://www.crownagentsbank.com/wp-content/uploads/2026/03/CAB-Payments-Holdings-plc-FY25-RNS-vF.pdf,CAB Payments FY2025 results / 2026-03-05
NYSE:CPAY,"Corpay, Inc.",SEGMENT_ONLY,SEGMENT_ONLY_PAYMENT_VOLUME,Corporate Payments spend volume,FY2025 YE 2025-12-31,258452.000,m,USD,258452.000,"Corporate Payments only; no consolidated monetary volume across Vehicle, Lodging and Other.","Confirmed $258.452bn as-reported spend volume. Must not be labeled consolidated TPV.",https://www.sec.gov/Archives/edgar/data/1175454/000117545426000018/flt-20251231.htm,Corpay 2025 Form 10-K / 2026-02-26
NASDAQ:DLO,dLocal Limited,REPORTED,CONSOLIDATED_TPV,Total payments volume (TPV),FY2025 YE 2025-12-31,40816.394,m,USD,40816.394,"Aggregate value of successfully processed payments; includes pay-ins and pay-outs.",Confirmed US$40.816394bn.,https://www.sec.gov/Archives/edgar/data/1846832/000129281426001022/dloform20f_2025.htm,dLocal 2025 Form 20-F / 2026-03-18
ASX:EML,EML Payments Limited,REPORTED,CONSOLIDATED_TPV,Gross Debit Volume (GDV),FY2026 YE 2026-06-30,23.100,bn,AUD,15673.825,Consolidated debit and payment-volume analogue.,"Confirmed A$23.1bn; down approximately 6% YoY.",https://financialfilings.com/filings/eml-payments-limited/annual-report/2026/56479048/,EML FY2026 Annual Report / 2026-08-18 filing mirror
NYSE:EVTC,"EVERTEC, Inc.",NOT_DISCLOSED,,,FY2025 YE 2025-12-31,,,,,"Annual report discloses transaction count, not aggregate monetary value.","Blank is correct; more than 10 billion is transactions, not dollars.",https://www.sec.gov/Archives/edgar/data/1559865/000155986526000012/evtc-20251231.htm,EVERTEC 2025 Form 10-K / 2026-03-02
NASDAQ:EEFT,"Euronet Worldwide, Inc.",SEGMENT_ONLY,SEGMENT_ONLY_PAYMENT_VOLUME,Money transfers processed,FY2025 YE 2025-12-31,77.600,bn,USD,77600.000,"Money Transfer segment (Ria, Xe, Dandelion) only; other segments disclose counts, not monetary values.","Confirmed approximately $77.6bn; must not be labeled consolidated TPV.",https://www.euronet.com/wp-content/uploads/Euronet-2025-Annual-Report.pdf,Euronet 2025 Annual Report / 2026-02-26
NASDAQ:FISV,"Fiserv, Inc.",SEGMENT_ONLY,SEGMENT_ONLY_PAYMENT_VOLUME,Annual global gross payment volume,FY2025 YE 2025-12-31,4.600,tn,USD,4600000.000,"Merchant and global commerce payment-volume metric disclosed at Investor Day; not a consolidated banking-platform TPV.","Correct label: $4.6tn is payment volume, not transactions processed. Prior citation text did not support the value; replacement company-filed source supports it.",https://www.sec.gov/Archives/edgar/data/798354/000119312526224085/d127045ddefa14a.htm,Fiserv Investor Day materials / 2026-05-14
NASDAQ:FLYW,Flywire Corporation,REPORTED,CONSOLIDATED_TPV,Total payment volume,FY2025 YE 2025-12-31,37554.100,m,USD,37554.100,"Total amount paid to clients; comprises transaction payment volume and platform or other-revenue payment volume.","Confirmed $37.5541bn; use table value rather than rounded over $37.6bn.",https://www.sec.gov/Archives/edgar/data/1580560/000119312526067540/flyw-20251231.htm,Flywire 2025 Form 10-K / 2026-02-24
TSE:3769,"GMO Payment Gateway, Inc.",REPORTED,CONSOLIDATED_TPV,Annual transaction value,FY2025 YE 2025-09-30,21.800,tn,JPY,146255.963,"Consolidated sum across GMO-PG, GMO-EP, GMO-PS and GMO-FG; online and face-to-face payments.",Confirmed JPY21.8tn. Online-only JPY13.1tn is a subset.,https://www.gmo-pg.com/news/pdf/20260212_gmo_pg_ir_integrated_report_en.pdf,GMO Payment Gateway Integrated Report 2025 / 2026-02-12
NYSE:GPN,Global Payments Inc.,NOT_DISCLOSED,,,FY2025 YE 2025-12-31,,,,,No standalone consolidated FY2025 payment value disclosed.,"Exclude $3.7tn: it is combined Global Payments and Worldpay pro forma annual volume after the Jan-2026 acquisition, not standalone FY2025 TPV.",https://www.sec.gov/Archives/edgar/data/1123360/000112336026000008/gpn-20251231.htm,Global Payments 2025 Form 10-K / 2026-02-20
NASDAQ:MQ,"Marqeta, Inc.",REPORTED,CONSOLIDATED_TPV,Total processing volume (TPV),FY2025 YE 2025-12-31,382.513,bn,USD,382513.000,"Dollar value processed on platform, net of returns and chargebacks.",Use precise table value $382.513bn; prose rounds to $382.5bn.,https://www.sec.gov/Archives/edgar/data/1522540/000152254026000017/mq-20251231.htm,Marqeta 2025 Form 10-K / 2026-02-24
BIT:NEXI,Nexi S.p.A.,SEGMENT_ONLY,SEGMENT_ONLY_PAYMENT_VOLUME,Merchant Solutions transaction value,FY2025 YE 2025-12-31,869.400,bn,EUR,982740.676,Merchant Solutions only; do not add Issuing Solutions because processing legs can overlap.,"Use EUR869.4bn as statutory annual-report Merchant Solutions KPI. Separately disclosed: EUR837.0bn acquiring transactions basis and EUR952.3bn Issuing.",https://www.nexigroup.com/content/dam/corp/downloads/investors/financial-statements/2025/EN-Nexi-Integrated-Annual-Report-2025.pdf,Nexi Integrated Annual Report 2025 / 2026-03-04
ASX:OFX,OFX Group Limited,REPORTED,FX_TURNOVER,Turnover,FY2026 YE 2026-03-31,38.400,bn,AUD,25389.672,"Total customer FX and payment transaction value; an FX-flow analogue, not accounting revenue.","Confirmed A$38.4bn, up 0.8% from A$38.1bn.",https://www.ofx.com/wp-content/uploads/2026/05/OFX-FY26-Results-Presentation.pdf,OFX FY2026 results / 2026-05-19
NSEI:MOBIKWIK,One MobiKwik Systems Limited,REPORTED,CONSOLIDATED_TPV,Payments GMV,FY2026 YE 2026-03-31,1821000.000,m,INR,20625.092,Total value of payment transactions processed through the platform; payments business metric.,Confirmed INR1821bn / INR1.821tn / INR1.821 lakh crore.,https://nsearchives.nseindia.com/corporate/MOBIKWIK_12052026105504_Press_Release.pdf,MobiKwik FY2026 results / 2026-05-12
NSEI:PAYTM,One97 Communications Limited,REPORTED,CONSOLIDATED_TPV,Merchant Gross Merchandise Value (GMV),FY2026 YE 2026-03-31,23.800,lakh crore,INR,269564.630,Payments made to merchants through Paytm platform and payment instruments.,Confirmed; preserve approximately. Equivalent to approximately INR23.8tn.,https://paytm.com/document/ir/annual-reports/Paytm_Annual_Report_2026.pdf,Paytm FY2026 Annual Report / 2026-08-21
NYSE:PAGS,PagSeguro Digital Ltd.,REPORTED,CONSOLIDATED_TPV,Total Payment Volume (TPV),FY2025 YE 2025-12-31,530.500,bn,BRL,94992.040,PagBank payments ecosystem and merchant-acquiring volume.,Confirmed R$530.5bn; Q4 R$142.4bn must not be annualized.,https://www.sec.gov/Archives/edgar/data/1712807/000155485526000187/MainDocument.htm,PagSeguro PagBank FY2025 results / 2026-03-04
NASDAQ:PYPL,"PayPal Holdings, Inc.",REPORTED,CONSOLIDATED_TPV,Total payment volume (TPV),FY2025 YE 2025-12-31,1793.979,bn,USD,1793979.000,"Value of successfully completed payments, net of reversals; gateway-exclusive transactions excluded.",Use precise annual table value $1793.979bn; company prose rounds to $1.79tn.,https://www.sec.gov/Archives/edgar/data/1633917/000163391726000024/pypl-20251231.htm,PayPal 2025 Form 10-K / 2026-02-03
NASDAQ:PAYO,Payoneer Global Inc.,REPORTED,CONSOLIDATED_TPV,Volume,FY2025 YE 2025-12-31,87.503,bn,USD,87503.000,Successfully completed and enabled platform transactions; excludes orchestration and avoids double-counting receipt then send.,Confirmed precise annual table value $87.503bn; headline rounds to $87.5bn.,https://www.sec.gov/Archives/edgar/data/1845815/000110465926020487/payo-20251231x10k.htm,Payoneer 2025 Form 10-K / 2026-02-26
NYSE:PSFE,Paysafe Limited,REPORTED,CONSOLIDATED_TPV,Total Payment Volume (TPV),FY2025 YE 2025-12-31,167.000,bn,USD,167000.000,Consolidated Merchant Solutions plus Digital Wallets; gross dollar value of processed payments.,Confirmed approximately $167bn; preserve approximation. Segment components are about $142bn and $25bn.,https://www.sec.gov/Archives/edgar/data/1833835/000119312526088095/psfe-20251231.htm,Paysafe 2025 Form 20-F / 2026-03-03
NASDAQ:RELY,"Remitly Global, Inc.",REPORTED,REMITTANCE_PRINCIPAL,Send volume,FY2025 YE 2025-12-31,74.912,bn,USD,74912.000,"Completed customer remittance principal, net of cancellations; excludes fees and company-funded credits, offers and bonuses.",Confirmed precise filing value $74.912bn; headline rounds to $74.9bn.,https://www.sec.gov/Archives/edgar/data/1782170/000178217026000049/ar_2025remitlyglobalinc.pdf,Remitly 2025 Annual Report / 2026-02-18
NYSE:FOUR,"Shift4 Payments, Inc.",REPORTED,CONSOLIDATED_TPV,Payment volume,FY2025 YE 2025-12-31,209.000,bn,USD,209000.000,"Payments delivered for settlement for merchants, including specified owned-platform and routed volumes.",Confirmed approximately $209bn; 2024 comparator $164.8bn.,https://investors.shift4.com/sec-filings/all-sec-filings/content/0001794669-26-000010/four-20251231.htm,Shift4 2025 Form 10-K / 2026-02-26
