"# Fairway peer positioning tags for listed software. Keyed on exchange_ticker."
# These are Fairway's tags, not CapIQ's. They exist so the reveal can narrow the set to the four
# or five names a given founder should actually be compared against.
#
# SIZE IS NOT A SELECTION CRITERION. A comparable is chosen on profile, end market, end customer,
# business model, growth and profitability. How big the peer is does not make it more or less
# comparable. Relative size is shown NEXT TO each comparable, because a founder needs it to read
# the multiple, but it never includes or excludes a name. If the best comparable in a category is
# forty times the size of the subject, it is still the best comparable and it gets shown.
#
# Serial acquirers need no special rule either. Software Consolidator is an archetype, so a founder
# who is not an acquirer simply does not match one. The reason it matters: Constellation trades at
# 3.3x because it buys about a hundred businesses a year at around 1x revenue, not because its
# software earns 3.3x. That is a different business, and the archetype says so.
#
# acv_usd_disclosed is derived from what the company itself discloses: its published ACV or ARPU
# where it gives one, otherwise NTM revenue divided by a disclosed customer count. Blank where the
# company discloses no count. Counting bases differ (accounts, sites, seats, locations, users), so
# treat it as an order of magnitude, not a figure. Provenance is in the workbook.
# product_tags are the category names a founder or their website would actually use. They are for
# semantic matching, not exact string matching: most tags are deliberately narrow.
# in_stats=0 means the row stays in the set but comes out of medians and regressions.
exchange_ticker,company_name,archetype,archetype_secondary,industry,function,buyer,gtm_motion,revenue_model,product_role,ai_stance,acv_usd_disclosed,in_stats,product_tags,what_it_does
ENXTPA:74SW,74Software,Vertical Software,Cloud & Infrastructure,Financial Services,IT & Integration,ENT_IT,ENT_SALES,PLATFORM,PLATFORM_SUITE,AI_NEUTRAL,73000,1,API Management|Integration Platform|Managed File Transfer|Core Banking,"API management and B2B integration, formerly Axway, plus core banking software after the Sopra Banking acquisition"
NASDAQGS:ACIW,"ACI Worldwide, Inc.",Commerce & Payments Software,,Financial Services,Finance & Payments,ENT_IT,ENT_SALES,TAKE_RATE,SOR,AI_EMBEDDED,,1,Payment Processing|Real-Time Payments|Bill Payment|Fraud Detection|Merchant Acquiring,"payment processing, real-time payments and fraud software for banks, merchants and billers"
OM:ANOD B,Addnode Group AB (publ),Software Consolidator,Design & Engineering,Horizontal,Engineering & Design,ENT_IT,CHANNEL,LICENSE_MAINT,PLATFORM_SUITE,AI_NEUTRAL,,1,CAD Reseller|PLM|Document Management|Public Sector Case Management,"Swedish acquirer of design, PLM and public-sector software, and a large Autodesk channel partner"
NASDAQGS:ADBE,Adobe Inc.,Design & Engineering,Marketing & Customer Engagement,Horizontal,Engineering & Design,PROSUMER,PLG,SEATS,PLATFORM_SUITE,AI_EXPOSED,,1,Creative Software|Image Editing|Video Editing|PDF & Document|Marketing Cloud|Web Analytics,"creative tooling, document services and marketing software"
NASDAQGS:AGYS,"Agilysys, Inc.",Vertical Software,,Hospitality,Operations,LOB,ENT_SALES,PLATFORM,SOR,AI_NEUTRAL,,1,Point of Sale|POS|Property Management System|PMS|Hotel Software|Restaurant Software,"property management and point of sale for hotels, casinos and food service"
NASDAQGS:API,"Agora, Inc.",Cloud & Infrastructure,Communications & Collaboration,Horizontal,IT & Integration,DEV,PLG,CONSUMPTION,INFRA_LAYER,AI_EMBEDDED,41000,1,Video API|Voice API|Live Streaming|Real-Time Communication|CPaaS|Chat SDK,"real-time voice, video and chat APIs developers embed in their own applications"
NASDAQGS:AKAM,"Akamai Technologies, Inc.",Cybersecurity,Cloud & Infrastructure,Horizontal,Security,ENT_IT,ENT_SALES,CONSUMPTION,INFRA_LAYER,AI_EMBEDDED,,1,CDN|Content Delivery|DDoS Protection|WAF|Web Application Firewall|Edge Computing|Bot Management,"content delivery, edge compute and web application security"
NASDAQGS:ALRM,"Alarm.com Holdings, Inc.",Vertical Software,,Security & Property,Operations,SMB,CHANNEL,PLATFORM,SOR,AI_EMBEDDED,,1,Smart Home|Video Surveillance|Intrusion Detection|Access Control|Alarm Monitoring,"cloud platform sold through dealers that runs intrusion alarms, video and smart-home devices"
LSE:ALFA,Alfa Financial Software Holdings PLC,Vertical Software,,Financial Services,Finance & Payments,ENT_IT,ENT_SALES,SERVICES_LED,SOR,AI_NEUTRAL,4450000,1,Asset Finance Software|Leasing Software|Auto Finance|Loan Servicing,"software running the full lifecycle of asset finance, auto finance and leasing portfolios"
NASDAQGS:ALKT,"Alkami Technology, Inc.",Vertical Software,,Financial Services,Customer Engagement,LOB,MIDMARKET,PLATFORM,SOE,AI_EMBEDDED,1900000,1,Digital Banking|Online Banking|Mobile Banking|Account Opening,digital banking front end for US banks and credit unions
NASDAQGS:DOX,Amdocs Limited,Vertical Software,,Telecom,IT & Integration,ENT_IT,ENT_SALES,SERVICES_LED,SOR,AI_EMBEDDED,,1,Telecom BSS|OSS|Billing|Charging|Order Management|Managed Services,"billing, charging and customer management for telecom operators, delivered with heavy managed services"
NASDAQCM:AMPL,"Amplitude, Inc.","Data, AI & Developer Tools",,Horizontal,Data & Analytics,LOB,PLG,PLATFORM,PLATFORM_SUITE,AI_EMBEDDED,85000,1,Product Analytics|Digital Analytics|Session Replay|A/B Testing|Feature Flags|CDP,product analytics showing how users move through a digital product
NASDAQGM:APPF,"AppFolio, Inc.",Vertical Software,Commerce & Payments Software,Real Estate,Operations,SMB,MIDMARKET,TAKE_RATE,SOR,AI_EMBEDDED,55000,1,Property Management Software|Rent Collection|Tenant Screening|Real Estate Accounting|Embedded Payments,"property management software for residential, commercial and community-association property managers, with payments and screening attached"
NASDAQGM:APPN,Appian Corporation,Business Applications,,Horizontal,IT & Integration,ENT_IT,ENT_SALES,PLATFORM,PLATFORM_SUITE,AI_EMBEDDED,,1,Low-Code|No-Code|Business Process Management|BPM|Workflow Automation|Case Management,low-code platform for building and automating enterprise process applications
NYSE:ASAN,"Asana, Inc.",Business Applications,,Horizontal,Operations,LOB,PLG,SEATS,SOE,AI_EXPOSED,,1,Project Management|Work Management|Task Management|Team Collaboration,work and project management for teams
XTRA:AOF,ATOSS Software SE,Business Applications,,Horizontal,HR & Workforce,LOB,MIDMARKET,SEATS,SOR,AI_EMBEDDED,14600,1,Workforce Management|WFM|Employee Scheduling|Time & Attendance|Shift Planning,workforce scheduling and time management for shift-based employers
NASDAQGS:ADSK,"Autodesk, Inc.",Design & Engineering,,Horizontal,Engineering & Design,LOB,CHANNEL,SEATS,PLATFORM_SUITE,AI_EMBEDDED,,1,CAD|BIM|3D Modeling|Architecture Software|Construction Design|Product Design,"CAD and BIM design tooling for architecture, construction, manufacturing and media"
NASDAQGS:AVPT,"AvePoint, Inc.",Cloud & Infrastructure,Cybersecurity,Horizontal,IT & Integration,ENT_IT,CHANNEL,PLATFORM,INFRA_LAYER,AI_EMBEDDED,20000,1,SaaS Backup|Data Governance|Microsoft 365 Management|Cloud Migration|Data Resilience,"data management, migration, backup and governance for Microsoft 365 and other SaaS estates"
NASDAQGM:BLZE,"Backblaze, Inc.",Cloud & Infrastructure,,Horizontal,IT & Integration,DEV,PLG,CONSUMPTION,INFRA_LAYER,AI_NEUTRAL,307,1,Cloud Storage|Object Storage|Online Backup|S3-Compatible Storage,cloud object storage and computer backup priced per terabyte
NASDAQGS:BSY,"Bentley Systems, Incorporated",Design & Engineering,,Construction & Infrastructure,Engineering & Design,LOB,ENT_SALES,SEATS,SOR,AI_EMBEDDED,42000,1,BIM|Infrastructure Design|Civil Engineering Software|Asset Performance Management|Digital Twin,"design and asset management software for infrastructure: roads, rail, water and utilities"
NYSE:BILL,"BILL Holdings, Inc.",Commerce & Payments Software,Business Applications,Horizontal,Finance & Payments,SMB,CHANNEL,TAKE_RATE,SOR,AI_EMBEDDED,3800,1,Accounts Payable|AP Automation|Accounts Receivable|Spend Management|Expense Management|B2B Payments,"accounts payable, receivable and spend management for small businesses, monetised largely on payment volume"
