# ACTIVE SEED & SERIES A INVESTORS - SECTOR-MATCHED SCREEN, version 2. Daniil's revised pull,
# transcribed 02-Sep-2026 from three photographs: data/raw/2026-09-02_seed-screen-v2-p01..p03.
# SUPERSEDES data/raw/2026-09-02_seed-investor-screen.csv, which stays as the record.
#
# The sheet's own header, quoted: "1 Jan 2023-2 Sep 2026; exactly two announcements per fund in
# the named sector; newest sector deal on/after 2 Sep 2025."
#
# BOTH THINGS THAT WERE WRONG WITH VERSION 1 ARE FIXED, and one I had not asked for:
#   1. The two deals are now IN THE NAMED SECTOR. Seedcamp's B2B row is Embedd and EverSettled;
#      its payments row is Nopan and Topograph; its delivery row is Operent and Sunrise Robotics;
#      its digital-banking row is Wanwani and Porters. A deal now evidences the sector claim, so
#      deal_evidences_sector is 1 on every row here, against 0 on every row of version 1.
#   2. The activity rule is built in: newest sector deal on or after 2 Sep 2025, which is the same
#      twelve-month window our own checker enforces. Version 1 had a January-2023 window and let
#      Project A through on a June-2025 deal.
#   3. NEW COLUMN K, "Initial Cheque Range Source": a URL for the cheque range itself. Version 1
#      stated the range without sourcing it. Every figure now has a named source with a vintage,
#      which is our standing rule, and this is the first investor data to satisfy it fully.
#
# 132 deal rows, 66 fund-sector pairs, 52 unique funds, 8 sectors. Version 1 was 88 rows,
# 44 pairs, 25 funds.
#
# TRANSCRIPTION CONFIDENCE. Photographs of a screen at an angle. Sectors, funds, regions, cheque
# figures, currencies and dates are legible and I am confident in them. Company names and long
# URLs are the weak point: those I could not read with certainty carry url_confidence LOW or a
# trailing "?" on the company name, and need a check before they render to a founder.
sector,fund,region,cheque_low,cheque_high,currency,thesis,company,month_year,source_url,cheque_range_source,deal_evidences_sector,url_confidence
B2B software and AI tooling,Seedcamp,"UK/Europe-based, Europe-first and selectively invests in the US",350000,1250000,USD,"Pre-seed and seed technology investor with strong B2B software, developer-tooling and applied-AI coverage; stated typical first cheque is $350k-$1.25m.",Embedd,Aug-2026,https://seedcamp.com/views/embedd-raises-2-7m-to-cut-chip-integration-time-by-6x/,https://seedcamp.com/faq/,1,HIGH
B2B software and AI tooling,Seedcamp,"UK/Europe-based, Europe-first and selectively invests in the US",350000,1250000,USD,"Pre-seed and seed technology investor with strong B2B software, developer-tooling and applied-AI coverage; stated typical first cheque is $350k-$1.25m.",EverSettled,Jul-2026,https://seedcamp.com/views/eversettled-raises-5m-to-automate-the-painful-process-of-probate/,https://seedcamp.com/faq/,1,HIGH
B2B software and AI tooling,Episode 1 Ventures,UK-focused,250000,2000000,GBP,"Pre-seed and seed investor in UK software companies, especially B2B applications, infrastructure and applied AI; stated cheque range is GBP 250k-2m.",Osprey Security,Jul-2026,https://www.soapbox.vc/feed/osprey-pre-seed,https://episode1.com/faq/,1,LOW
B2B software and AI tooling,Episode 1 Ventures,UK-focused,250000,2000000,GBP,"Pre-seed and seed investor in UK software companies, especially B2B applications, infrastructure and applied AI; stated cheque range is GBP 250k-2m.",Record OS,Jun-2026,https://cfotech.co.uk/story/record-os-launches-with-usd-2-million-pre-seed-raise,https://episode1.com/faq/,1,HIGH
B2B software and AI tooling,Connect Ventures,UK/Europe-based; Europe-focused,500000,5000000,USD,"Seed investor in product-led companies, including AI-native applications and software infrastructure; stated lead/co-lead investment range is $500k-$5m.",Deszn?,May-2026,https://www.connectventures.co/opinions/why-we-invested-in-deszn,https://www.connectventures.co/,1,LOW
B2B software and AI tooling,Connect Ventures,UK/Europe-based; Europe-focused,500000,5000000,USD,"Seed investor in product-led companies, including AI-native applications and software infrastructure; stated lead/co-lead investment range is $500k-$5m.",Zellify?,May-2026,https://www.connectventures.co/opinions/investing-in-zellify-the-missing-data-layer-for-consumer-growth,https://www.connectventures.co/,1,LOW
B2B software and AI tooling,Cherry Ventures,Europe-focused,2000000,7000000,EUR,"Pre-seed-Series A investor across software, AI and frontier technology; stated cheque range is EUR 2m-7m.",Entire,Jul-2026,https://cherry.vc/news/the-fourth-generation-of-version-control,https://cherry.vc/about/,1,HIGH
B2B software and AI tooling,Cherry Ventures,Europe-focused,2000000,7000000,EUR,"Pre-seed-Series A investor across software, AI and frontier technology; stated cheque range is EUR 2m-7m.",Zaro,Jun-2026,https://www.cherry.vc/news/shared-memory-for-ai-agents,https://cherry.vc/about/,1,HIGH
B2B software and AI tooling,Notion Capital,UK-based; Europe-focused,1000000,8000000,EUR,Series A-focused investor in European B2B SaaS and cloud software; its published first-cheque range is EUR 1m-8m.,Kraken,Jul-2026,https://www.notioncapital.com/resources/why-we-invested-in-kraken,https://www.notioncapital.com/fund-iv,1,LOW
B2B software and AI tooling,Notion Capital,UK-based; Europe-focused,1000000,8000000,EUR,Series A-focused investor in European B2B SaaS and cloud software; its published first-cheque range is EUR 1m-8m.,Pivot,May-2026,https://www.notioncapital.com/resources/why-we-invested-in-pivot,https://www.notioncapital.com/fund-iv,1,LOW
B2B software and AI tooling,Dawn Capital,"UK-based, Europe-focused",10000000,40000000,USD,Specialist European B2B software investor entering at Series A/B; stated initial investment range is $10m-$40m.,Cortea,Jun-2026,https://www.dawncapital.com/content-hub/from-audit-overload-to-ai-driven-clarity-why-we-re-backing-cortea,https://www.dawncapital.com/,1,HIGH
B2B software and AI tooling,Dawn Capital,"UK-based, Europe-focused",10000000,40000000,USD,Specialist European B2B software investor entering at Series A/B; stated initial investment range is $10m-$40m.,Orbio,Jun-2026,https://www.dawncapital.com/content-hub/why-we-invested-in-orbio,https://www.dawncapital.com/,1,HIGH
B2B software and AI tooling,Air Street Capital,"UK-based, invests across Europe and North America",500000,15000000,USD,"AI-first specialist investing in software, developer infrastructure, security and science; stated early-stage range is $500k-$15m.",Alta Ares,Jun-2026,https://press.airstreet.com/p/alta-ares-series-a,https://press.airstreet.com/,1,HIGH
B2B software and AI tooling,Air Street Capital,"UK-based, invests across Europe and North America",500000,15000000,USD,"AI-first specialist investing in software, developer infrastructure, security and science; stated early-stage range is $500k-$15m.",Perceptic,May-2026,https://press.airstreet.com/p/introducing-perceptic,https://press.airstreet.com/,1,HIGH
B2B software and AI tooling,Playfair Capital,"UK-based, invests across the UK and Europe",100000,1500000,GBP,"Pre-seed investor in technical founders across B2B software, AI and deep tech; stated initial range is GBP 100k-1.5m.",Zerolook,Aug-2026,https://www.playfair.vc/content.php?p=why-we-invested-in-zerolook,https://www.playfair.vc/,1,LOW
B2B software and AI tooling,Playfair Capital,"UK-based, invests across the UK and Europe",100000,1500000,GBP,"Pre-seed investor in technical founders across B2B software, AI and deep tech; stated initial range is GBP 100k-1.5m.",Exclaim Robotics,Aug-2026,https://www.playfair.vc/content.php?p=why-we-invested-in-exclaim-robotics,https://www.playfair.vc/,1,LOW
Payments and fintech infrastructure,Outward VC,"Primarily UK, broader Europe",250000,2500000,GBP,"Early-stage investor in technology for regulated industries, including payments, fintech operations and compliance infrastructure.",Infrawatch,May-2026,https://outwardvc.com/articles/why-we-invested-in-infrawatch/,https://outwardvc.com/apply/,1,HIGH
Payments and fintech infrastructure,Outward VC,"Primarily UK, broader Europe",250000,2500000,GBP,"Early-stage investor in technology for regulated industries, including payments, fintech operations and compliance infrastructure.",Steward,Mar-2026,https://outwardvc.com/articles/why-we-invested-in-steward/,https://outwardvc.com/apply/,1,HIGH
Payments and fintech infrastructure,Seedcamp,UK/Europe; selective global investments,350000,1250000,USD,"Pre-seed and seed investor in payment orchestration, KYB, embedded banking and financial-data infrastructure.",Nopan?,Jul-2026,https://seedcamp.com/views/nopan-raises-e7-2m-to-build-the-next-generation-of-payment-infrastructure,https://seedcamp.com/faq/,1,LOW
Payments and fintech infrastructure,Seedcamp,UK/Europe; selective global investments,350000,1250000,USD,"Pre-seed and seed investor in payment orchestration, KYB, embedded banking and financial-data infrastructure.",Topograph,Mar-2026,https://seedcamp.com/views/seedcamp-leads-topographs-e2m-seed-to-fix-the-broken-infrastructure-behind,https://seedcamp.com/faq/,1,LOW
