# Sector Screen, FIXED version. Transcribed 2 September 2026 from six screenshots supplied by Daniil.
# Source sheet title: "Priced Private Funding Rounds - Sector Screen".
# The sheet's own header line: 49 transactions | 47 populated multiples (46 non-excluded) |
#   8 ceiling multiples | 2 NOT FOUND.
# The sheet's own note: "Target 48 was not padded: Fuse has no public valuation and eFishery is excluded.
#   Part-year multiples are explicitly labelled and not annualised; Celsius remains calculated but excluded."
#
# D12 ROW ACCOUNTING against data/raw/2026-09-02_sector-screen.csv:
#   count in 51, count out 49, dropped 2, both named:
#     sheet_row 50, Alan, 9-May-2022      -> duplicate of sheet_row 27, Alan, 05-May-2022 (one round, four days apart)
#     sheet_row 40, BetterUp, 08-Oct-2021 -> duplicate of sheet_row 37, BetterUp, 2021-10-08 (one round, two date formats)
#   Both deletions were instructed by docs/sector-screen-fix-prompt-2sep.md rule 6. Nothing else was dropped.
#
# D11 SCHEMA NOTE, CLOSED 02-Sep-2026. The screenshots show columns A to AB and AG to AR. Columns
#   AC, AD, AE and AF are not transcribed. Daniil confirms they are hidden in the workbook
#   deliberately and are not needed here, so this file is complete for our purposes. The flag is
#   withdrawn; the gap is recorded rather than silently closed.
#
# sheet_row is the row number in Daniil's workbook, kept so every row can be traced back by name and position.
sheet_row,company_name,transaction_date,round_type,transaction_class,amount_raised_m,amount_currency,amount_raised_reported,premoney_valuation_m,postmoney_valuation_m,valuation_reference_m,valuation_currency,valuation_basis,transaction_value_m,transaction_value_currency,transaction_value_basis,metric_type,metric_value_m,metric_currency,metric_qualifier,metric_period_basis,multiple_denominator_m,denominator_currency,denominator_basis,implied_multiple_x,lead_investors,valuation_source_url,revenue_metric_source_url,denominator_converted,fx_rate_used,fx_rate_date,fx_rate_source,denominator_blank_reason,bound,period_months,forward_metric,excluded,excluded_reason,source_tier,multiple_type,transcription_note
6,Ninjacart,13-Dec-2021,Strategic equity round,Funding / priced private round,145.0,USD,US$145m,,700.0,700.0,USD,Reported post-money,,,,REVENUE,7476.0,INR,,FY ended 31-Mar-2021,98.6,USD,FY ended 31-Mar-2021,7.1,Walmart and Flipkart,https://www.cbinsights.com/company/ninjacart/financials,https://inc42.com/buzz/ninjacart-fy21-loss-nearly-doubles-to-inr-1021-cr-expenses-up-71-percent-despite-cost-cutting-measures/,98.6,0.01319,13-Dec-2021,https://www.exchangerates.org.uk/historical/find-exchange-rate-history-for-13_12_2021,,,,,,,3,REVENUE / ARR MULTIPLE,
7,Vegrow,13-Dec-2023,Series C,Funding / priced private round,46.0,USD,US$46m,,290.0,290.0,USD,Reported post-money,,,,REVENUE,3610.0,INR,,FY ended 31-Mar-2023,43.4,USD,FY ended 31-Mar-2023,6.7,GIC,https://economictimes.indiatimes.com/tech/funding/agritech-startup-vegrow-raises-46-million-in-funding-led-by-gic/articleshow/105951896.cms,https://gokulnk.com/notes/vegrow/,43.4,0.01201,13-Dec-2023,https://www.exchangerates.org.uk/historical/find-exchange-rate-history-for-13_12_2023,,,,,,,3,REVENUE / ARR MULTIPLE,
8,ElasticRun,17-Feb-2022,Series E,Funding / priced private round,330.0,USD,US$330m,,1500.0,1500.0,USD,Reported post-money,,,,REVENUE,10870.0,INR,,FY ended 31-Mar-2021,144.8,USD,FY ended 31-Mar-2021,10.4,SoftBank Vision Fund 2 and Goldman Sachs Asset Management,https://www.business-standard.com/article/companies/b2b-e-commerce-startup-elasticrun-raises-330-mn-at-1-5-bn-valuation-122021700710_1.html,https://www.business-standard.com/article/companies/b2b-e-commerce-startup-elasticrun-raises-330-mn-at-1-5-bn-valuation-122021700710_1.html,144.8,0.01332,17-Feb-2022,https://www.exchangerates.org.uk/historical/find-exchange-rate-history-for-17_02_2022,,,,,,,3,REVENUE / ARR MULTIPLE,
9,DeHaat,21-Oct-2022,Series E first tranche,Funding / priced private round,46.0,USD,US$46m (Rs366.6 crore),,695.0,695.0,USD,Reported post-money,,,,REVENUE,12740.0,INR,,FY ended 31-Mar-2022,154.3,USD,FY ended 31-Mar-2022,4.5,Sofina Ventures,https://www.moneycontrol.com/news/business/startup/agritech-startup-dehaat-raises-46-mn-led-by-sofina-ventures-at-695-mn-valuation-9370681.html,https://economictimes.indiatimes.com/tech/startups/agritechs-trim-teams-rework-business-models-in-funding-winter/articleshow/97012050.cms,154.3,0.01211,21-Oct-2022,https://www.exchangerates.org.uk/historical/find-exchange-rate-history-for-21_10_2022,,,,,,,3,REVENUE / ARR MULTIPLE,
10,eFishery,7-Jul-2023,Series D,Funding / priced private round,200.0,USD,US$200m,,1400.0,1400.0,USD,Reported post-money,,,,RUN_RATE,263.0,USD,Estimate / approx.,2022 annualised run-rate disclosed at the round,,USD,2022 annualised run-rate disclosed at the round,,42XFund,https://techcrunch.com/2023/07/07/efishery-series-d/,https://techcrunch.com/2023/07/07/efishery-series-d/,,,,,Excluded; no usable denominator.,,,,YES,Figures later found fabricated,3,NOT FOUND,
11,WayCool Foods,22-Jun-2022,Internal equity and debt round,Funding / priced private round,40.0,USD,~US$40m (US$25m equity; balance debt),,700.0,700.0,USD,Reported post-money,,,,REVENUE,9306.0,INR,,FY ended 31-Mar-2022,119.0,USD,FY ended 31-Mar-2022,5.9,Lightrock and existing investors,https://www.livemint.com/companies/news/waycool-asks-for-more-time-to-repay-debt-as-it-looks-to-turn-a-profit-11712665644455.html,https://inc42.com/buzz/waycools-net-loss-widens-142-percent-to-inr-360-5-cr-in-fy22-operative-revenue-up-2-4x/,119.0,0.01279,22-Jun-2022,https://www.exchange-rates.org/exchange-rate-history/inr-usd-2022-06-22,,,,,,,1,REVENUE / ARR MULTIPLE,
12,Octopus Energy Group,10-Dec-2021,Strategic equity investment,Funding / priced private round,300.0,USD,US$300m initial investment,,5000.0,5000.0,USD,Reported post-money,,,,REVENUE,2008.8,GBP,,FY ended 30-Apr-2021,2665.7,USD,FY ended 30-Apr-2021,1.9,CPP Investments,https://octopus.energy/press/octopus-energy-group-and-cpp-investments-announce-strategic-partnership/,https://octopus.energy/press/octopus-energy-group-announces-results-for-fy2021/,2665.7,1.32700,10-Dec-2021,https://www.exchangerates.org.uk/historical/find-exchange-rate-history-for-10_12_2021,,,,,,,1,REVENUE / ARR MULTIPLE,
13,Octopus Energy Group,18-Dec-2023,Existing-investor equity round,Funding / priced private round,800.0,USD,US$800m (GBP625m),,7800.0,7800.0,USD,Reported post-money,,,,REVENUE,12540.0,GBP,,FY ended 30-Apr-2023,15864.4,USD,FY ended 30-Apr-2023,0.5,"Origin Energy, Tokyo Gas, CPP Investments and Generation Investment Management",https://octopus.energy/press/800-million-dollar-investment-to-accelerate-Octopus-Energy-global-clean-energy-growth/,https://octopus.energy/documents/3860/A0659_Octopus_Energy_Group_Limited_AR_2023_prf16_ForPublication.pdf,15864.4,1.26510,18-Dec-2023,https://www.exchangerates.org.uk/historical/find-exchange-rate-history-for-18_12_2023,,,,,,,1,REVENUE / ARR MULTIPLE,
14,Fuse Energy,18-Dec-2025,Series B,Funding / priced private round,70.0,USD,US$70m,,,,USD,NOT FOUND,,,,ARR,300.0,USD,Estimate / approx.,Current ARR at announcement,,USD,Current ARR at announcement,,Balderton Capital and Lowercarbon Capital,NOT FOUND,https://sifted.eu/articles/fuse-energy-70m-balderton-lowercarbon-capital,,,,,NOT FOUND - cited sources do not state a valuation,,,,,,1,NOT FOUND,Original sheet row 14 carried postmoney 5000.0; the fix removed it as unsourced
15,Octopus Energy Group,26-Jul-2022,Existing-investor fundraise,Funding / priced private round,550.0,USD,US$550m total (US$325m closed plus US$225m commitment),,5000.0,5000.0,USD,Reported post-money,,,,REVENUE,4224.6,GBP,,FY ended 30-Apr-2022,5085.6,USD,FY ended 30-Apr-2022,1.0,Existing shareholders; CPP Investments provided the additional commitment,https://octopus.energy/press/octopus-energy-group-completes-fundraise-with-existing-investors-totalling-us550m/,https://octoenergy-production-media.s3.amazonaws.com/documents/Octopus_Energy_Group_Limited_Financial_Results_2022.pdf,5085.6,1.20380,26-Jul-2022,https://www.exchangerates.org.uk/historical/find-exchange-rate-history-for-26_07_2022,,,,,,,1,REVENUE / ARR MULTIPLE,
