investor_key,investor_name,house_type,layer,geographies,stage_bands,first_cheque_low_m,first_cheque_high_m,cheque_currency,thesis_one_liner,cheque_range_source,screening_categories,subsectors,recent_deal_1_company,recent_deal_1_date,recent_deal_1_source_url,recent_deal_2_company,recent_deal_2_date,recent_deal_2_source_url,last_verified,provenance,geographies_source,deal_note
flex-capital,Flex Capital,VC,CALLABLE,,Seed,0.5,2,USD,Founders backing founders; we invest at Seed.,https://www.flexcapital.com/,Consumer & Prosumer Software,seed stage; founders backing founders; follow-on through Series A and B,Kin Health,2026-05,https://techcrunch.com/2026/05/18/kin-health-raises-9m-to-build-an-ai-notetaker-for-patients/,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026 round two, fetch-only; every page named here was read that day. flexcapital.com, flexcapital.com/journal.html, TechCrunch Kin Health article.",NOT PUBLISHED,"TechCrunch, 18-May-2026: Kin Health, a consumer app that records the doctor visit and writes a plain-language summary, 'has raised $9 million in a seed funding round led by Maveron' and 'The funding round also saw participation from Town Hall Ventures, Eniac Ventures, Flex Capital, Foundry Square Capital, Pear VC, and The Family Fund.' flexcapital.com: 'We invest at Seed.' and 'First check from $500K to $2M'."
the-family-fund,The Family Fund,VC,CALLABLE,,Series A,,,USD,"We invest in the future of the consumer ecosystem, partnering with innovators across products and technologies striving to continuously upgrade the human experience.",NOT PUBLISHED,Consumer & Prosumer Software,health and wellness; beauty and personal care; customer-facing platforms; commerce engines,Kin Health,2026-05,https://techcrunch.com/2026/05/18/kin-health-raises-9m-to-build-an-ai-notetaker-for-patients/,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026 round two, fetch-only; every page named here was read that day. familyfund.vc, familyfund.vc/about/, familyfund.vc/companies/, TechCrunch Kin Health article.",NOT PUBLISHED,"TechCrunch, 18-May-2026: Kin Health, a consumer app that records the doctor visit and writes a plain-language summary, 'has raised $9 million in a seed funding round led by Maveron' and 'The funding round also saw participation from Town Hall Ventures, Eniac Ventures, Flex Capital, Foundry Square Capital, Pear VC, and The Family Fund.' familyfund.vc/about: 'Primary focus around Series A stage, while selectively backing high conviction earlier and growthier stage businesses'. Kin Health is listed on familyfund.vc/companies. Most of the portfolio is consumer brands; software names include Superpower, Elemind, Flossy and Kin."
gv,GV,Corporate VC,CALLABLE,"North America, Europe, and Israel",Seed; Series A; Series B,,,USD,We support innovative founders moving the world forward; we invest from seed to growth stages across the technology and life sciences sectors.,NOT PUBLISHED,Consumer & Prosumer Software,AI applications; healthcare; developer tools and security; frontier tech infrastructure,MOTHER.tech (Degen app),2026-05,https://techfundingnews.com/mother-tech-15m-seed-gv-lerer-hippeau-degen-ai-app/,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026 round two, fetch-only; every page named here was read that day. gv.com, gv.com/about, gv.com/news, gv.com/portfolio, Tech Funding News MOTHER.tech article.",https://www.gv.com/about,"Tech Funding News, 5-May-2026: MOTHER.tech 'has raised $15 million in seed funding' and 'Investors include GV, Lerer Hippeau Ventures, BoxGroup, and Shine Capital.' A DISTINCT HOUSE from the held 'Google' and 'Google AI Futures Fund' rows: gv.com, 'With Alphabet as our sole limited partner', 'we invest from seed to growth stages'. No cheque size published. Stage bands are the site's 'seed to growth' read as Seed through Series B."
canaan,Canaan,VC,CALLABLE,,,,,USD,We back founders who make the impossible inevitable; an early-stage venture capital firm.,NOT PUBLISHED,Consumer & Prosumer Software,AI; consumer; therapeutics; deep tech,OpenArt,2026-01,https://www.canaan.com/news/why-we-led-openart-s-30m-series-a,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026 round two, fetch-only; every page named here was read that day. canaan.com, canaan.com/about, canaan.com/news, canaan.com/companies.",NOT PUBLISHED,"Canaan's own post, 30-Jan-2026: 'We at Canaan are thrilled to lead OpenArt's $30M Series A'; OpenArt is an AI visual-media platform used by creators to build characters, worlds and storylines. STAGE BAND LEFT EMPTY: canaan.com/about says only 'an early-stage venture capital firm'. Consumer names in the portfolio include Instacart, Turo, Curtsy, Brigit and UrbanSitter."
town-hall-ventures,Town Hall Ventures,VC,CALLABLE,across the U.S.,,3,30,USD,We partner with founders who are solving long-standing healthcare challenges for underserved communities.,https://www.townhallventures.com/our-approach,Consumer & Prosumer Software,healthcare for underserved communities; patient- and family-facing health tools; AI in healthcare,Kin Health,2026-05,https://techcrunch.com/2026/05/18/kin-health-raises-9m-to-build-an-ai-notetaker-for-patients/,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026 round two, fetch-only; every page named here was read that day. townhallventures.com, /our-approach, /portfolio (Kin listed), TechCrunch Kin Health article.",https://www.townhallventures.com/our-approach,"TechCrunch, 18-May-2026: Kin Health, a consumer app that records the doctor visit and writes a plain-language summary, 'has raised $9 million in a seed funding round led by Maveron' and 'The funding round also saw participation from Town Hall Ventures, Eniac Ventures, Flex Capital, Foundry Square Capital, Pear VC, and The Family Fund.' townhallventures.com/our-approach: 'Our initial checks range from $3M to $30M', 'We invest across all stages. We prioritize team, business model, and mission over stage.', 'we invest across the U.S.' HEALTHCARE ONLY and a $3m floor: a fit for consumer-health founders raising $2m or more, not for the rest of the cluster; the engine's cheque-fit rule keeps it off smaller raises. STAGE BAND LEFT EMPTY: 'all stages' is not a band."
outlast-fund,Outlast Fund,Micro VC,CALLABLE,the Baltics and Nordics; Riga and Stockholm,Pre-seed; Seed,0.05,0.25,EUR,"We believe in thoughtful progress, ruthless focus on solving the customers problems and the value of sticking with something long enough to make a real difference.",https://www.outlastfund.com/,Online Learning; Consumer & Prosumer Software,B2B SaaS; applied AI; digital health; fintech,Flashka,2026-01,https://www.outlastfund.com/post/flashka-raises-1m-pre-seed-and-hits-1m-users-in-a-year,Flashka,2026-01,https://tech.eu/2026/01/12/tallinn-ai-startup-flashka-raises-eur1m-pre-seed-to-rethink-how-students-learn/,2026-09-05,"CLAUDE PULL 05-Sep-2026 round two, fetch-only; every page named here was read that day. outlastfund.com, its Flashka post, tech.eu Flashka article.",https://www.outlastfund.com/,"Outlast's own post, 13-Jan-2026: 'At Outlast Fund, we led Flashka's EUR1M pre-seed round'; Flashka is a consumer AI study app with one million users and recurring revenue. tech.eu, 12-Jan-2026: 'Flashka has closed a EUR1 million Pre-Seed round led by Outlast Fund'. outlastfund.com: 'We write our first check at pre-seed or seed' and 'EUR50-250k - Our first check is shaped by the deal, no fixed formula'."
ucp-ulixes-capital-partners,UCP (Ulixes Capital Partners),Micro VC,CALLABLE,Italian founders in Italy or abroad,Pre-seed; Seed,,,EUR,"Pre-seed and seed validated tech, on the market or about to enter, leaning toward digital, wellness, edtech, digital health and agri-foodtech.",NOT PUBLISHED,Online Learning; Consumer & Prosumer Software,digital (B2B); wellness; edtech; digital health,Flashka,2026-01,https://tech.eu/2026/01/12/tallinn-ai-startup-flashka-raises-eur1m-pre-seed-to-rethink-how-students-learn/,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026 round two, fetch-only; every page named here was read that day. ucp.vc, tech.eu Flashka article.",https://www.ucp.vc/,"tech.eu, 12-Jan-2026: 'Flashka has closed a EUR1 million Pre-Seed round led by Outlast Fund ... Additional investors in the round include UCP and Vento Ventures.' ucp.vc lists Flashka among its commitments (Edtech, 2025) and states 'PRE-SEED/SEED validated tech, on the market or about to enter' for 'ITALIAN FOUNDERS in Italy or abroad'. No cheque size published."
movens-capital,Movens Capital,VC,CALLABLE,CEE (and CEE diaspora) tech companies,Pre-seed; Seed; Series A,0.25,3,EUR,A multi-stage venture capital fund investing EUR0.25-3M in CEE (and CEE diaspora) tech companies with global ambitions from day one.,https://movenscapital.com/,Online Learning; Consumer & Prosumer Software,AI; B2B software; edtech; ecommerce enablers,BeeSpeaker,2025-09,https://tech.eu/2025/09/25/beespeaker-raises-eur2m-to-help-language-learners-become-confident-speakers/,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026 round two, fetch-only; every page named here was read that day. movenscapital.com, movenscapital.com/talk-funding/, tech.eu and ArcticStartup BeeSpeaker articles.",https://movenscapital.com/,"tech.eu, 25-Sep-2025: BeeSpeaker, an AI video-tutor language app that adults and teenagers pay for, raised EUR2m in seed funding; 'The round was led by Movens Capital with participation from SpeedUp Venture Capital Group and several international angel investors.' movenscapital.com: 'from pre-seed (but we like to see first paying customers) to A+ rounds', 'Initial checks: EUR250K - EUR3M'."
firstpick-vc,Firstpick VC,Micro VC,CALLABLE,"founders from Lithuania, Latvia, and Estonia",Pre-seed,0.1,0.5,EUR,We're a generalist early-stage investor with a strong focus on AI first software.,https://firstpick.vc/,Consumer & Prosumer Software; Online Learning,"AI-first software; generalist early stage; kids learning (Liledu, Three Cubes in portfolio)",Unive,2025-09,https://tech.eu/2025/09/29/unive-nets-eur410k-to-make-admissions-guidance-more-accessible/,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026 round two, fetch-only; every page named here was read that day. firstpick.vc, firstpick.vc/portfolio/, tech.eu Unive article.",https://firstpick.vc/,"tech.eu, 29-Sep-2025: Unive, an AI admissions-guidance assistant that students pay for, raised EUR410k: 'The total comprises EUR350,000 from Firstpick VC and a EUR60,000 grant from EduChallenger.' firstpick.vc: 'We invest at inception and pre-seed.', 'Our initial ticket is EUR100k to EUR500k depending on your stage'. Unive is guidance rather than a course product; the portfolio also holds Liledu and Three Cubes, both kids learning."
founderful,Founderful,VC,CALLABLE,Switzerland; Swiss and wider European founders,,,,CHF,"We back founder teams as their lead investor in their first financing round; first, fast, and founder-friendly.",NOT PUBLISHED,Online Learning; Consumer & Prosumer Software,category-defining technology companies; Swiss founders; first financing rounds,Sparkli,2026-01,https://techcrunch.com/2026/01/24/former-googlers-seek-to-captivate-kids-with-an-ai-powered-learning-app/,,,,2026-09-05,"CLAUDE PULL 05-Sep-2026 round two, fetch-only; every page named here was read that day. founderful.com, founderful.com/about, TechCrunch and Tech Funding News Sparkli articles.",https://www.founderful.com/,"TechCrunch, 24-Jan-2026: Sparkli, an AI learning app for children aged 5 to 12, 'has raised $5 million in pre-seed funding led by Swiss venture firm Founderful.' The app sells to schools first with consumer access for parents planned for mid-2026, so the consumer leg is stated intent at the deal date. STAGE BAND LEFT EMPTY: the site names no band, only 'lead investor in their first financing round'. No cheque published."
