exchange_ticker	company_name	family	archetype	what_is_needed
NYSE:ADT	ADT Inc.	consumer	Consumer Brand	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:AMN	AMN Healthcare Services, Inc.	consumer	Freelance & Services Marketplace	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
XTRA:AG1	AUTO1 Group SE	consumer	Third-Party Marketplace	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
ASX:ART	Airtasker Limited	consumer	Freelance & Services Marketplace	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:COLD	Americold Realty Trust	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:ARLO	Arlo Technologies, Inc.	consumer	Consumer Brand	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
LSE:ATG	Auction Technology Group plc	consumer	Third-Party Marketplace	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
ASX:ABB	Aussie Broadband Limited	consumer	Consumer Brand	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
TSE:4477	BASE, Inc.	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:BJ	BJ's Wholesale Club Holdings	consumer	Owned-Inventory Retail	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
ENXTAM:BFIT	Basic-Fit N.V.	consumer	Consumer Brand	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
TSE:6027	Bengo4.com, Inc.	consumer	Classifieds & Listings	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NSEI:BLUEDART	Blue Dart Express Limited	consumer	Local Delivery & On-Demand	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQGS:CHRW	C.H. Robinson Worldwide	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
TSE:7085	CURVES HOLDINGS	consumer	Consumer Brand	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NSEI:CONCOR	Container Corporation of India	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
TSE:2193	Cookpad Inc.	consumer	Streaming & Digital Media	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQGS:CPRT	Copart, Inc.	consumer	Third-Party Marketplace	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQGS:COST	Costco Wholesale Corporation	consumer	Owned-Inventory Retail	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NASDAQCM:CURI	CuriosityStream Inc.	consumer	Streaming & Digital Media	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NYSE:DHX	DHI Group, Inc.	consumer	Classifieds & Listings	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
TSE:2379	DIP Corporation	consumer	Classifieds & Listings	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
CPSE:DSV	DSV A/S	consumer	Commerce Enablement & Fulfilment	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
ENXTPA:DEEZR	Deezer S.A.	consumer	Streaming & Digital Media	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
NSEI:DELHIVERY	Delhivery Limited	consumer	Local Delivery & On-Demand	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
XTRA:DHL	Deutsche Post AG	consumer	Local Delivery & On-Demand	Revenue CAGR over CY+0 to CY+2 in local currency; the single forward year we hold cannot rank a peer
