# Lending and Credit, priced private funding rounds. Transcribed 2 September 2026 from four
# screenshots supplied by Daniil. Addresses point 4 of docs/data-pull-prompts-2sep.md.
# Sheet title: "Lending and Credit - Priced Private Funding Rounds".
# Sheet header: "22 qualifying transactions | 1 Jan 2021-2 Sep 2026 | monetary values in reported
#   currency, millions". Sheet note: "Metrics preserve revenue, run-rate, loan-book/origination and
#   cumulative-volume definitions. Floor-on-floor observations are NM rather than exact multiples."
#
# READ docs/lending-screen-verdicts-2sep.md BEFORE LOADING ANY ROW. Only 7 of these 22 rows carry a
# periodic revenue or ARR denominator. The rest are cumulative-since-inception volume figures and are
# NOT revenue multiples.
#
# COLUMNS: the sheet's columns AC to AN are empty in every row, so no fx rate, fx date or fx source is
# recorded anywhere. Four rows convert currency (Konfio MXN, Monzo GBP, Zilch GBP, Billie EUR) and
# none of those conversions is reproducible from the file.
#
# Three implied-multiple cells could not be read from the screenshots and are marked UNREADABLE with
# the computed value in transcription_note. They are NOT filled in by guess.
sheet_row,company_name,transaction_date,round_type,transaction_class,amount_raised_m,amount_currency,amount_raised_reported,premoney_valuation_m,postmoney_valuation_m,valuation_reference_m,valuation_currency,valuation_basis,transaction_value_m,transaction_value_currency,transaction_value_basis,metric_type,metric_value_m,metric_currency,metric_qualifier,metric_period_basis,multiple_denominator_m,denominator_currency,denominator_basis,implied_multiple_x,lead_investors,valuation_source_url,revenue_metric_source_url,transcription_note
6,Konfio,29-Sep-2021,Series E extension (total Series E USD 235m),Funding / priced private round,110.0,USD,USD 110m extension,,,1300.0,USD,Company-stated valuation after extension,,,,REVENUE,680.0,MXN,EQ,LTM revenue reported in a Jun-2021 investor presentation; latest located public absolute revenue near transaction date,33.1,USD,LTM revenue reported in a Jun-2021 investor presentation; latest located public absolute revenue near transaction date,39.23,Tarsadia Capital; QED Investors,https://konfio.another.co/konfio-completa-ronda-de-inversion-por-235-millones-de-dolares-con-una-valuacion-de-1300-mdd,https://vef.vc/wp-content/uploads/VEF-Investor-Presentation-Jun21-v8.pdf,"MXN 680m converted to USD 33.1m at an implied 0.0487 (20.54 MXN/USD). NO fx rate, date or source column is populated anywhere in this sheet."
7,Creditas,25-Jan-2022,Series F,Funding / priced private round,260.0,USD,USD 260m,,4800.0,4800.0,USD,Post-money,,,,REVENUE,200.0,USD,EQ,2021 annualised revenue as described contemporaneously by CEO; not audited FY revenue,200.0,USD,2021 annualised revenue as described contemporaneously by CEO; not audited FY revenue,24.00,Fidelity Management & Research Company,https://techcrunch.com/2022/01/25/brazilian-fintech-creditas-gets-260m-at-a-4-8b-valuation-and-a-new-investor-in-fidelity-after-revenue-jumps-in-2021/,https://techcrunch.com/2022/01/25/brazilian-fintech-creditas-gets-260m-at-a-4-8b-valuation-and-a-new-investor-in-fidelity-after-revenue-jumps-in-2021/,
8,Tabby,2025-02-12,Series E,Funding / priced private round,160.0,USD,"160,000,000 USD",,,3300.0,USD,Reported financing valuation; post-money not explicit,,,,ANNUALISED TRANSACTION VOLUME,10000.0,USD,GTE,Annualised run-rate as of 2025-02-12,10000.0,USD,Annualised run-rate as of 2025-02-12,<=0.33,Blue Pool Capital; Hassana Investment Company,https://tabby.ai/en-AE/newsroom/series-e-funding,https://tabby.ai/en-AE/newsroom/series-e-funding,
9,Tabby,2023-11-01,Series D,Funding / priced private round,200.0,USD,"200,000,000 USD",,,1500.0,USD,Reported financing valuation; post-money not explicit,,,,ANNUALISED TRANSACTION VOLUME,6000.0,USD,GTE,Annualised run-rate as of 2023-11-01,6000.0,USD,Annualised run-rate as of 2023-11-01,UNREADABLE,Wellington Management,https://tabby.ai/en-AE/newsroom/series-d,https://tabby.ai/en-AE/newsroom/series-d,"Implied multiple cell could not be read in the screenshot. 1500/6000 computes to 0.25x, and the row is a floor over a floor so the sheet may be showing NM. CONFIRM FROM THE SHEET."
10,MNT-Halan,2023-02-01,Strategic equity financing plus securitised debt,Funding / priced private round,260.0,USD,"260,000,000 equity (400,000,000 total financing package including securitised debt)",,1000.0,1000.0,USD,"Post-money; GTE (""exceed"")",,,,CUMULATIVE LOANS DISBURSED,2000.0,USD,GTE,Since inception through 2023-01-31 / 2023-02-01,2000.0,USD,Since inception through 2023-01-31 / 2023-02-01,UNREADABLE,Chimera Abu Dhabi (> $200m for > 20%); IFC identified for up to $40m of additional primary capital,https://ent.news/2023/2/MNT-Halan-Funding-230201-FINAL-FOR-IMMEDIATE-RELEASE.pdf,https://techcrunch.com/2023/01/31/egyptian-financial-services-provider-mnt-halan-gets-1b-valuation-after-securing-400m/,"Implied multiple cell could not be read. Floor valuation over floor denominator, so the sheet header note (""floor-on-floor observations are NM"") probably applies. 1000/2000 computes to 0.50x. CONFIRM FROM THE SHEET."
11,Klarna,2022-07-11,Private equity financing,Funding / priced private round,800.0,USD,$800m,,6700.0,6700.0,USD,Post-money,,,,TOTAL NET OPERATING INCOME,1600.0,USD,EQ,FY2021 (12 months),1600.0,USD,FY2021 (12 months),4.19,"Existing investors including Sequoia, Silver Lake, Bestseller, CPP Investments, Mubadala and others",https://investors.klarna.com/News--Events/news/news-details/2022/Klarna-closes-major-financing-round-during-worst-stock-downturn-in-50-years-holding/default.aspx,https://investors.klarna.com/News--Events/news/news-details/2022/Klarna-closes-major-financing-round-during-worst-stock-downturn-in-50-years-holding/default.aspx,
12,Atom Bank,2022-02-16,Equity growth round / pre-IPO round,Funding / priced private round,75.0,GBP,>GBP75m,,,435.0,GBP,Reported company valuation; priced at 70p/share,,,,CUMULATIVE MORTGAGE COMPLETIONS,3000.0,GBP,GTE,Cumulative through announcement,3000.0,GBP,Cumulative through announcement,<=0.15,Toscafund; Infinity Investment Partners; BBVA,https://www.uktech.news/fintech/atom-bank-ipo-funding-20220216,https://www.atombank.co.uk/newsroom/75m-growth-toward-ipo/,
13,Wayflyer,2022-02-01,Series B,Funding / priced private round,150.0,USD,"150,000,000 USD",,1600.0,1600.0,USD,Post-money; EQ,,,,CUSTOMER FUNDING ADVANCED / ORIGINATIONS,500.0,USD,EQ,FY2021,500.0,USD,FY2021,3.20,DST Global; QED Investors,https://wayflyer.com/blog/series-b,https://www.irishtimes.com/business/technology/wayflyer-becomes-latest-irish-tech-unicorn-after-150m-fundraise-1.4790726,
14,Monzo Bank,2021-12-08,Series H,Funding / priced private round,500.0,USD,$500m,,4500.0,4500.0,USD,Post-money / reported round valuation,,,,FULL-YEAR REVENUE,80.5,GBP,EQ,FY ended 28 February 2021 (12 months),106.3,USD,FY ended 28 February 2021 (12 months),42.32,Abu Dhabi Growth Fund (lead); Accel; Coatue; Goodwater; Alpha Wave,https://www.lse.co.uk/news/monzo-valuation-jumps-to-45-billion-after-fresh-funding-round-wj8vl4utb7jp8lg.html,https://monzo.com/static/docs/monzo-annual-report-2021.pdf,"GBP 80.5m converted to USD 106.3m at an implied 1.3205. No fx rate, date or source recorded in the sheet."
15,Fundbox,2021-11-30,Series D,Funding / priced private round,100.0,USD,"100,000,000 USD",,1100.0,1100.0,USD,Post-money; EQ,,,,CUMULATIVE TRANSACTION VOLUME / WORKING CAPITAL FACILITATED,2500.0,USD,GTE,Since founding in 2013 through 2021-11-30,2500.0,USD,Since founding in 2013 through 2021-11-30,<=0.44,Healthcare of Ontario Pension Plan (HOOPP),https://www.globenewswire.com/news-release/2021/11/30/2343283/0/en/Fundbox-Closes-100M-Series-D-Fueled-by-Record-Growth.html,https://www.globenewswire.com/news-release/2021/11/30/2343283/0/en/Fundbox-Closes-100M-Series-D-Fueled-by-Record-Growth.html,
