company_name	exchange_ticker	country	archetype	metric_wanted
GATX Corporation	NYSE:GATX	United States	Owned-Inventory Retail	GMV if any: expected NONE, pawn or leasing, close out formally
Willis Lease Finance Corporation	NASDAQ:WLFC	United States	Owned-Inventory Retail	GMV if any: expected NONE, pawn or leasing, close out formally
Dropbox, Inc.	NASDAQGS:DBX	United States	Consumer & Prosumer Software	Paying subscribers at the latest fiscal year end, company-reported
F-Secure Oyj	HLSE:FSECURE	Finland	Consumer & Prosumer Software	Paying subscribers at the latest fiscal year end, company-reported
Gen Digital Inc.	NASDAQGS:GEN	United States	Cybersecurity	Paying subscribers at the latest fiscal year end, company-reported
Life360, Inc.	ASX:360	United States	Consumer & Prosumer Software	Paying subscribers at the latest fiscal year end, company-reported
Ooma, Inc.	NYSE:OOMA	United States	Communications & Collaboration	Paying subscribers at the latest fiscal year end, company-reported
Opera Limited	NASDAQGS:OPRA	Norway	Consumer & Prosumer Software	Paying subscribers at the latest fiscal year end, company-reported
Truecaller AB (publ)	OM:TRUE B	Sweden	Consumer & Prosumer Software	Paying subscribers at the latest fiscal year end, company-reported
Xperi Inc.	NYSE:XPER	United States	Consumer & Prosumer Software	Paying subscribers at the latest fiscal year end, company-reported
ACI Worldwide, Inc.	NASDAQGS:ACIW	United States	Commerce & Payments Software	TPV / gross transaction value, latest full fiscal year, company-reported
Adyen N.V.	ENXTAM:ADYEN	Netherlands	Merchant Acquiring & PSP	TPV / gross transaction value, latest full fiscal year, company-reported
Affirm Holdings, Inc.	NASDAQ:AFRM	United States	Lending & Credit	TPV / gross transaction value, latest full fiscal year, company-reported
Al Ansari Financial Services PJSC	DFM:ALANSARI	United Arab Emirates	Cross-Border & FX	TPV / gross transaction value, latest full fiscal year, company-reported
Ally Financial Inc.	NYSE:ALLY	United States	Digital Bank & Deposits	TPV / gross transaction value, latest full fiscal year, company-reported
American Express Company	NYSE:AXP	United States	Payment Network	TPV / gross transaction value, latest full fiscal year, company-reported
AppFolio, Inc.	NASDAQGM:APPF	United States	Vertical Software	TPV / gross transaction value, latest full fiscal year, company-reported
Axos Financial, Inc.	NYSE:AX	United States	Digital Bank & Deposits	TPV / gross transaction value, latest full fiscal year, company-reported
BILL Holdings, Inc.	NYSE:BILL	United States	Commerce & Payments Software	TPV / gross transaction value, latest full fiscal year, company-reported
Bakkt, Inc.	NYSE:BKKT	United States	Crypto & Digital Assets	TPV / gross transaction value, latest full fiscal year, company-reported
Block, Inc.	NYSE:XYZ	United States	Digital Bank & Deposits	TPV / gross transaction value, latest full fiscal year, company-reported
Boku, Inc.	AIM:BOKU	United Kingdom	Payment Network	TPV / gross transaction value, latest full fiscal year, company-reported
Bread Financial Holdings, Inc.	NYSE:BFH	United States	Digital Bank & Deposits	TPV / gross transaction value, latest full fiscal year, company-reported
Bullish	NYSE:BLSH	Cayman Islands	Crypto & Digital Assets	TPV / gross transaction value, latest full fiscal year, company-reported
CAB Payments Holdings plc	LSE:CABP	United Kingdom	Cross-Border & FX	TPV / gross transaction value, latest full fiscal year, company-reported
Capital One Financial Corporation	NYSE:COF	United States	Digital Bank & Deposits	TPV / gross transaction value, latest full fiscal year, company-reported
Chime Financial, Inc.	NASDAQ:CHYM	United States	Digital Bank & Deposits	TPV / gross transaction value, latest full fiscal year, company-reported
Coastal Financial Corporation	NASDAQ:CCB	United States	Digital Bank & Deposits	TPV / gross transaction value, latest full fiscal year, company-reported
Coinbase Global, Inc.	NASDAQ:COIN	United States	Crypto & Digital Assets	TPV / gross transaction value, latest full fiscal year, company-reported
Corpay, Inc.	NYSE:CPAY	United States	Payment Network	TPV / gross transaction value, latest full fiscal year, company-reported
DLocal Limited	NASDAQ:DLO	Uruguay	Merchant Acquiring & PSP	TPV / gross transaction value, latest full fiscal year, company-reported
Dave Inc.	NASDAQ:DAVE	United States	Lending & Credit	TPV / gross transaction value, latest full fiscal year, company-reported
EML Payments Limited	ASX:EML	Australia	Merchant Acquiring & PSP	TPV / gross transaction value, latest full fiscal year, company-reported
EVERTEC, Inc.	NYSE:EVTC	United States	Vertical Software	TPV / gross transaction value, latest full fiscal year, company-reported
EZCORP, Inc.	NASDAQ:EZPW	United States	Owned-Inventory Retail	TPV / gross transaction value, latest full fiscal year, company-reported
Encore Capital Group, Inc.	NASDAQ:ECPG	United States	Lending & Credit	TPV / gross transaction value, latest full fiscal year, company-reported
Enova International, Inc.	NYSE:ENVA	United States	Lending & Credit	TPV / gross transaction value, latest full fiscal year, company-reported
Euronet Worldwide, Inc.	NASDAQ:EEFT	United States	Cross-Border & FX	TPV / gross transaction value, latest full fiscal year, company-reported
FirstCash Holdings, Inc.	NASDAQ:FCFS	United States	Owned-Inventory Retail	TPV / gross transaction value, latest full fiscal year, company-reported
Fiserv, Inc.	NASDAQ:FISV	United States	Merchant Acquiring & PSP	TPV / gross transaction value, latest full fiscal year, company-reported
Flywire Corporation	NASDAQ:FLYW	United States	Cross-Border & FX	TPV / gross transaction value, latest full fiscal year, company-reported
GMO Payment Gateway, Inc.	TSE:3769	Japan	Merchant Acquiring & PSP	TPV / gross transaction value, latest full fiscal year, company-reported
Global Payments Inc.	NYSE:GPN	United States	Merchant Acquiring & PSP	TPV / gross transaction value, latest full fiscal year, company-reported
GoDaddy Inc.	NYSE:GDDY	United States	Cloud & Infrastructure	TPV / gross transaction value, latest full fiscal year, company-reported
HPS S.A.	CBSE:HPS	Morocco	Vertical Software	TPV / gross transaction value, latest full fiscal year, company-reported
Inter & Co, Inc.	NASDAQ:INTR	Brazil	Digital Bank & Deposits	TPV / gross transaction value, latest full fiscal year, company-reported
Intuit Inc.	NASDAQGS:INTU	United States	Business Applications	TPV / gross transaction value, latest full fiscal year, company-reported
Jefferson Capital, Inc.	NASDAQ:JCAP	United States	Lending & Credit	TPV / gross transaction value, latest full fiscal year, company-reported
Klarna Group plc	NYSE:KLAR	United Kingdom	Lending & Credit	TPV / gross transaction value, latest full fiscal year, company-reported
LendingClub Corporation	NYSE:LC	United States	Lending & Credit	TPV / gross transaction value, latest full fiscal year, company-reported
Lightspeed Commerce Inc.	TSX:LSPD	Canada	Commerce & Payments Software	TPV / gross transaction value, latest full fiscal year, company-reported
Live Oak Bancshares, Inc.	NYSE:LOB	United States	Digital Bank & Deposits	TPV / gross transaction value, latest full fiscal year, company-reported
Marqeta, Inc.	NASDAQ:MQ	United States	Merchant Acquiring & PSP	TPV / gross transaction value, latest full fiscal year, company-reported
Mastercard Incorporated	NYSE:MA	United States	Payment Network	TPV / gross transaction value, latest full fiscal year, company-reported
Medallion Financial Corp.	NASDAQ:MFIN	United States	Digital Bank & Deposits	TPV / gross transaction value, latest full fiscal year, company-reported
Merchants Bancorp	NASDAQ:MBIN	United States	Digital Bank & Deposits	TPV / gross transaction value, latest full fiscal year, company-reported
NCR Voyix Corporation	NYSE:VYX	United States	Vertical Software	TPV / gross transaction value, latest full fiscal year, company-reported
Navient Corporation	NASDAQ:NAVI	United States	Lending & Credit	TPV / gross transaction value, latest full fiscal year, company-reported
NewtekOne, Inc.	NASDAQ:NEWT	United States	Digital Bank & Deposits	TPV / gross transaction value, latest full fiscal year, company-reported
Nexi S.p.A.	BIT:NEXI	Italy	Merchant Acquiring & PSP	TPV / gross transaction value, latest full fiscal year, company-reported
Nu Holdings Ltd.	NYSE:NU	Brazil	Digital Bank & Deposits	TPV / gross transaction value, latest full fiscal year, company-reported
OFX Group Limited	ASX:OFX	Australia	Cross-Border & FX	TPV / gross transaction value, latest full fiscal year, company-reported
One MobiKwik Systems Limited	NSEI:MOBIKWIK	India	Merchant Acquiring & PSP	TPV / gross transaction value, latest full fiscal year, company-reported
One97 Communications Limited	NSEI:PAYTM	India	Merchant Acquiring & PSP	TPV / gross transaction value, latest full fiscal year, company-reported
Onity Group Inc.	NYSE:ONIT	United States	Lending & Credit	TPV / gross transaction value, latest full fiscal year, company-reported
Oportun Financial Corporation	NASDAQ:OPRT	United States	Lending & Credit	TPV / gross transaction value, latest full fiscal year, company-reported
PRA Group, Inc.	NASDAQ:PRAA	United States	Lending & Credit	TPV / gross transaction value, latest full fiscal year, company-reported
PagSeguro Digital Ltd.	NYSE:PAGS	Brazil	Merchant Acquiring & PSP	TPV / gross transaction value, latest full fiscal year, company-reported
PayPal Holdings, Inc.	NASDAQ:PYPL	United States	Merchant Acquiring & PSP	TPV / gross transaction value, latest full fiscal year, company-reported
Payoneer Global Inc.	NASDAQ:PAYO	United States	Cross-Border & FX	TPV / gross transaction value, latest full fiscal year, company-reported
Paysafe Limited	NYSE:PSFE	United Kingdom	Merchant Acquiring & PSP	TPV / gross transaction value, latest full fiscal year, company-reported
Regional Management Corp.	NYSE:RM	United States	Lending & Credit	TPV / gross transaction value, latest full fiscal year, company-reported
Remitly Global, Inc.	NASDAQ:RELY	United States	Cross-Border & FX	TPV / gross transaction value, latest full fiscal year, company-reported
Riskified Ltd.	NYSE:RSKD	United States	Commerce & Payments Software	TPV / gross transaction value, latest full fiscal year, company-reported
Robinhood Markets, Inc.	NASDAQ:HOOD	United States	Wealth & Capital Markets Platform	TPV / gross transaction value, latest full fiscal year, company-reported
Rocket Companies, Inc.	NYSE:RKT	United States	Lending & Credit	TPV / gross transaction value, latest full fiscal year, company-reported
SLM Corporation	NASDAQ:SLM	United States	Digital Bank & Deposits	TPV / gross transaction value, latest full fiscal year, company-reported
ServiceTitan, Inc.	NASDAQGS:TTAN	United States	Vertical Software	TPV / gross transaction value, latest full fiscal year, company-reported
Shift4 Payments, Inc.	NYSE:FOUR	United States	Merchant Acquiring & PSP	TPV / gross transaction value, latest full fiscal year, company-reported
Shoper S.A.	WSE:SHO	Poland	Commerce & Payments Software	TPV / gross transaction value, latest full fiscal year, company-reported
Shopify Inc.	NASDAQGS:SHOP	Canada	Commerce & Payments Software	TPV / gross transaction value, latest full fiscal year, company-reported
SoFi Technologies, Inc.	NASDAQ:SOFI	United States	Lending & Credit	TPV / gross transaction value, latest full fiscal year, company-reported
StoneCo Ltd.	NASDAQ:STNE	Cayman Islands	Merchant Acquiring & PSP	TPV / gross transaction value, latest full fiscal year, company-reported
Synchrony Financial	NYSE:SYF	United States	Digital Bank & Deposits	TPV / gross transaction value, latest full fiscal year, company-reported
The Bancorp, Inc.	NASDAQ:TBBK	United States	Digital Bank & Deposits	TPV / gross transaction value, latest full fiscal year, company-reported
The Western Union Company	NYSE:WU	United States	Cross-Border & FX	TPV / gross transaction value, latest full fiscal year, company-reported
