company	sector	subsector	country	transaction_date	round_type	capital_raised	valuation_wording	revenue_wording_and_timing	revenue_evidence_status	what_is_needed
Paddle	Payments infrastructure	Merchant of record / billing rails	UK	2022-05-10	Series D US$200m	US$200m	$1.4bn valuation	Announcement said revenue had doubled over the prior 18 months, but supplied no dollar base	FOUND - not usable / timing or definition issue	Round announcement URL and the revenue source URL, so this round can be published to a founder
Checkout.com	Payments infrastructure	Global acquiring / processing	UK	2022-01-12	Series D US$1.0bn	US$1.0bn	$40 billion post-money	Company disclosed hundreds of billions of dollars in payment volume for 2021, not revenue. A later UK-company figure of approximately $259.6 million may exclude international operations and its availability at pricing is not established	FOUND - not usable / timing or definition issue	Round announcement URL and the revenue source URL, so this round can be published to a founder
Primer	Payments infrastructure	Payments orchestration	UK	2021-10-19	Series B US$50m	US$50m	$425 million post-money	NOT FOUND in company announcement. A 2024 deck/aggregator estimate of about $18m for 2021 is both later and insufficiently sourced	NOT FOUND	Round announcement URL and the revenue source URL, so this round can be published to a founder
TrueLayer	Payments infrastructure	Open-banking payments	UK	2021-09-21	Series E US$130m	US$130m	over $1 billion post-money	NOT FOUND. A CB Insights profile figure was rejected because its original publication timing was not established.	NOT FOUND	Round announcement URL and the revenue source URL, so this round can be published to a founder
Mollie	Payments infrastructure	PSP / merchant acquiring	Netherlands	2021-06-22	Series C US$800m / EUR665m	US$800m / EUR665m	$6.5 billion / EUR5.4 billion	159.8 million fee and commission income in FY2020 financial statements; FY2020 gross margin 134.5m	FOUND - not usable / timing or definition issue	Round announcement URL and the revenue source URL, so this round can be published to a founder
SumUp	Payments infrastructure	Merchant acquiring / POS	UK / Germany	2022-06-23	EUR590m, about half equity half debt	EUR590m	enterprise value of EUR8 billion	Gross revenue publication timing is not adequately established	NOT FOUND	Round announcement URL and the revenue source URL, so this round can be published to a founder
Rapyd	Payments infrastructure	Fintech-as-a-service / payments	Israel / UK	2021-08-03	Series E US$300m	US$300m	$8.75B valuation	Revenue grown 3.5x since January round, but no absolute base; expected 2021 TPV exceed $20 billion versus $5bn in 2020	FOUND - not usable / timing or definition issue	Round announcement URL and the revenue source URL, so this round can be published to a founder
Incredible Health	Marketplaces	Healthcare hiring marketplace	US	2022-08-17	Series B	$80m	$1.65 billion valuation	Revenue described only on a growth basis against an underlying base that would require direct page confirmation before use	FOUND - not usable / timing or definition issue	Round announcement URL and the revenue source URL, so this round can be published to a founder
Clipboard Health	Marketplaces	Healthcare staffing marketplace	US	2022-04-18	Series C / two rounds reported together	$80m	$1.3 billion post-money valuation	NOT FOUND. Company only described gross-revenue growth of roughly 25x over the prior 18 months, with no dollar base.	NOT FOUND	Round announcement URL and the revenue source URL, so this round can be published to a founder
Flock Freight	Marketplaces	Digital freight / shared-truckload marketplace	US	2021-10-20	Series D	$215m	$1.3 billion valuation	Tier-4 founder-interview record says Flock generated $25 million in revenue in September 2021 and expected October revenue to be more than $25 million; the frequently repeated $25m monthly revenue is an approximation.	FOUND - not usable / timing or definition issue	Round announcement URL and the revenue source URL, so this round can be published to a founder
