# ACTIVE SEED & SERIES A INVESTOR SCREEN, Daniil's pull, transcribed 02-Sep-2026 from three
# photographs of the workbook: data/raw/2026-09-02_seed-investor-screen-p01..p03.
#
# EVERY COLUMN OF THE SOURCE IS HERE, including the ones this task did not strictly need. That is
# durability rule 11, adopted this morning after the last two source columns were dropped twice.
# Source columns A to J: Sector, Fund, Region, Initial Cheque Low, Initial Cheque High, Currency,
# Thesis, Company, Month-Year, Source URL. All ten are below.
#
# THE SCREEN'S OWN RULES, from its Read Me tab, quoted:
#   Scope        "Announcements from 1 January 2023 through 2 September 2026."
#   Method       "One row per deal; two latest attributable announcements per included fund.
#                 Sector lists are non-exclusive."
#   Strict gate  "Funds lacking a bounded, fund-stated initial-cheque range or two eligible
#                 announcements were excluded."
#   Short lists  "Several sectors contain fewer than eight funds because the evidence rules were
#                 not relaxed."
#   US funds     "The Region column explicitly identifies US-based funds that invest into Europe."
#   Cheque low   "The minimum amount the fund says it typically invests when first backing a new
#                 portfolio company."
#   Cheque high  "The maximum amount the fund says it typically invests in that first investment."
#   Important    "These figures describe the investor's own cheque, not the startup's total
#                 financing round and not capital reserved for later follow-on investments."
#
# That gate is stricter than ours and it is the right one. A fund-STATED cheque range is exactly
# what our own promoted growth houses cannot supply, which is why they carry round size instead.
#
# WHAT TO KNOW BEFORE USING IT, three things the structure implies:
#
# 1. THE TWO DEALS ARE PER FUND, NOT PER SECTOR. Seedcamp appears in six sectors and carries the
#    same two deals in all six: Embedd and EverSettled. So a deal evidences that the fund is
#    ACTIVE; it does not evidence the sector claim beside it. The sector comes from the fund's
#    stated thesis. Honest, and it must be labelled that way on a card.
# 2. SEVEN FUNDS' DEALS POINT AT AN INDEX PAGE rather than the announcement: Pale Blue Dot,
#    Nina Capital, Heal Capital, FoodLabs, Project A, and single rows for Skalar and Cordant.
#    Under our own sourcing rule a link must land on the statement it supports. Marked
#    source_is_index = 1 below; they are usable but weaker than the rest.
# 3. CHEQUE SIZE SPANS FAR MORE THAN SEED. Eos Ventures starts at 7m and Dawn at 10m; Playfair and
#    FoodLabs start at 100k. A hundredfold range in one list, which is precisely why the cheque
#    column is the thing that decides whether a founder should call.
#
# TRANSCRIPTION CONFIDENCE. These are photographs of a screen, not exports. Fund names, regions,
# cheque figures, currencies, companies and dates are legible and I am confident in them. Some
# URLs are long and small; the ones I am not certain of carry url_confidence = LOW and should be
# checked before they render to a founder. Everything else is HIGH.
sector,fund,region,cheque_low,cheque_high,currency,thesis,company,month_year,source_url,source_is_index,url_confidence
B2B software and AI tooling,Seedcamp,"UK / Europe (London-based; Europe-first, now also US)",350000,1250000,USD,"Pre-seed/seed investor in ambitious technology businesses, with strong B2B software and AI coverage.",Embedd,Aug-2026,https://seedcamp.com/views/embedd-raises-2-7m-to-cut-chip-integration-time-by-6x/,0,HIGH
B2B software and AI tooling,Seedcamp,"UK / Europe (London-based; Europe-first, now also US)",350000,1250000,USD,"Pre-seed/seed investor in ambitious technology businesses, with strong B2B software and AI coverage.",EverSettled,Jul-2026,https://seedcamp.com/views/eversettled-raises-5m-to-automate-the-painful-process-of-probate/,0,HIGH
B2B software and AI tooling,Episode 1 Ventures,UK (UK-focused),250000,2000000,GBP,"Pre-seed and seed investor backing UK software companies, especially B2B, infrastructure and applied AI.",Osprey Security,Jul-2026,https://www.soapbox.co/feed/osprey-pre-seed,0,LOW
B2B software and AI tooling,Episode 1 Ventures,UK (UK-focused),250000,2000000,GBP,"Pre-seed and seed investor backing UK software companies, especially B2B, infrastructure and applied AI.",Record OS,Jun-2026,https://cfotech.co.uk/story/record-os-launches-with-usd-2-million-pre-seed-raise,0,HIGH
B2B software and AI tooling,Cherry Ventures,"Europe (Berlin; Europe-focused)",2000000,7000000,EUR,"Pre-seed through Series A investor across software, AI, consumer and frontier technology; seed is core.",Entire,Jul-2026,https://cherry.vc/news/the-fourth-generation-of-version-control,0,HIGH
B2B software and AI tooling,Cherry Ventures,"Europe (Berlin; Europe-focused)",2000000,7000000,EUR,"Pre-seed through Series A investor across software, AI, consumer and frontier technology; seed is core.",Zaro,Jun-2026,https://www.cherry.vc/news/shared-memory-for-ai-agents,0,HIGH
B2B software and AI tooling,Dawn Capital,"Europe (London; Europe-focused)",10000000,40000000,USD,"Specialist European B2B software investor at Series A/B, with follow-on capacity.",Cortea,Jun-2026,https://www.dawncapital.com/content-hub/from-audit-overload-to-ai-driven-clarity-why-we-re-backing-cortea,0,HIGH
B2B software and AI tooling,Dawn Capital,"Europe (London; Europe-focused)",10000000,40000000,USD,"Specialist European B2B software investor at Series A/B, with follow-on capacity.",Orbio,Jun-2026,https://www.dawncapital.com/content-hub/why-we-invested-in-orbio,0,HIGH
B2B software and AI tooling,Air Street Capital,"Europe + North America (London; explicitly invests both regions)",500000,15000000,USD,"AI-first specialist across software, developer infrastructure, science, security and defence.",Alta Ares,Jun-2026,https://press.airstreet.com/p/alta-ares-series-a,0,HIGH
B2B software and AI tooling,Air Street Capital,"Europe + North America (London; explicitly invests both regions)",500000,15000000,USD,"AI-first specialist across software, developer infrastructure, science, security and defence.",Perceptic,May-2026,https://press.airstreet.com/p/introducing-perceptic,0,HIGH
