# Fairway investor table. One row per house. Built by tools/build_investors_table.py.
# Checked by tools/investor_check.py, which is the gate on what may render.
#
# TWO LAYERS AND THEY MUST NOT BE BLENDED.
#   EVIDENCE  the houses behind a founder's own reference rounds, generated from the same files
#             the football field comes from. Every deal carries company, month and the round's own
#             source URL. Honest label: a map of who pays up for businesses like yours, mostly
#             growth-stage and mostly US. NOT a call list for a seed round.
#   CALLABLE  funds writing first cheques in the founder's sector now. Seeded from the 19 UK funds
#             curated in data-content.js and DELIBERATELY INCOMPLETE: no dated deal, no source URL,
#             so the checker refuses them. That refusal is the pull list, not a bug.
#
# THE ACTIVITY RULE, taken from vcconf and binding here: a CALLABLE investor renders only with at
# least one named, dated deal inside 12 months WITH a source URL, a first-cheque range, a stage,
# a sector in our vocabulary, a geography and a one-line thesis. A row missing any of those does
# not render. Same discipline as comps sourcing: a figure with no source does not exist.
#
# COMPLIANCE, binding on every rendering of both layers: public information only, nothing behind
# a login, no contact details, no claim of introduction. The footer line carries onto every card:
# a map, not an introduction; no affiliation or endorsement is implied. Styled text wordmarks,
# never logos.
#
# Never pad to a fixed count. Six good matches beat twelve loose ones.
investor_key,investor_name,house_type,layer,geographies,stage_bands,first_cheque_low_m,first_cheque_high_m,cheque_currency,round_size_low_m,round_size_high_m,thesis_one_liner,deal_evidences_sector,cheque_range_source,sector_deals_file,screening_categories,subsectors,recent_deal_1_company,recent_deal_1_date,recent_deal_1_source_url,recent_deal_2_company,recent_deal_2_date,recent_deal_2_source_url,rounds_in_set,companies_in_set,companies_backed,first_round,last_round,median_round_size_m,median_postmoney_m,last_verified,provenance
accel,Accel,,CALLABLE|EVIDENCE,,Series B; Series C,,,USD,1400.0,17500.0,"Joins rounds of $1400m to $17500m in Data, AI & Developer Tools. Generated from the rounds in our own set, not from a curated list.",,,,"Data, AI & Developer Tools(3); Cybersecurity(3); Enterprise Applications(3); Cloud & Infrastructure Software(1); Vertical Software(1); Communications & Customer Engagement(1)",AI coding assistant / IDE(1); AI data infrastructure / labeling(1); Front-end cloud / developer platform(1); Data security posture management(1),Decagon,2026-01,https://decagon.ai/blog/series-d-announcement,Gamma,2025-11,https://www.businesswire.com/news/home/20251110805751/en/Gamma-Surpasses-$100M-ARR-Raises-at-$2.1B-Valuation-as-It-Replaces-PowerPoint-for-the-AI-Era,18,17,1Password|Algolia|Anysphere / Cursor|Celonis|Cyera|Decagon|Gamma|GoCardless|Klaviyo|Miro|PayFit|Personio|Scale AI|Snyk|Vercel|Vinted|Zepz,2021-05,2026-01,292.0,5000.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
coatue,Coatue Management,,CALLABLE|EVIDENCE,,Series B; Series C,,,USD,1400.0,380000.0,"Joins rounds of $1400m to $380000m in Data, AI & Developer Tools. Generated from the rounds in our own set, not from a curated list.",,,,"Data, AI & Developer Tools(5); Enterprise Applications(3); Vertical Software(2); Cybersecurity(1); Agent Ops(1); Sales Engagement(1)","Foundation models / generative AI(3); Spend management / corporate cards(1); HR, payroll and global workforce(1); AI coding / cloud development(1)",Anthropic,2026-02,https://www.anthropic.com/news/anthropic-raises-30-billion-series-g-funding-380-billion-post-money-valuation,Decagon,2026-01,https://decagon.ai/blog/series-d-announcement,18,17,Ankorstore|Anthropic|Cyera|Decagon|Deel|Glean|Gong|Gorillas|Harvey|Jasper|Marqeta|OpenAI|Ramp|Replit|Rippling|Upgrade|dbt Labs,2019-05,2026-02,283.0,6280.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv. Spellings merged: Coatue / Coatue Management
sequoia,Sequoia Capital,,CALLABLE|EVIDENCE,,Series B; Series C,,,USD,1200.0,965000.0,"Joins rounds of $1200m to $965000m in Communications & Customer Engagement. Generated from the rounds in our own set, not from a curated list.",,,,"Communications & Customer Engagement(2); Cybersecurity(2); Data, AI & Developer Tools(2); Agent Ops(2); Sales Engagement(2); Vertical Software(1)",AI customer service agents(2); Beauty(2); Legal AI / legal workflow(1); Enterprise search / knowledge management(1),Sierra,2026-05,https://techcrunch.com/2026/05/04/sierra-raises-950m-as-the-race-to-own-enterprise-ai-gets-serious/,Anthropic,2026-05,https://www.anthropic.com/news/series-h,17,15,Anthropic|Apollo.io|Cyera|ElevenLabs|Glean|Glossier|Gong|Harvey|Klarna|LangChain|Notion|Sierra|Vanta|Whatnot|dbt Labs,2019-03,2026-05,225.0,5000.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv. Spellings merged: Sequoia / Sequoia Capital
tiger,Tiger Global Management,,CALLABLE|EVIDENCE,,Series B; Series C,,,USD,1000.0,100000.0,"Joins rounds of $1000m to $100000m in Sales Engagement. Generated from the rounds in our own set, not from a curated list.",,,,Sales Engagement(3); E-commerce Enablement(2); Consumer Marketplace(2); Cloud & Infrastructure Software(1); Enterprise Applications(1); Cybersecurity(1),Front-end cloud / developer platform(1); HR software for SMBs(1); Identity and password management(1); AI customer service agents(1),Sierra,2026-05,https://techcrunch.com/2026/05/04/sierra-raises-950m-as-the-race-to-own-enterprise-ai-gets-serious/,Mews,2026-01,https://www.prnewswire.com/news-releases/mews-secures-300-million-investment-to-cement-position-as-worlds-leading-hospitality-operating-system-302668120.html,16,16,1Password|6sense|Ankorstore|Factorial|Gong|Meesho|Mews|Outreach|Patreon|Razorpay|Rokt|SHEIN|Sierra|Vercel|Yotpo|dLocal,2021-03,2026-05,275.0,4400.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv. Spellings merged: Tiger Global / Tiger Global Management
dst,DST Global,,CALLABLE|EVIDENCE,,Growth; Late stage; Crossover,,,USD,2200.0,20000.0,"Joins rounds of $2200m to $20000m in Consumer Marketplace. Generated from the rounds in our own set, not from a curated list.",,,,"Consumer Marketplace(3); Vertical Software(1); Data, AI & Developer Tools(1); Sales Engagement(1); Lending & Credit(1); Real Estate Marketplace(1)",Livestream commerce marketplace(3); Legal AI / legal workflow(1); AI coding assistant / IDE(1); GTM data enrichment and workflow(1),Whatnot,2026-08,blog.teamwhatnot.com/unitedstates/seriesg,Clay,2026-01,https://www.businesswire.com/news/home/20260128514638/en/Clay-Announces-Second-Employee-Tender-Offer-in-Nine-Months-at-a-%245B-Valuation,11,8,Airwallex|Anysphere / Cursor|Clay|Gorillas|Harvey|Loft|Upgrade|Whatnot,2021-03,2026-08,330.0,6200.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv. Spellings merged: DST / DST Global
iconiq,ICONIQ Capital,,CALLABLE|EVIDENCE,,Growth; Late stage; Crossover,,,USD,1900.0,380000.0,"Joins rounds of $1900m to $380000m in Data, AI & Developer Tools. Generated from the rounds in our own set, not from a curated list.",,,,"Data, AI & Developer Tools(3); Communications & Customer Engagement(2); D2C / Consumer Brand(2); Enterprise Applications(1); Consumer Marketplace(1); E-commerce Enablement(1)",Foundation models / generative AI(2); Value-led apparel and home(2); AI customer service agents(1); Voice AI / synthetic media(1),Whatnot,2026-08,blog.teamwhatnot.com/unitedstates/seriesg,Quince,2026-03,prnewswire.com/news-releases/quince-raises-500m-series-e-resulting-in-10-1b-valuation-to-accelerate-the-manufacturer-to-consumer-platform-302710298.html,10,8,Anthropic|ElevenLabs|Quince|Recharge|Sierra|Whatnot|Writer|dbt Labs,2021-05,2026-08,350.0,10000.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv. Spellings merged: ICONIQ / ICONIQ Capital
lonepine,Lone Pine Capital,,CALLABLE|EVIDENCE,,Series B; Series C,,,USD,1400.0,8000.0,"Joins rounds of $1400m to $8000m in Sales Engagement. Generated from the rounds in our own set, not from a curated list.",,,,"Sales Engagement(1); Data, AI & Developer Tools(1); Streaming & Creator(1); Merchant Acquiring & PSP(1); D2C / Consumer Brand(1); D2C(1)",Sales execution and engagement(1); Search and discovery API(1); Creator subscriptions(1); Payment aggregator and neobanking(1),Airwallex,2025-12,https://www.airwallex.com/newsroom/airwallex-series-g,Airwallex,2025-05,https://www.airwallex.com/newsroom/airwallex-raises-300m-series-f,10,7,Airwallex|Algolia|Away|Glossier|Outreach|Patreon|Razorpay,2019-05,2025-12,200.0,4400.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv. Spellings merged: Lone Pine / Lone Pine Capital
insight,Insight Partners,,CALLABLE|EVIDENCE,,Series B; Series C,,,USD,600.0,183000.0,"Joins rounds of $600m to $183000m in Sales Engagement. Generated from the rounds in our own set, not from a curated list.",,,,"Sales Engagement(2); Cybersecurity(1); Enterprise Applications(1); Marketing & Customer Engagement(1); Data, AI & Developer Tools(1); D2C / Consumer Brand(1)",Email security / behavioral AI(1); Enterprise generative AI platform(1); Account-based marketing / revenue intelligence(1); Sales engagement(1),Quince,2026-03,prnewswire.com/news-releases/quince-raises-500m-series-e-resulting-in-10-1b-valuation-to-accelerate-the-manufacturer-to-consumer-platform-302710298.html,Anthropic,2025-09,https://www.anthropic.com/news/anthropic-raises-series-f-at-usd183b-post-money-valuation,9,9,6sense|Abnormal Security|Anthropic|CommerceIQ|Jasper|Quince|Salesloft|Vinted|Writer,2019-04,2026-03,200.0,3750.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv. Spellings merged: Insight / Insight Partners
lightspeed,Lightspeed,,CALLABLE|EVIDENCE,,Growth; Late stage; Crossover,,,USD,3000.0,183000.0,"Joins rounds of $3000m to $183000m in Data, AI & Developer Tools. Generated from the rounds in our own set, not from a curated list.",,,,"Data, AI & Developer Tools(3); Cybersecurity(3); Vertical Software(1); Enterprise Applications(1); Consumer Marketplace(1)",Foundation models / generative AI(3); Spend management / corporate cards(1); Cloud security / CNAPP(1); SASE / network security(1),Whatnot,2026-08,blog.teamwhatnot.com/unitedstates/seriesg,Ramp,2025-11,https://techcrunch.com/2025/11/17/ramp-hits-32b-valuation-just-three-months-after-hitting-22-5b/,9,7,1Password|Anthropic|Cato Networks|Personio|Ramp|Whatnot|Wiz,2022-01,2026-08,620.0,18400.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv. Spellings merged: LightSpeed / Lightspeed
a16z,a16z,,CALLABLE|EVIDENCE,,Series B; Series C,,,USD,2100.0,43000.0,"Joins rounds of $2100m to $43000m in Data, AI & Developer Tools. Generated from the rounds in our own set, not from a curated list.",,,,"Data, AI & Developer Tools(4); Enterprise Applications(1); Communications & Customer Engagement(1); Cybersecurity(1); Agent Ops(1); Personal Software / Productivity(1)","HR, payroll and global workforce(1); AI coding / cloud development(1); AI coding assistant / IDE(1); Voice AI / synthetic media(1)",Decagon,2026-01,https://decagon.ai/blog/series-d-announcement,Gamma,2025-11,https://www.businesswire.com/news/home/20251110805751/en/Gamma-Surpasses-$100M-ARR-Raises-at-$2.1B-Valuation-as-It-Replaces-PowerPoint-for-the-AI-Era,9,9,Anysphere / Cursor|Databricks|Decagon|Deel|ElevenLabs|Gamma|Replit|Wiz|dbt Labs,2022-02,2026-01,250.0,4500.0,2026-09-02,GENERATED from data/private-rounds.csv and data/private-rounds-consumer.csv
