# COMBINED LATEST ANNUAL COMPANY-REPORTED GMV AND TPV METRICS.
# Transcribed by Opus from Daniil's screenshots, 1-Sep-2026, in the same session they arrived.
# The source workbook lives in another sandbox and cannot be exported, so a screenshot is the only
# transfer available. EVERY ROW IS ARITHMETICALLY CHECKED: usd_musd must equal local_value x fx.
# tools/check_gmv_tpv_transcription.py runs that check and any row that fails is quarantined,
# not guessed at. sheet_row is kept so any row can be found again in the original.
sheet_row,company_name,exchange_ticker,disclosure_status,reported_metric,fiscal_period,local_value,local_ccy,fx_usd_per_local,usd_musd
27,BILL Holdings Inc.,NYSE:BILL,Reported,Total payment volume,FY2026 (year ended 2026-06-30),371300.0,USD,1.000000,371300.0
71,Intuit Inc.,NASDAQGS:INTU,Reported - floor,Total online payment,FY2026 (year ended 2026-07-31),225000.0,USD,1.000000,225000.0
79,Lightspeed Commerce Inc.,TSX:LSPD,Reported,Gross transaction,FY2026 (year ended 2026-03-31),98100.0,USD,1.000000,98100.0
111,Q2 Holdings Inc.,NYSE:QTWO,Reported - floor,Commercial banking,CY2025 (year ended 2025-12-31),4000000.0,USD,1.000000,4000000.0
120,Riskified Ltd.,NYSE:RSKD,Reported,Gross merchandise,FY2025 (year ended 2025-12-31),155102.0,USD,1.000000,155102.0
129,ServiceTitan Inc.,NASDAQGS:TTAN,Reported,Gross transaction value,FY2026 (year ended 2026-01-31),82100.0,USD,1.000000,82100.0
130,Shoper S.A.,WSE:SHO,Reported,Omnichannel GMV,CY2025 (year ended 2025-12-31),21000.0,PLN,0.266528,5597.1
131,Shopify Inc.,NASDAQGS:SHOP,Reported,Gross merchandise,FY2025 (year ended 2025-12-31),378400.0,USD,1.000000,378400.0
171,Wix.com Ltd.,NASDAQGS:WIX,Reported,Gross payment volume,FY2025 (year ended 2025-12-31),14300.0,USD,1.000000,14300.0
179,MercadoLibre Inc.,NASDAQGS:MELI,Disclosed,Gross merchandise,"FY2025, year ended 2025-12-31",65037.0,USD,1.000000,65037.0
180,Sea Limited,NYSE:SE,Disclosed,Gross merchandise,"FY2025, year ended 2025-12-31",127400.0,USD,1.000000,127400.0
182,eBay Inc.,NASDAQGS:EBAY,Disclosed,GMV,"FY2025, year ended 2025-12-31",79609.0,USD,1.000000,79609.0
183,"Etsy, Inc.",NYSE:ETSY,Disclosed,Gross merchandise,"FY2025, year ended 2025-12-31",11916.9,USD,1.000000,11916.9
184,Allegro.eu S.A.,WSE:ALE,Disclosed,GMV,FY2025,69163.1,PLN,0.266528,18433.9
185,Zalando SE,XTRA:ZAL,Disclosed,GMV,FY2025,17560.2,EUR,1.130000,19843.0
186,ASOS Plc,LSE:ASC,Disclosed - issuer-defined,GMV (issuer-defined),"FY2025, 52 weeks ended 2025-08-31",2456.3,GBP,1.302000,3198.1
187,Vipshop Holdings Limited,NYSE:VIPS,Disclosed,GMV,"FY2025, year ended 2025-12-31",213500.0,CNY,0.139197,29718.5
189,1stdibs.Com Inc.,NASDAQGM:DIBS,Disclosed,GMV,"FY2025, year ended 2025-12-31",363.9,USD,1.000000,363.9
