exchange_ticker	company_name	country	archetype	priority	what_is_needed
NASDAQGM:LFMD	LifeMD, Inc.	United States	Consumer Brand	1 - build this first	Paid subscribers or active members at the latest reported period. The issuer's own words for the metric, the exact period, and the filing URL.
NASDAQGM:RENT	Rent the Runway, Inc.	United States	Owned-Inventory Retail	1 - build this first	Paid subscribers or active members at the latest reported period. The issuer's own words for the metric, the exact period, and the filing URL.
NASDAQGM:TRUP	Trupanion, Inc.	United States	Insurance Technology	1 - build this first	Paid subscribers or active members at the latest reported period. The issuer's own words for the metric, the exact period, and the filing URL.
NASDAQGM:WW	WW International, Inc.	United States	Consumer Brand	1 - build this first	Paid subscribers or active members at the latest reported period. The issuer's own words for the metric, the exact period, and the filing URL.
NASDAQGS:FTDR	Frontdoor, Inc.	United States	Insurance Technology	1 - build this first	Paid subscribers or active members at the latest reported period. The issuer's own words for the metric, the exact period, and the filing URL.
NASDAQGS:PTON	Peloton Interactive, Inc.	United States	Consumer Brand	1 - build this first	Paid subscribers or active members at the latest reported period. The issuer's own words for the metric, the exact period, and the filing URL.
NYSE:ADT	ADT Inc.	United States	Consumer Brand	1 - build this first	Paid subscribers or active members at the latest reported period. The issuer's own words for the metric, the exact period, and the filing URL.
NYSE:ARLO	Arlo Technologies, Inc.	United States	Consumer Brand	1 - build this first	Paid subscribers or active members at the latest reported period. The issuer's own words for the metric, the exact period, and the filing URL.
NYSE:BARK	BARK, Inc.	United States	Consumer Brand	1 - build this first	Paid subscribers or active members at the latest reported period. The issuer's own words for the metric, the exact period, and the filing URL.
NYSE:HIMS	Hims & Hers Health, Inc.	United States	Consumer Brand	1 - build this first	Paid subscribers or active members at the latest reported period. The issuer's own words for the metric, the exact period, and the filing URL.
OM:VSURE	Verisure plc	United Kingdom	Consumer Brand	1 - build this first	Paid subscribers or active members at the latest reported period. The issuer's own words for the metric, the exact period, and the filing URL.
TSE:3182	Oisix Inc.	Japan	Owned-Inventory Retail	1 - build this first	Paid subscribers or active members at the latest reported period. The issuer's own words for the metric, the exact period, and the filing URL.
XTRA:HFG	HelloFresh SE	Germany	Owned-Inventory Retail	1 - build this first	Paid subscribers or active members at the latest reported period. The issuer's own words for the metric, the exact period, and the filing URL.
ASX:VVA	Viva Leisure Limited	Australia	Consumer Brand	2	Members or payers at the latest reported period, the issuer's own metric name, the period, and the filing URL.
ENXTAM:BFIT	Basic-Fit N.V.	Netherlands	Consumer Brand	2	Members or payers at the latest reported period, the issuer's own metric name, the period, and the filing URL.
LSE:GYM	The Gym Group plc	United Kingdom	Consumer Brand	2	Members or payers at the latest reported period, the issuer's own metric name, the period, and the filing URL.
NASDAQGS:BMBL	Bumble Inc.	United States	Dating & Social Network	2	Members or payers at the latest reported period, the issuer's own metric name, the period, and the filing URL.
NASDAQGS:MTCH	Match Group, Inc.	United States	Dating & Social Network	2	Members or payers at the latest reported period, the issuer's own metric name, the period, and the filing URL.
NSEI:MATRIMONY	Matrimony.com Limited	India	Dating & Social Network	2	Members or payers at the latest reported period, the issuer's own metric name, the period, and the filing URL.
NYSE:GRND	Grindr Inc.	United States	Dating & Social Network	2	Members or payers at the latest reported period, the issuer's own metric name, the period, and the filing URL.
NYSE:LTH	Life Time Group Holdings	United States	Consumer Brand	2	Members or payers at the latest reported period, the issuer's own metric name, the period, and the filing URL.
NYSE:PLNT	Planet Fitness, Inc.	United States	Consumer Brand	2	Members or payers at the latest reported period, the issuer's own metric name, the period, and the filing URL.
TSE:7085	CURVES HOLDINGS	Japan	Consumer Brand	2	Members or payers at the latest reported period, the issuer's own metric name, the period, and the filing URL.
ASX:ABB	Aussie Broadband Limited	Australia	Consumer Brand	3	Paid subscribers at the latest reported period, the issuer's own metric name, the period, and the filing URL.
ENXTPA:DEEZR	Deezer S.A.	France	Streaming & Digital Media	3	Paid subscribers at the latest reported period, the issuer's own metric name, the period, and the filing URL.
NASDAQCM:CURI	CuriosityStream Inc.	United States	Streaming & Digital Media	3	Paid subscribers at the latest reported period, the issuer's own metric name, the period, and the filing URL.
NASDAQGS:DUOL	Duolingo, Inc.	United States	Online Learning	3	Paid subscribers at the latest reported period, the issuer's own metric name, the period, and the filing URL.
NASDAQGS:LZ	LegalZoom.com, Inc.	United States	Vertical Software	3	Paid subscribers at the latest reported period, the issuer's own metric name, the period, and the filing URL.
NASDAQGS:NFLX	Netflix, Inc.	United States	Streaming & Digital Media	3	Paid subscribers at the latest reported period, the issuer's own metric name, the period, and the filing URL.
NYSE:CHGG	Chegg, Inc.	United States	Online Learning	3	Paid subscribers at the latest reported period, the issuer's own metric name, the period, and the filing URL.
NYSE:FUBO	FuboTV Inc.	United States	Streaming & Digital Media	3	Paid subscribers at the latest reported period, the issuer's own metric name, the period, and the filing URL.
