transaction_id,company_key,company_name,date,date_iso,round_type,capital_raised_musd,post_money_musd,valuation_status,revenue_metric,revenue_musd,revenue_status,ev_revenue_x,subsector_as_supplied,screening_category_as_supplied,lead_key_investors,round_source_url,revenue_source_url,notes,transaction_type,denominator_basis,bound,in_medians,verification,growth_band,growth_pct_at_round,growth_band_basis,target_was_listed,revenue_basis,volume_metric,volume_musd,volume_period,volume_basis,ev_volume_x,funding_model,paying_users_k,revenue_period,ev_revenue_low_x,ev_revenue_high_x,display_gate,fx_ccy,fx_rate,fx_date,valuation_basis,book_value_musd,book_value_date,ev_book_x,tangible_book_musd,ev_tangible_book_x,originations_musd,originations_period,net_loan_book_musd,ev_revenue_alt_x,revenue_alt_musd,revenue_basis_alt,revenue_basis_source,basis_risk_note,valuation_pre_or_post
slash-2026-04,slash,Slash,Apr-26,2026-04,Series C,100.0,1400.0,Disclosed,Annualized revenue (> threshold),250.0,Disclosed (company),5.6,Business banking and corporate cards for modern businesses,Card Issuing & BaaS,Ribbit Capital (led); Khosla Ventures; Goodwater Capital (co-led); NEA; Y Combinator,https://www.slash.com/blog/series-c-fundraise-release,https://www.slash.com/blog/series-c-fundraise-release,"Sourced and verified by Claude 05-Sep-2026 against the URL in this row (docs/prompts/work-order-claude-4sep.md). Slash's own release of 16-Apr-2026: 'Slash Financial, Inc., the banking platform built for modern businesses, is now valued at $1.4 billion following a $100m Series C funding round led by Ribbit Capital' and 'The company surpassed $250 million in annualized revenue in 2025'. 'Surpassed' makes the denominator a floor, so 5.6x is a CEILING. TechCrunch the same day (https://techcrunch.com/2026/04/16/slash-a-ramp-competitor-founded-by-teenagers-raises-100m-at-1-4b-valuation/): 'the company is generating $300 million in annualized revenue, profitably', which would give 4.7x; the company's own figure is used and the press figure noted. Pre/post not stated. Release also says 'grew from $10 million to $250 million in annualized revenue in 24 months' and 'more than $30 billion in annualized payment volume'. 'Annualized revenue' on a card and banking platform is interchange plus interest and is likely gross of rewards cost; basis INFERRED, not stated. No secondary component mentioned.",PRIMARY,DISCLOSED_THRESHOLD,<=,1,CLAUDE_PULL_05SEP,HYPER,400,DERIVED,,ARR_RUNRATE,PAYMENT_VOLUME,30000.0,Annualised at the round,PAYMENT_VOLUME,0.0467,,,RUN_RATE,,,,,,,REVENUE,,,,,,,,,,,,INFERRED,"Card/banking platform; annualized revenue likely gross of rewards and interchange pass-through. Growth 400% is DERIVED from $10m to $250m over 24 months, geometric.",UNSPECIFIED
bvnk-2024-12,bvnk,BVNK,Dec-24,2024-12,Series B,50.0,750.0,"Reported (Fortune, ""around"")",Annualized revenue,40.0,"Reported (Fortune, day of round)",18.75,Stablecoin payments infrastructure,Card Issuing & BaaS,Haun Ventures (led); Coinbase Ventures; Tiger Global,https://fortune.com/crypto/2024/12/17/exclusive-stablecoin-bvnk-750-million-series-b-bridge-stripe-haun,https://fortune.com/crypto/2024/12/17/exclusive-stablecoin-bvnk-750-million-series-b-bridge-stripe-haun,"Sourced and verified by Claude 05-Sep-2026 against the URL in this row (docs/prompts/work-order-claude-4sep.md). Fortune, 17-Dec-2024: 'raise a $50 million, all-equity Series B funding round' led by Haun Ventures; 'The round values BVNK at around $750 million'; 'BVNK has an annualized revenue of $40 million and processes $10 billion in annualized transaction volume'. Valuation is 'around', so Reported not Disclosed. Stablecoin rails with a card product, closer to a payments-rails comparable than an issuer. Later marks carry no revenue: Citi/Visa strategic investment 2025, and Mastercard's agreement to acquire for up to $1.8bn (Mar-2026, $300m contingent) with no revenue disclosed, so that CONTROL deal is not a row.",PRIMARY,REPORTED_CONTEMPORANEOUS,,1,CLAUDE_PULL_05SEP,,,,,ARR_RUNRATE,PAYMENT_VOLUME,10000.0,Annualised at the round,PAYMENT_VOLUME,0.075,,,RUN_RATE,,,,,,,REVENUE,,,,,,,,,,,,INFERRED,"Payments rails; annualized revenue is take on volume, basis not stated.",UNSPECIFIED
moss-2026-08,moss,Moss,Aug-26,2026-08,Series C,34.66,1155.4,Reported (> threshold),ARR (> threshold),80.88,Reported (> threshold),14.29,"Spend management: corporate cards, expenses, invoices",Card Issuing & BaaS,Portage (led); Cherry Ventures,https://www.eu-startups.com/2026/08/berlin-based-moss-hits-unicorn-status-after-closing-e30-million-series-c-to-expand-its-finance-ai-suite/,https://thenextweb.com/news/moss-berlin-unicorn-30m-series-c-finance-ai,"Sourced and verified by Claude 05-Sep-2026 against the URL in this row (docs/prompts/work-order-claude-4sep.md). HELD OUT OF MEDIANS, NEEDS A RULING: BOTH FIGURES ARE FLOORS. EU-Startups, 5-Aug-2026: 'closed its EUR30 million Series C funding round at a valuation north of EUR1 billion' and 'It is generating more than EUR70 million in ARR'; TNW, 6-Aug-2026: 'values the spend-management company at more than EUR1bn' and 'reports annual recurring revenue above EUR70m'. A floor over a floor has no direction, so 14.3x is the ratio of the two stated thresholds and not a bound. Converted at the ECB reference rate of 5-Aug-2026, 1.1554 USD/EUR; the multiple is currency-free. Spend-management comparable (Pleo, Spendesk are held), not an issuing API.",PRIMARY,DISCLOSED_THRESHOLD,,0,CLAUDE_PULL_05SEP,,,,,ARR,,,,,,,,RUN_RATE,,,,EUR,1.1554,2026-08-05,REVENUE,,,,,,,,,,,,STATED,Both valuation and ARR are stated as thresholds.,UNSPECIFIED
zuora-2024-10,zuora,Zuora,Oct-24,2024-10,Take-private (Silver Lake and GIC),,1700.0,"Disclosed (transaction value, equity)","Total revenue, LTM to 31-Jul-2024 (GAAP, filed)",445.8,Disclosed (SEC filings),3.81,Subscription billing and monetization suite,Commerce & Payments Software,Silver Lake; GIC,https://www.silverlake.com/zuora-enters-into-definitive-agreement-to-be-acquired-by-silver-lake-and-gic-for-1-7-billion/,https://www.sec.gov/Archives/edgar/data/1423774/000142377424000231/a20240731q2earningsrelease.htm,"Sourced and verified by Claude 05-Sep-2026 against the URL in this row (docs/prompts/work-order-claude-4sep.md). CONTROL, TARGET WAS LISTED (NYSE: ZUO). Joint release of 17-Oct-2024: 'Silver Lake and GIC will acquire all outstanding shares of Zuora common stock for $10.00 per share in cash' in 'a transaction valued at $1.7 billion', 'an 18% premium to the Company's unaffected closing stock price and a 20% enterprise value premium'. Closed 14-Feb-2025. The $1.7bn is the equity transaction value; EV was not stated. DENOMINATOR IS LTM BUILT FROM THREE FILED FIGURES, arithmetic shown: FY2024 total revenue $431.7m (8-K of 28-Feb-2024, https://www.sec.gov/Archives/edgar/data/1423774/000142377424000062/a20240131q4er991.htm: 'Total revenue was $431.7 million') plus six months to 31-Jul-2024 $225.2m less six months to 31-Jul-2023 $211.1m (8-K of 21-Aug-2024, the revenue URL: 'Total revenue was $115.4 million' for the quarter, six-month figures from the tables) = $445.8m. Growth 7% is the Q2 FY25 year-on-year rate stated in the same release. A control premium travels with this row (rulebook B6).",CONTROL,DISCLOSED_ACTUAL,,1,CLAUDE_PULL_05SEP,MATURE,7,DISCLOSED,1,NET_REVENUE,,,,,,,,LTM,,,,,,,REVENUE,,,,,,,,,,,,STATED,GAAP total revenue of a subscription software company; net by construction.,UNSPECIFIED
juspay-2026-01,juspay,Juspay,Jan-26,2026-01,Series D follow-on,50.0,1200.0,Reported,"Revenue from operations, FY2025 (filed)",58.79,"Reported (Entrackr, from filed accounts)",20.41,Payments orchestration infrastructure (HyperSwitch),Commerce & Payments Software,WestBridge Capital,https://entrackr.com/news/juspay-raises-50-mn-from-westbridge-capital-at-12-bn-valuation-11023645,https://entrackr.com/news/juspay-raises-50-mn-from-westbridge-capital-at-12-bn-valuation-11023645,"Sourced and verified by Claude 05-Sep-2026 against the URL in this row (docs/prompts/work-order-claude-4sep.md). Entrackr, 23-Jan-2026: 'Juspay has raised $50 million in a Series D follow-on round from WestBridge Capital'; 'The latest funding round pegged its valuation at $1.2 billion, compared to around $900 million in the previous round'; 'The primary capital will be used to support global expansion and product development, while the secondary portion will provide partial liquidity to early investors', so MIXED; 'For the fiscal year ended March 2025, Juspay reported operating revenue of Rs 540 crore and a profit of Rs 62.28 crore'. STALE DENOMINATOR: FY2025 closed ten months before pricing and is the latest filed figure the investor had (rulebook B1), so 20.4x is best read as a ceiling on a growing business; bound left empty because no later figure is stated. INR 5,400m at the ECB reference rate of 23-Jan-2026, 91.86 INR/USD = $58.8m. Indian payments revenue from operations is gross of processing costs.",MIXED,DISCLOSED_ACTUAL,,1,CLAUDE_PULL_05SEP,,,,,GROSS_REVENUE,,,,,,,,FY2025,,,,INR,0.010886,2026-01-23,REVENUE,,,,,,,,,,,,INFERRED,"Revenue from operations of an Indian PSP: gross of processing cost. FY ended 31-Mar-2025, ten months before the round.",UNSPECIFIED
cashfree-2025-02,cashfree,Cashfree Payments,Feb-25,2025-02,Series C,53.0,700.0,"Reported (TechCrunch, source familiar)","Revenue from operations, FY2024 (filed)",73.56,"Reported (Entrackr, from filed accounts)",9.52,Payment gateway and payouts PSP,Merchant Acquiring & PSP,KRAFTON (led); Apis Growth Fund II,https://techcrunch.com/2025/02/04/krafton-leads-cashfrees-53m-funding-at-700m-valuation/,https://entrackr.com/news/cashfree-payments-raises-53-mn-led-by-krafton-8690967,"Sourced and verified by Claude 05-Sep-2026 against the URL in this row (docs/prompts/work-order-claude-4sep.md). TechCrunch, 4-Feb-2025: 'has raised $53 million in a new round of funding' led by Krafton, valued 'at $700 million' according to a source familiar with the terms. Entrackr, 5-Feb-2025, in the round coverage: 'Cashfree's revenue from operations grew by 4.7% to Rs 642.7 crore from Rs 613.8 crore in FY23'. FY2024 (to 31-Mar-2024) is the latest filed year at pricing; FY2025 later came in flat at Rs 640 crore (Entrackr, Oct-2025, https://entrackr.com/fintrackr/cashfree-posts-rs-640-cr-revenue-in-fy25-losses-rise-14-10533753), so the denominator is not stale in practice. INR 6,427m at the ECB reference rate of 5-Feb-2025, 87.37 INR/USD = $73.6m. A 9.5x mark on a flat-revenue PSP; net loss Rs 135 crore. Processes 'more than $80 billion for its customers each year' (TechCrunch).",PRIMARY,DISCLOSED_ACTUAL,,1,CLAUDE_PULL_05SEP,MATURE,4.7,DISCLOSED,,GROSS_REVENUE,,,,,,,,FY2024,,,,INR,0.011446,2025-02-05,REVENUE,,,,,,,,,,,,INFERRED,Revenue from operations of an Indian PSP: gross of processing cost.,UNSPECIFIED
spinny-2025-03,spinny,Spinny,Mar-25,2025-03,Series F,131.0,1500.0,"Reported post-money (Entrackr, ""around"")","Revenue from operations, FY2025 (filed)",545.06,"Reported (Entrackr, from filed accounts)",2.75,"Full-stack used-car retail on owned inventory, home delivery",Owned-Inventory Retail,"Accel Leaders Fund (led); Elevation Capital; Tiger Global; Fundamentum; WestBridge Capital (extension, Jun-2025)",https://entrackr.com/news/spinny-raises-131-mn-led-by-accel-leaders-fund-8910456,https://entrackr.com/fintrackr/spinny-posts-rs-4657-cr-revenue-in-fy25-cuts-losses-by-28-10509574,"Sourced and verified by Claude 05-Sep-2026 against the URL in this row (docs/prompts/work-order-claude-4sep.md). Entrackr, 31-Mar-2025: 'Used car platform Spinny has raised $131 million led by US-based Accel Leaders Fund'; 'Spinny will be valued at around $1.5 billion post money'; 'Spinny is raising $110 million as primary funding, while the remaining $21 million will be secondary, which includes ESOP buybacks and exits for early backers', so MIXED. Entrackr, 28-Sep-2025: 'revenue from operations jumped 25% year-on-year to Rs 4,657 crore, up from Rs 3,730 crore in FY24'; net loss Rs 423 crore. FY2025 closes in the pricing month, so the denominator is at-pricing. The round grew to about $170m with WestBridge by Jun-2025 with no restated valuation ('In March this year, the company closed $170 million round'). Another outlet (thearcweb.com) put the valuation at $1.7bn to $1.8bn and flat; the anchored Entrackr figure is used and the range noted. INR 46,570m at the ECB reference rate of 31-Mar-2025, 85.44 INR/USD = $545.1m. Revenue is the full sale price of cars sold from owned stock: gross by size, NET in our sense because the retailer keeps the whole sale (rulebook B3).",MIXED,DISCLOSED_ACTUAL,,1,CLAUDE_PULL_05SEP,MATURE,25,DISCLOSED,,NET_REVENUE,,,,,,,,FY2025,,,,INR,0.011704,2025-03-31,REVENUE,,,,,,,,,,,,INFERRED,"First-party retailer: owns the car it sells, so revenue from operations is the sale price and is net of nobody. Filed, not audited by us.",POST
moove-2024-03,moove,Moove,Mar-24,2024-03,Series B,100.0,750.0,Reported post-money,ARR,115.0,"Reported (TechCrunch, day of round)",6.52,Owned vehicle fleet placed with ride-hail and delivery drivers on weekly drive-to-own payments,Owned-Inventory Retail,Uber (led); Mubadala Investment Company; The Latest Ventures; AfricInvest; Palm Drive Capital; Triatlum Advisors; Future Africa,https://techcrunch.com/2024/03/19/uber-leads-100m-investment-in-african-mobility-fintech-moove-as-valuation-hits-750m/,https://techcrunch.com/2024/03/19/uber-leads-100m-investment-in-african-mobility-fintech-moove-as-valuation-hits-750m/,"Sourced and verified by Claude 05-Sep-2026 against the URL in this row (docs/prompts/work-order-claude-4sep.md). TechCrunch, 19-Mar-2024: 'has raised $100 million in a funding round', 'pushing Moove's post-money valuation to $750 million', Uber led per sources close to the deal; 'Moove's annual recurring revenue also increased from $90 million to $115 million during this period' (since the Aug-2023 round at $550m); 'The four-year-old mobility fintech buys fleets of vehicles, which it then sells to drivers through the platform'. ENTITY AND MODEL: an owned fleet financed to gig drivers on weekly payments, not a consumer car subscription; it is the nearest owned-fleet, recurring-payment vehicle business with both figures disclosed. Growth 52% is DERIVED: $90m to $115m over seven months, annualised geometrically.",PRIMARY,REPORTED_CONTEMPORANEOUS,,1,CLAUDE_PULL_05SEP,MATURE,52,DERIVED,,ARR_RUNRATE,,,,,,,,RUN_RATE,,,,,,,REVENUE,,,,,,,,,,,,INFERRED,"ARR of a vehicle-financing fleet operator: recurring driver payments, likely including the financing element. Basis not stated.",POST
moove-2026-08,moove,Moove,Aug-26,2026-08,Series C,250.0,2100.0,Disclosed,ARR,420.0,"Disclosed (company, in the lead investor release)",5.0,"Owned vehicle fleet, 42,000 vehicles, drive-to-own and robotaxi fleet operations",Owned-Inventory Retail,Mubadala Investment Company (led); Woven Capital; Ion Pacific (co-led); Uber; BlackRock; Prosus Ventures,https://www.mubadala.com/en/news/moove-raises-250-million-at-2-1-billion-valuation-to-scale-the-global-infrastructure-layer-for-autonomous-mobility,https://www.mubadala.com/en/news/moove-raises-250-million-at-2-1-billion-valuation-to-scale-the-global-infrastructure-layer-for-autonomous-mobility,"Sourced and verified by Claude 05-Sep-2026 against the URL in this row (docs/prompts/work-order-claude-4sep.md). Mubadala release, 5-Aug-2026: 'Moove has raised $250 million at a $2.1 billion valuation in a Series C funding round', 'Led by Mubadala Investment Company and co-led by Woven Capital, Toyota's Growth Fund, and Ion Pacific'; 'has grown to $420 million ARR'; 'operates approximately 42,000 vehicles across 29 cities (13 countries)'; growth 'through strategic acquisitions, including the full acquisition of Kovi in Brazil and Tokyo Taxi in Japan'. ENTITY HAS BROADENED since the Series B: ARR includes Kovi (Brazilian car subscription for drivers) and Tokyo Taxi, and the company now sells itself as autonomous-fleet infrastructure. Pre/post not stated. Second round of the same company: the multi-round rule (A3) applies, 5.0x here against 6.5x in Mar-2024. Growth 71% is DERIVED from $115m (Mar-2024) to $420m over 29 months, annualised, and includes acquired revenue.",PRIMARY,DISCLOSED_ACTUAL,,1,CLAUDE_PULL_05SEP,MATURE,71,DERIVED,,ARR_RUNRATE,,,,,,,,RUN_RATE,,,,,,,REVENUE,,,,,,,,,,,,INFERRED,"ARR includes acquired Kovi and Tokyo Taxi; fleet operator, basis not stated.",UNSPECIFIED
e2open-2025-05,e2open,E2open,May-25,2025-05,Take-private (WiseTech Global),,2100.0,Disclosed (enterprise value),"Total GAAP revenue, FY2025 (to 28-Feb-2025)",607.7,Disclosed (company results release),3.46,Connected supply chain software network,Commerce Enablement & Fulfilment,WiseTech Global (acquirer),https://www.e2open.com/news/press-releases/e2open-announces-acquisition-by-wisetech-global-concluding-strategic-review,https://www.stocktitan.net/news/ETWO/e2open-announces-fiscal-2025-fourth-quarter-and-full-year-financial-exr0sr6982jy.html,"Sourced and verified by Claude 05-Sep-2026 against the URL in this row (docs/prompts/work-order-claude-4sep.md). CONTROL, TARGET WAS LISTED (NYSE: ETWO). E2open release, 25-May-2025: 'e2open stockholders will receive $3.30 per share in cash', 'equating to an enterprise value of $2.1 billion'; completed 3-Aug-2025. Results release of 29-Apr-2025 (read on the stocktitan mirror of the Business Wire text): 'Total GAAP revenue for fiscal 2025 was $607.7 million, a decrease of 4.2% from the prior fiscal year' and 'GAAP subscription revenue for fiscal 2025 was $528.0 million ... 87% of total revenue'. Fiscal year closed three months before the deal. Valuation is ENTERPRISE value, unlike the equity values on most rows, so this multiple is a true EV/revenue. A shrinking, mature planning network priced at 3.5x with a control premium: an archetype mark for supply-chain software, not an agentic-software comparable.",CONTROL,DISCLOSED_ACTUAL,,1,CLAUDE_PULL_05SEP,MATURE,-4.2,DISCLOSED,1,NET_REVENUE,,,,,,,,FY2025,,,,,,,REVENUE,,,,,,,,,,,,STATED,"GAAP total revenue, 87% subscription; net by construction. Valuation is EV.",UNSPECIFIED
