# READ LOG for the wave 3 user-count sweep. 3-Sep-2026. REFERENCE, not a dataset to ingest.
# This file exists because waves 1 and 2 did not have one. They recorded only the URLs that produced
# a finding, so a URL read that found nothing left no trace, and the sweep could not say what it had
# checked. D12: silence is never an outcome. One row per round, for all 224 rounds wave 3 covered.
# verdict FOUND means at least one countable figure, and the figures are in the wave 3 file.
# verdict NONE means the page was read and prints no countable figure about the company.
# verdict UNREACHABLE means no page about that round could be read, after the recovery pass.
# url_read is the page actually read, which for a recovered round is not the URL we had stored.
company,round,verdict,url_read
1Password,Jan-22,FOUND,https://www.prnewswire.com/news-releases/1password-closes-620m-at-6-8b-valuation-to-bring-human-centric-security-to-all-301463885.html
6sense,Jan-22,NONE,https://www.prnewswire.com/news-releases/6sense-announces-200-million-series-e-round-increasing-valuation-to-5-2-billion-301464832.html
AG1,Jan-22,NONE,https://techcrunch.com/2022/01/25/athletic-greens-valued-at-1-2b-nutrition-drink/
AG1 (Athletic Greens),Jan-22,NONE,https://techcrunch.com/2022/01/25/athletic-greens-valued-at-1-2b-nutrition-drink/
Airwallex,Dec-25,FOUND,https://www.airwallex.com/global/newsroom/awx-raises-usd330m-series-g-at-usd8b-valuation-establishes-sf-as-dual-global-hq
Airwallex,May-25,FOUND,https://www.airwallex.com/global/newsroom/airwallex-raises-usd300-million-at-a-usd6-2-billion-valuation-to-build-the-future-of-global-banking
Airwallex,Nov-21,FOUND,https://www.airwallex.com/global/newsroom/airwallex-raises-additional-usd100-million-in-series-e1-led-by-lone-pine
Airwallex,Oct-22,NONE,https://www.airwallex.com/newsroom/airwallex-sustains-ususd5-5-bn-valuation-with-ususd100-m-series-e-extension
Airwallex,Sep-21,FOUND,https://www.airwallex.com/newsroom/airwallex-raised-usd200-million-series-e-funding-round-led-by-lone-pine
Aledade,Jun-23,FOUND,https://aledade.com/newsroom/aledade-news/aledade-secures-series-f/
AlphaSense,Jun-24,FOUND,https://www.prnewswire.com/news-releases/alphasense-to-join-forces-with-tegus-increases-latest-valuation-to-4b-302169502.html
AlphaSense,Sep-23,FOUND,https://techcrunch.com/2023/09/28/alphasense-an-ai-based-market-intel-firm-snaps-up-150m-at-a-2-5b-valuation/
Ankorstore,Jan-22,FOUND,https://techcrunch.com/2022/01/09/ankorstore-reaches-2-billion-valuation-two-years-after-launching-its-wholesale-marketplace/
Anthropic,Jan-24,NONE,https://www.forbes.com/sites/alexkonrad/2024/01/11/anthropic-750million-funding-round-menlo-ventures/
Anthropic,Mar-25,NONE,https://www.anthropic.com/news/anthropic-raises-series-e-at-usd61-5b-post-money-valuation
Anthropic,May-23,NONE,https://www.anthropic.com/news/anthropic-series-c
Anthropic,May-26,NONE,https://www.anthropic.com/news/series-h
Anysphere / Cursor,Jun-25,NONE,https://www.cursor.com/blog/series-c
Apollo.io,Aug-23,FOUND,https://www.apollo.io/magazine/apolloio-secures-100-million-series-d-at-16b-valuation-to-drive-world-class-gtm
Atom Bank,Feb-22,NONE,https://www.uktech.news/fintech/atom-bank-ipo-funding-20220216
Away,May-19,FOUND,https://prnewswire.com/news-releases/away-is-valued-at-1-4-billion-after-a-series-d-investment-of-100-million-300850285.html
Back Market,Jan-22,FOUND,https://backmarket.reportablenews.com/pr/back-market-the-renewed-electronics-marketplace-raises-510-million-and-is-now-valued-at-5-7-billion
Better.com,May-21,FOUND,https://www.businesswire.com/news/home/20210511005602/en/
Blockchain.com,Mar-22,FOUND,https://www.theblock.co/linked/140070/blockchain-com-raises-series-d-at-a-14-billion-valuation
Blockworks,May-23,NONE,https://blockworks.com/news/blockworks-raises-12m/
Brex,Jan-22,FOUND,https://techcrunch.com/2022/01/11/brex-confirms-12-3b-valuation-hires-meta-exec-to-serve-as-its-chief-product-officer/
Brex,Oct-21,NONE,https://techcrunch.com/2021/10/21/brex-raises-300m-at-a-12-3b-valuation/
Bright Data (Luminati),Aug-17,FOUND,https://www.emkcapital.com/news/emk-acquires-luminati-the-worlds-largest-ip-proxy-network-which-brings-transparency-to-the-internet
Calm,Dec-20,FOUND,https://www.globenewswire.com/news-release/2020/12/08/2141185/0/en/Calm-Hits-2-Billion-Valuation-Expands-into-Wellness-at-Work.html
Calm,Jul-19,FOUND,https://techcrunch.com/2019/07/01/calm-sleep-stories/
Canva,Apr-24,FOUND,https://www.forbes.com/sites/alexkonrad/2024/05/23/canva-new-tools-cozy-up-corporations/
Carta,Aug-21,NONE,https://henrysward.medium.com/carta-series-g-3a3702f69b11
Celonis,Aug-22,FOUND,https://www.prnewswire.com/news-releases/celonis-secures-1-billion-to-help-customers-fight-economic-and-supply-chain-challenges-with-process-improvements-301610454.html
Chainalysis,Jun-21,NONE,https://www.chainalysis.com/blog/series-e-announcement/
Checkout.com,Dec-23,UNREACHABLE,
Chime,Apr-24,FOUND,https://www.forbes.com/sites/jeffkauflin/2024/05/03/exclusive-the-inside-story-of-chime-americas-biggest-digital-bank/
Chime,Aug-21,NONE,https://www.cnbc.com/2021/08/13/chime-earns-big-valuation-jump-in-latest-financing-nears-ipo.html
Cityblock Health,Sep-21,NONE,https://www.statnews.com/2021/09/03/cityblock-health-series-d-valuation/
Clearco,Apr-21,FOUND,https://www.prnewswire.com/news-releases/clearbanc-rebrands-to-clearco-announces-us100m-series-c-funding-301271758.html
Clearco,Jul-21,FOUND,https://techcrunch.com/2021/07/08/clearco-gets-the-softbank-stamp-of-approval-in-new-215m-round
Coalition,Jul-22,FOUND,https://www.coalitioninc.com/announcements/coalition-closes-250-million-in-series-f-funding
Cohere,Jun-23,FOUND,https://techcrunch.com/2023/06/08/ai-startup-cohere-now-valued-at-over-2-1b-raises-270m/
CommerceIQ,Mar-22,FOUND,https://techcrunch.com/2022/03/21/commerceiq-e-commerce-infrastructure/
Contentsquare,Jul-22,FOUND,https://contentsquare.com/press/600m-growth-investment/
Creditas,Dec-20,FOUND,https://www.creditas.com/ir/non-regulatory/creditas-announces-ususd255-million-series-e/
Creditas,Dec-25,NONE,https://www.creditas.com/ir/regulatory/creditas-concludes-acquisition-of-bank-andbank-brasil-and-finalizes-initial/
Creditas,Jan-22,FOUND,https://ir.creditas.com/ir/press-releases/creditas-announces-usd260-million-series-f-fundraising-round/
Creditas,Jul-22,FOUND,https://www.creditas.com/ir/non-regulatory/andbank-and-creditas-sign-strategic-partnership-in-brazil/
Cyera,Apr-24,NONE,https://www.cyera.com/press-releases/data-security-leader-cyera-raises-300-million-at-1-4-billion-valuation
Databricks,Sep-23,FOUND,https://www.axios.com/2023/09/14/databricks-43-billion-ai-nvidia
DeHaat,Oct-22,NONE,https://inc42.com/buzz/agritech-startup-dehaat-raises-46-mn-in-funding-round-led-by-sofina-ventures/
Decagon,Jan-26,FOUND,https://decagon.ai/blog/series-d-announcement
Deel,May-22,FOUND,https://techcrunch.com/2022/05/11/fueled-by-the-remote-work-revolution-deel-more-than-doubles-valuation-to-12b-with-new-raise/
Delhivery,May-21,FOUND,https://entrackr.com/2021/05/exclusive-ipo-bound-delhivery-raises-277-mn-led-by-fidelity/
Discord,Sep-21,NONE,https://www.investing.com/news/stock-market-news/chat-app-discord-raises-500-million-in-new-funding-2617713
Docker,Mar-22,FOUND,https://www.globenewswire.com/news-release/2022/03/31/2414082/0/en/Docker-Raises-105-Million-to-Accelerate-Investments-in-Developer-Productivity-Trusted-Content-and-Ecosystem-Partnerships.html
Doctolib,Mar-22,FOUND,https://techcrunch.com/2022/03/15/healthcare-tech-platform-doctolib-reaches-6-4-billion-valuation/
Dream Sports,Nov-21,FOUND,https://inc42.com/buzz/dream-sports-raises-840-mn-at-a-valuation-of-8-bn/
ElevenLabs,Jan-25,FOUND,https://elevenlabs.io/blog/series-c
Epic Games,Apr-21,NONE,https://www.epicgames.com/site/news/announcing-a-1-billion-funding-round-to-support-epics-long-term-vision-for-the-metaverse
Epic Games,Apr-22,NONE,https://www.epicgames.com/site/news/sony-and-kirkbi-invest-in-epic-games-to-build-the-future-of-digital-entertainment?lang=en-US
