# PRIVATE ROUNDS WITH FULL SOURCE URLs. Supplied by Daniil 31-Aug-2026 as screenshots of three
# workbook tabs, transcribed the same session before anything was built on it.
#
# TABS: "Strict Private Financing Valuation Comparables" (the blue sheet, full evidence detail),
# "Private Fintech Financing Transactions" (as of 23-Aug-2026) and "Private E-commerce and D2C
# Transactions" (as of 24-Aug-2026).
#
# quality_classification IS DANIIL'S OWN COLUMN and it is the ruling on how a row may be used.
# CORE means it may price. SUPPLEMENTAL means it is context and must stay out of any median.
#
# comparator carries the inequality EXACTLY as the workbook states it. A bound is information:
# "<" means the denominator was a floor so the multiple is a ceiling. Never strip it.
company,transaction_date,round_type,capital_raised_musd,valuation_musd,valuation_ccy,valuation_basis,implied_post_musd,metric_type,exact_metric_wording,metric_value,metric_ccy,exact_period,basis_classification,publication_timing,numeric_multiple,comparator,displayed_multiple,quality_classification,methodology,investors,round_source_url,metric_source_url,round_publisher_date,metric_publisher_date,additional_url
Creditas,2025-12-01,Series G initial close,108.0,3300.0,USD,POST money,,Revenue (annualized),"R$592.1m quarterly revenue; R$2,368.4m analyst-annualized",592.100,BRL,"Q3 2025, quarter ended 30-Sep-2025","Company revenue; gross/net not stated; analyst annualization x4","Q3 results released on financing close date; closed quarter",7.4098,~,~7.41x,SUPPLEMENTAL,"Announcement date used; legal close not independently established. Derived annualized revenue = R$592.1m x 4 / 5.318 = ~US$445.4m; not disclosed LTM revenue. Multiple = US$3,300m / ~US$445.4m.",Andbank (lead),https://www.creditas.com/ir/regulatory/creditas-concludes-acquisition-of-bank-andbank-brasil-and-finalizes-initial/,https://www.creditas.com/ir/financial-reports/creditas-financial-results-q3-2025/,Creditas / 1-Dec-2025,Creditas / 28-Nov-2025; FX Banco Central do Brasil PTAX / 30-Sep-2025,https://ptax.bcb.gov.br/ptax_internet/consultaBoletim.do
Creditas,2022-07-08,Series F extension,50.0,4800.0,USD,"Unconfirmed; unchanged reported valuation",,Revenue (annualized),"R$846.1m H1 revenue; company release translated to approximately US$152m; analyst-annualized to ~US$304m",846.100,BRL,"H1 2022, six months ended 30-Jun-2022","Company revenue; gross/net not stated; analyst annualization x2","Published 88 days after round; period closed before pricing",15.7895,~,~15.79x,SUPPLEMENTAL,"US$4.8bn valuation described as unchanged; do not assert post-money. Multiple = US$4,800m / (~US$152m x 2). US$310m cumulative Series F.",Andbank (lead); other investors undisclosed,https://www.creditas.com/ir/non-regulatory/andbank-and-creditas-sign-strategic-partnership-in-brazil/,https://www.creditas.com/ir/financial-reports/creditas-financial-results-h1-2022-full/,Creditas / 8-Jul-2022; Bloomberg Linea / 8-Jul-2022,Creditas / 4-Oct-2022,https://www.bloomberglinea.com.br/2022/07/08/creditas-capta-us-50-mi-mantem-valuation-e-compra-banco-no-brasil/
Loadsmart,2022-02-01,Series D,200.0,1300.0,USD,"Reported valuation; PRE/POST unconfirmed",,Gross revenue,"Gross revenues are north of $250 million, projecting to double in the next 12 months.",250.000,USD,FY2021,"Gross revenue floor; freight pass-through included; not net revenue or GMV","Disclosed at pricing; FY2021 closed",5.2000,<,<5.20x,CORE,"Use only closed FY2021 floor; projected doubling excluded. Multiple ceiling = US$1,300m / >US$250m.",SoftBank Latin America Fund (lead); BlackRock; CSX; Janus Henderson,https://blog.loadsmart.com/2022/02/01/loadsmart-raises-200-million-in-series-d-financing-reaching-1-3-billion-valuation,https://venturebeat.com/transportation/supply-chain-startup-loadsmart-raises-200m-to-automate-logistics-processes,Loadsmart / 1-Feb-2022,VentureBeat / 1-Feb-2022,
Creditas,2022-01-25,Series F,260.0,4800.0,USD,POST money,,Annualized revenue,"approximately US$200 million in annualized revenue for 2021",200.000,USD,2021 annualized revenue,"Revenue run-rate / estimate; not audited FY revenue",Disclosed at pricing,24.0000,~,~24.0x,CORE,"Explicitly estimated annualized denominator, not audited FY2021 revenue. Multiple = US$4,800m / ~US$200m.",Fidelity Management & Research (lead); Actyus; Greentrail; QED; VEF; SoftBank; Kaszek; Lightrock; Headline; Wellington; Sunley House,https://www.creditas.com/ir/non-regulatory/creditas-announces-usd-260-million-series-f-fundraising-round/,https://www.creditas.com/ir/non-regulatory/creditas-announces-usd-260-million-series-f-fundraising-round/,Creditas / 25-Jan-2022,Creditas / 25-Jan-2022,
Jobandtalent,2021-12-01,Series E,500.0,2350.0,USD,POST money,,Annual revenue run-rate,"annual revenue run rate was more than EUR1 billion",1000.000,EUR,Run-rate at Dec-2021 announcement,"Revenue; accounting basis unknown; staffing model likely pass-through-heavy",Disclosed at pricing,2.0796,<,<2.08x,CORE,"CB Insights translated >EUR1.0bn as >US$1.13bn. Multiple uses US$2,350m / >US$1,130m. Threshold makes multiple a ceiling. Do not relabel as GMV. Separate US$75m debt facility.",Kinnevik (lead); SoftBank Vision Fund 2; Atomico; DN Capital; InfraVia; Kibo Ventures; Quadrille Capital,https://www.kinnevik.com/investor-relations/press-releases/2021/kinnevik-invests-usd-115-million-in-jobandtalent-the-worlds-,https://techcrunch.com/2021/12/01/jobandtalent-series-e/,Kinnevik / 1-Dec-2021,TechCrunch / 1-Dec-2021; CB Insights / Dec-2021,https://www.cbinsights.com/research/jobandtalent-series-e-funding/
Fundbox,2021-11-30,Series D,100.0,1100.0,USD,POST money,,Annual revenue run-rate,"Had crossed $100 million annual revenue run rate earlier in 2021 and was well and truly beyond US$100m at announcement",100.000,USD,Annual revenue run-rate as of 2021,"Revenue run-rate floor; gross/net not stated",Disclosed at pricing,11.0000,<,<11.0x,CORE,"Floor denominator makes multiple a ceiling. Later May-2022 US$160m run-rate and cumulative transaction volume excluded.",HOOPP (lead); Allianz X; Khosla Ventures; The Private Shares Fund; Arbor Waypoint Select Fund; BNY Mellon / Newton IM funds,https://www.globenewswire.com/news-release/2021/11/30/2343283/0/en/Fundbox-Closes-100M-Series-D-Fueled-by-Record-Growth.html,https://techcrunch.com/2021/11/30/fundbox-raises-100m/,Fundbox / GlobeNewswire / 30-Nov-2021,TechCrunch / 30-Nov-2021,
Zopa,2021-10-19,Pre-IPO growth equity funded in tranches,300.0,750.0,GBP,"POST money; approximately GBP750m / US$1.0bn",,Statutory aggregate revenue,"Revenue (being the aggregate value of Interest Income, Fee and Commission Income and Other Income)",29.809,GBP,"FY2020, year ended 31-Dec-2020","Company statutory aggregate revenue; not net interest income or lending volume","Annual report filed 2-Oct-2021, before pricing",25.1602,~,~25.16x,CORE,"Multiple = approximately GBP750m / GBP29.809m. FY2021 had not closed. GBP160m funded in 2021; remaining GBP60m in Feb-2022. Raise was GBP220m / approximately US$300m.",SoftBank Vision Fund 2 (lead); Chimera Capital; IAG Silverstripe; Davidson Kempner; Northzone; Augmentum Fintech,https://www.zopa.com/blog/article/zopa-raises-gbp-220-million-to-build-the-uk-s-best-bank-for-borrowing-and-savings,https://www.datocms-assets.com/23873/1658822618-zopa-group-limited-annual-report-and-financial-statements-2020.pdf,Zopa / 19-Oct-2021; TechCrunch / 18-Oct-2021,Zopa Group Annual Report 2020 / filed 2-Oct-2021,https://techcrunch.com/2021/10/18/zopa-raises-300m-at-a-1b-valuation-to-expand-its-p2p-lending-and-savings-neobank-in-the-uk/
Gorillas,2021-10-19,Series C,1000.0,2100.0,USD,PRE money disclosed,3100.0,Annualized revenue run-rate,">$300M revenue run-rate / more than $300m annualized revenue run-rate",300.000,USD,Run-rate at Oct-2021 announcement,"First-party merchant sales revenue; not GMV; net basis not disclosed",Disclosed at pricing,7.0000,<,"<7.0x pre-money; <~10.3x derived post-money",CORE,"US$2.1bn is PRE money. Derived post is approximate because round was only nearly US$1bn (approximately US$860m). Pre multiple = 2,100 / >300; derived post multiple = ~3,100 / >300 = <~10.3x.",Delivery Hero (lead); Coatue; DST Global; Tencent; Atlantic Food Labs; Fifth Wall; Greenoaks; A*; G Squared; Alanda Capital; Macquarie Capital; MSA,https://www.deliveryhero.com/newsroom/delivery-hero-invests-in-gorillas/,https://www.deliveryhero.com/newsroom/delivery-hero-invests-in-gorillas/,Delivery Hero / 19-Oct-2021; TechCrunch / 19-Oct-2021,Delivery Hero / 19-Oct-2021,https://techcrunch.com/2021/10/19/gorillas-grabs-close-to-1bn-series-c-values-the-on-demand-grocery-delivery-biz-at-2-1bn/
dLocal,2021-04-02,Growth investment / pre-IPO round,150.0,5000.0,USD,"Reported valuation; PRE/POST unconfirmed",,Revenue,"US$104.143m revenue",104.143,USD,"FY2020, year ended 31-Dec-2020","Company-reported GAAP revenue; not TPV","F-1 filed 33 days after round; period closed before pricing",48.0109,=,48.01x,CORE,"FY2020 closed before pricing; F-1 was within accepted window. Multiple = US$5,000m / US$104.143m.",Alkeon Capital (lead); D1 Capital Partners; Tiger Global,https://dlocal.gcs-web.com/node/6351/pdf,https://dlocal.gcs-web.com/static-files/79d4e12d-3783-41ad-9202-d178038ec0ca,dLocal / 2-Apr-2021; TechCrunch / 2-Apr-2021,dLocal Form F-1 / filed 5-May-2021,
dLocal,2021-04-02,Growth investment / pre-IPO round,150.0,5000.0,USD,"Reported valuation; PRE/POST unconfirmed",,TPV,"US$2,064.789m total payment volume",2064.789,USD,"FY2020, year ended 31-Dec-2020","TPV, not revenue: aggregate value of payments successfully processed","F-1 filed 33 days after round; period closed before pricing",2.4216,=,2.42x valuation / TPV,SUPPLEMENTAL,"Operating-volume multiple only; never combine with or label as revenue. Multiple = US$5,000m / US$2,064.789m.",Alkeon Capital (lead); D1 Capital Partners; Tiger Global,https://dlocal.gcs-web.com/node/6351/pdf,https://dlocal.gcs-web.com/static-files/79d4e12d-3783-41ad-9202-d178038ec0ca,dLocal / 2-Apr-2021; TechCrunch / 2-Apr-2021,dLocal Form F-1 / filed 5-May-2021,
