# PRICED PRIVATE FUNDING ROUNDS - SECTOR SCREEN. Daniil's data dump for area 3 of
# docs/data-pull-prompts-2sep.md (the verticals a founder cannot be priced in at all).
# Transcribed 02-Sep-2026 from four photographs of the workbook, archived alongside as
# data/raw/2026-09-02_sector-screen-p01..p04.jpg.
#
# THE SHEET'S OWN HEADER, quoted: "Priced Private Funding Rounds - Sector Screen /
# 51 qualifying rounds | 1 Jan 2021-2 Sep 2026 | original template columns preserved /
# Included only where both a public post-money valuation and a contemporaneous revenue-type
# figure were identified; estimates are explicitly labelled."
#
# COLUMNS. Every column the sheet has is carried, per durability rule 11, including the three
# that are empty in the source (pre-money, the whole transaction-value block, implied multiple).
# Source columns A to AB are sheet_row + the 27 fields up to revenue_metric_source_url.
# The last four fields are OURS, not his, and are marked so: sector_block_inferred,
# url_confidence, transcription_note.
#
# WHAT IS EMPTY IN THE SOURCE, on all 51 rows: pre-money valuation; transaction value,
# transaction value currency, transaction value basis; IMPLIED MULTIPLE. The multiples column
# is blank in the sheet despite the tab being named "with Multiples". We compute them.
sheet_row,company_name,transaction_date,round_type,transaction_class,amount_raised_m,amount_currency,amount_raised_reported,premoney_valuation_m,postmoney_valuation_m,valuation_reference_m,valuation_currency,valuation_basis,transaction_value_m,transaction_value_currency,transaction_value_basis,metric_type,metric_value_m,metric_currency,metric_qualifier,metric_period_basis,multiple_denominator_m,denominator_currency,denominator_basis,implied_multiple,lead_investors,valuation_source_url,revenue_metric_source_url,sector_block_inferred,url_confidence,transcription_note
6,Ninjacart,13-Dec-2021,Strategic equity round,Funding / priced private round,145.0,USD,US$145m,,700.0,700.0,USD,Reported post-money,,,,REVENUE,7476.0,INR,,FY ended 31-Mar-2021,7476.0,INR,FY ended 31-Mar-2021,,Walmart and Flipkart,https://www.cbinsights.com/company/ninjacart/financials,https://inc42.com/buzz/ninjacart-fy21-loss-nearly-doubles-to-inr-1021-cr-expenses-up-71-percent-despite-cost-cutting-measures/,Agri supply chain,MED,"Valuation source is a CB Insights company page, an estimator-tier source under our own rule"
7,Vegrow,13-Dec-2023,Series C,Funding / priced private round,46.0,USD,US$46m,,290.0,290.0,USD,Reported post-money,,,,REVENUE,3610.0,INR,,FY ended 31-Mar-2023,3610.0,INR,FY ended 31-Mar-2023,,GIC,https://economictimes.indiatimes.com/tech/funding/agritech-startup-vegrow-raises-46-million-in-funding-led-by-gic/articleshow/105951896.cms,https://gokulnk.com/notes/vegrow/,Agri supply chain,MED,"Revenue source is a personal notes blog, not a filing or a publication"
8,ElasticRun,17-Feb-2022,Series E,Funding / priced private round,330.0,USD,US$330m,,1500.0,1500.0,USD,Reported post-money,,,,REVENUE,10870.0,INR,,FY ended 31-Mar-2021,10870.0,INR,FY ended 31-Mar-2021,,SoftBank Vision Fund 2 and Goldman Sachs Asset Management,https://www.business-standard.com/article/companies/b2b-e-commerce-startup-elasticrun-raises-330-mn-at-1-5-bn-valuation-122021700710_1.html,https://www.business-standard.com/article/companies/b2b-e-commerce-startup-elasticrun-raises-330-mn-at-1-5-bn-valuation-122021700710_1.html,Agri supply chain,HIGH,"Feb-2022 round priced on FY ended Mar-2021 revenue, eleven months stale"
9,DeHaat,21-Oct-2022,Series E first tranche,Funding / priced private round,46.0,USD,US$46m (Rs 366.6 crore),,695.0,695.0,USD,Reported post-money,,,,REVENUE,12740.0,INR,,FY ended 31-Mar-2022,12740.0,INR,FY ended 31-Mar-2022,,Sofina Ventures,https://www.moneycontrol.com/news/business/startup/agritech-startup-dehaat-raises-46-mn-led-by-sofina-ventures-at-695-mn-valuation-9370681.html,https://economictimes.indiatimes.com/tech/startups/agritechs-trim-teams-rework-business-models-in-funding-winter/articleshow/97012050.cms,Agri supply chain,MED,
10,eFishery,7-Jul-2023,Series D,Funding / priced private round,200.0,USD,US$200m,,1400.0,1400.0,USD,Reported post-money,,,,RUN_RATE,263.0,USD,Estimate / approx.,2022 annualised run-rate disclosed at the round,263.0,USD,2022 annualised run-rate disclosed at the round,,42XFund,https://techcrunch.com/2023/07/07/efisher-series-d/,https://techcrunch.com/2023/07/07/efisher-series-d/,Agri supply chain,LOW,"URL slug reads ""efisher"", likely ""efishery""; needs a text copy. eFishery figures were later found to be fabricated by management - this row must not be used"
11,WayCool Foods,Jun-2022,Internal equity and debt round,Funding / priced private round,40.0,USD,"~US$40m (US$25m equity, balance debt)",,700.0,700.0,USD,Reported post-money,,,,REVENUE,9306.0,INR,,FY ended 31-Mar-2022,9306.0,INR,FY ended 31-Mar-2022,,Lightrock and existing investors,https://www.livemint.com/companies/news/waycool-asks-for-more-time-to-repay-debt-as-it-looks-to-turn-a-profit-11712665644455.html,https://inc42.com/buzz/waycools-net-loss-widens-142-percent-to-inr-360-5-cr-in-fy22-operative-revenue-up-2-4x/,Agri supply chain,MED,"Valuation cited from an Apr-2024 debt-restructuring article, two years after the round"
12,Octopus Energy Group,10-Dec-2021,Strategic equity investment,Funding / priced private round,300.0,USD,US$300m initial investment,,5000.0,5000.0,USD,Reported post-money,,,,REVENUE,2008.8,GBP,,FY ended 30-Apr-2021,2008.8,GBP,FY ended 30-Apr-2021,,CPP Investments,https://octopus.energy/press/octopus-energy-group-and-cpp-investments-announce-strategic-partnership/,https://octopus.energy/press/octopus-energy-group-announces-results-for-fy2021/,Energy retail,HIGH,
13,Octopus Energy Group,18-Dec-2023,Existing-investor equity round,Funding / priced private round,800.0,USD,US$800m (GBP 625m),,7800.0,7800.0,USD,Reported post-money,,,,REVENUE,12540.0,GBP,,FY ended 30-Apr-2023,12540.0,GBP,FY ended 30-Apr-2023,,"Origin Energy, Tokyo Gas, CPP Investments and Generation Investment Management",https://octopus.energy/press/800-million-dollar-investment-to-accelerate-Octopus-Energy-global-clean-energy-growth/,https://octopus.energy/documents/3860/A0659_Octopus_Energy_Group_Limited_AR_2023_prf16_ForPublication.pdf,Energy retail,HIGH,
14,Fuse Energy,18-Dec-2025,Series B,Funding / priced private round,70.0,USD,US$70m,,5000.0,5000.0,USD,Reported post-money,,,,ARR,300.0,USD,Estimate / approx.,Current ARR at announcement,300.0,USD,Current ARR at announcement,,Balderton Capital and Lowercarbon Capital,https://www.goodwinlaw.com/en/news-and-events/news/2025/12/announcements-technology-goodwin-advises-lowercarbon-in-fuse-energys,https://sifted.eu/articles/fuse-energy-70m-balderton-lowercarbon-capital,Energy retail,LOW,"A US$70m Series B carrying a US$5,000m post-money. Neither source is a valuation announcement: one is a law-firm mandate note, the other a raise story. Do not load until the valuation is confirmed"
15,Octopus Energy Group,26-Jul-2022,Existing-investor fundraise,Funding / priced private round,550.0,USD,US$550m total (US$325m closed plus US$225m commitment),,5000.0,5000.0,USD,Reported post-money,,,,REVENUE,4224.6,GBP,,FY ended 30-Apr-2022,4224.6,GBP,FY ended 30-Apr-2022,,Existing shareholders; CPP Investments provided the additional commitment,https://octopus.energy/press/octopus-energy-group-completes-fundraise-with-existing-investors-totalling-us550m/,https://octoenergy-production-media.s3.amazonaws.com/documents/Octopus_Energy_Group_Limited_Financial_Results_2022.pdf,Energy retail,HIGH,
