# USER-COUNT SWEEP, WAVE 3. 3-Sep-2026. The rest of the 290 private rounds.
# Daniil: "check thoroughly the existing database of 290 private rounds, checking for each if the
# number of users / subscribers / members was quoted at the announcement and calculating the
# respective EV / subscribers multiple for each row where available."
#
# WHAT THIS WAVE COVERED, AND WHY IT IS 224 AND NOT 58. Waves 1 and 2 recorded only the URLs that
# produced a finding, never which URLs were read, so the claim that 159 of 217 had been read could
# not be reproduced from any file in the repo and the 58 said to remain could not be named. Under
# D12, a set that cannot name what fell out of it is not a set you may act on, so wave 3 re-read
# every one of the 224 rounds carrying no finding. Where waves 1 and 2 had already read a page and
# found nothing, this wave read it again and recorded that nothing is there, which is the point.
# The companion file 2026-09-03_user-counts-sweep-wave3-readlog.csv carries a verdict for all 224.
#
# ALSO CORRECTED: the targets file was described as having 241 URLs with 49 rounds carrying none.
# All 290 carry one. The 49 are the same kind of link with the scheme missing, so they were read
# with https:// prepended rather than sourced again. The targets file itself was not edited.
#
# METHOD. Eight agents read 223 distinct URLs, each told to report only what appears on the page it
# fetched, to quote verbatim, to report every countable figure and not just the first, to take only
# the subject company's own counts, and to prefer the company's own release over trade coverage.
# 62 URLs came back dead. Daniil, 3-Sep: "Announcement URL could not be read - check it
# independently then." Three further agents re-read those 62 against a working page for the SAME
# round, found through the company's own release at its new path, a syndicated copy, or trade
# coverage of that round. 60 of the 62 were recovered. The url column of the read log records the
# page actually read, never the dead one.
#
# THE KIND IS THE WHOLE POINT, per Daniil's correction of the same day: "they do not necessarily
# NEED to be paying, but if they are, we need to make the respective note of it." The count is kept
# whatever it counts, metric_kind records WHICH THING was counted, and a range may only ever be
# built inside one kind. is_paying records whether the payer is the counted party.
#
# SIXTEEN FIGURES WERE RE-KINDED TO OTHER so they stay on the record but can never become a
# denominator. Each is a real verbatim quote that is not the round's customer count:
#   penetration statistics   Klarna "30 of the top 100 US retailers", Klarna "24 of the top 100"
#   threshold subsets        Klaviyo 1,458 above $50k ARR, Ramp 2,200 above $100k,
#                            Databricks 300 above $1m run-rate
#   a prior round's figure   Gorgias 4,500 stores, stated on the page as the Series B number
#   flows, not stocks        Pipe 1,000 signups since March, Deel 1,800 as the April 2021 endpoint
#   named sub-segments       Canva 600,000 nonprofits and 60m students and teachers,
#                            Monzo 400,000 business clients against 9m retail customers,
#                            Octopus 25,000 business-division customers against 2.5m customers,
#                            MoonPay 250 wallets and apps powered against 7m customers
#   stale about-boilerplate  Miro 25m users and 100,000 client orgs, both contradicted by the body
#                            of the same release, which says 30m and 130,000
#   contradicted on the page Contentsquare "over one million customers" against the 1,000 enterprise
#                            customers stated in the same release
# Without these the loader's rank would have priced Canva per nonprofit, Monzo per business client
# and Octopus per business-division account, none of which is what those companies sell.
#
# Where one page gives two counts of ONE kind, the base figure is written first and the loader takes
# the first at the best rank. Octopus Sep-21 keeps 2.5m at 24 September, not the 3.1m it reached the
# day after by taking on Avro's book. Klarna keeps the global merchant and user counts, not the US
# ones. Faire keeps the 300,000 retailers of its own release over the looser 350,000.
#
# Two rounds could not be reached even after the recovery pass, and both look mis-dated at source
# rather than merely unlinked: Checkout.com Dec-23 (no Checkout.com round exists in December 2023;
# the $11bn internal cut was Dec 2022 and the $12bn buyback Sept 2025) and Revolut Nov-23 (the
# stored URL is an annual-report page, not a round; Revolut has no November 2023 funding event).
company,round,count,metric_kind,is_paying,as_worded_on_the_page
Aledade,Jun-23,1500,BUSINESS_CUSTOMERS,UNKNOWN,"more than 1,500 independent primary care practices in 2023"
Aledade,Jun-23,2000000,OTHER_PATIENTS_COVERED,UNKNOWN,collectively cover more than two million patients
Aledade,Jun-23,1000000,OTHER_PATIENTS_COVERED,UNKNOWN,more than one million patients under the Medicare Shared Savings Program
Aledade,Jun-23,250000,OTHER_PATIENTS_COVERED,UNKNOWN,"nearly 250,000 patients under Medicare Advantage contracts"
Brex,Jan-22,1000,OTHER_EMPLOYEES,NO,"The company expects to have 1,000 employees by month's end"
Cohere,Jun-23,180,OTHER_EMPLOYEES,NO,"Cohere, which has around 180 employees"
Databricks,Sep-23,10000,BUSINESS_CUSTOMERS,YES,"Ended the quarter with more than 10,000 global customers"
Databricks,Sep-23,300,OTHER_CUSTOMERS_ABOVE_1M_RUNRATE,YES,including >300 customers consuming at $1M+ annual revenue run-rate
Databricks,Sep-23,30000,OTHER_EVENT_ATTENDEES,UNKNOWN,"the sold-out Data and AI Summit in June with over 30,000 global attendees"
Databricks,Sep-23,6000,OTHER_EMPLOYEES,NO,"around 6,000 employees"
Glean,Jun-25,100000000,OTHER_AGENT_ACTIONS,UNKNOWN,the platform is already powering more than 100 million agent actions annually
Glean,Jun-25,1000000000,OTHER_AGENT_ACTIONS,UNKNOWN,supporting one billion agent actions by the end of the year
Glean,Jun-25,10000,OTHER_EVENT_ATTENDEES,UNKNOWN,"brought together more than 10,000 attendees in person and online"
Glean,Jun-25,100,OTHER_INTEGRATED_APPLICATIONS,UNKNOWN,"ecosystem of 100+ integrated SaaS applications for deep, enterprise-wide context"
Glean,Jun-25,100,OTHER_CONNECTORS,UNKNOWN,"With over 100 connectors, LLM options"
Guesty,Apr-24,200,OTHER_INDUSTRY_PARTNERS,UNKNOWN,With a complete suite of features and 200+ industry partners
Guesty,Apr-24,750,OTHER_EMPLOYEES,NO,"Today, Guesty has 15 offices and 750+ team members across the globe."
Guesty,Apr-24,250,OTHER_EMPLOYEES,NO,an R&D team of 250+
Liquid Death,Mar-24,113000,OTHER_RETAIL_DOORS,UNKNOWN,"expanded to 113,000 retail doors across the US and UK"
Liquid Death,Mar-24,7900000,OTHER_SOCIAL_FOLLOWERS,NO,Liquid Death's social following captures 7.9 million followers across TikTok and Instagram
Mirakl,Sep-21,300,BUSINESS_CUSTOMERS,UNKNOWN,over 300 of the world's leading brands
Mirakl,Sep-21,350,OTHER_EMPLOYEES,NO,Hiring 350 engineers
Mirakl,Sep-21,500,OTHER_EMPLOYEES,NO,"growing the Mirakl Labs team to 500, by 2023"
Patreon,Apr-21,200000,OTHER_CREATORS,UNKNOWN,"over 200,000 creators sharing their work on Patreon"
Patreon,Apr-21,7000000,OTHER_PATRONS,UNKNOWN,more than 7 million patrons across the world
Plaid,Apr-25,1200,OTHER_EMPLOYEES,NO,"Presently, it has 1,200 employees across the United States, Canada, the United Kingdom, and the EU."
Ramp,Nov-25,50000,CUSTOMERS,UNKNOWN,"Serving over 50,000 customers, doubling year-over-year"
Ramp,Nov-25,2200,OTHER_CUSTOMERS_ABOVE_100K_ARR,YES,"over 2,200 customers contributing $100,000 or more in annualized revenue"
Ramp,Nov-25,26146619,OTHER_AI_DECISIONS,UNKNOWN,"In October, Ramp's AI made 26,146,619 decisions across more than $10 billion in spend"
