# LISTED FULL REFRESH, 1-Sep-2026. Transcribed by Opus from Daniil's screenshots in the session they
# arrived. The source workbook is in another sandbox and cannot be exported, so this is the only
# transfer route available. Daniil recalculated fiscal-year figures and calendarised them by hand,
# and added the broker estimate count for FY+1 revenue.
# na = n.a. in the sheet. nm = n.m. HIDDEN = the cell was truncated by column width and unreadable.
# BROKEN = the sheet itself shows #DIV/0! or #N/A.
#
# TWO CORRECTIONS FROM DANIIL, 1-Sep, applied here.
# 1. TSE:9418 U-NEXT gross profit is 955, not the 355 I first read. It now ties: 2155/955 = 2.3x,
#    which is the multiple the sheet shows. This was the single discrepancy the check could not
#    explain by rounding, and it is closed.
# 2. NASDAQ:MELI and NASDAQGS:MELI are NOT a duplicate to be collapsed. Same enterprise value,
#    two different volume denominators: GMV of 65,037 on the commerce row and TPV of 277,823 on
#    the payments row. MercadoLibre is therefore two comparables, and AV/TPV is to be calculated
#    separately from AV/GMV. Recorded on the tracker as an open build item.
#    The other six repeated tickers ARE true duplicates and collapse on the normalised symbol:
#    GigaCloud, Freightos, Kanzhun, LegalZoom, Copart, Xometry.
ticker,company_name,year_end,calendarization,currency,fx_usd_per_lcy,balance_sheet_driven,market_cap_musd,price_per_share,eqv_av_bridge_musd,av_musd,n_estimates,gmv_cy0,gmv_cy1,gmv_cy2,gmv_ntm,revenue_ntm_musd,gross_profit_musd,net_income_musd,bvps,av_gmv_pct,av_ntm_revenue_x,av_ntm_gp_x,pe_x,pbv_x,growth_cy1_pct,growth_cy2_pct,growth_cy3_pct,cagr_cy1_cy3_pct,ni_growth_cy2_pct
ENXTPA:74SW,74Software,31-Dec-25,0.00,EUR,1.16,0,1335,46,269,1604,7,na,na,na,na,878,604,93,na,na,1.8,2.7,14.3,na,4.6,3.6,3.9,3.8,13.8
NYSE:ATEN,A10 Networks Inc.,31-Dec-25,0.00,USD,1.00,0,1812,25,-131,1680,6,na,na,na,na,355,285,85,na,na,4.7,5.9,21.2,na,13.3,11.6,11.4,11.5,14.2
NASDAQGS:ACIW,ACI Worldwide Inc.,31-Dec-25,0.00,USD,1.00,0,5172,51,696,5868,4,na,na,na,na,2002,981,386,na,na,2.9,6.0,13.4,na,8.3,7.6,7.6,7.6,3.2
OM:ANOD B,Addnode Group AB,31-Dec-25,0.00,SEK,0.10,0,654,5,253,907,6,na,na,na,na,645,500,53,na,na,1.4,1.8,12.4,na,4.0,4.1,4.5,4.3,22.8
NASDAQGS:ADBE,Adobe Inc.,28-Nov-25,-0.09,USD,1.00,0,113717,286,1451,115168,36,na,na,na,na,28369,25403,10288,na,na,4.1,4.5,11.1,na,11.4,9.0,8.8,8.9,8.2
NASDAQGS:AGYS,Agilysys Inc.,31-Mar-26,0.25,USD,1.00,0,3165,112,-105,3060,9,na,na,na,na,398,261,79,na,na,7.7,11.7,40.1,na,16.1,16.7,18.0,17.4,39.2
NASDAQGS:API,Agora Inc.,31-Dec-25,0.00,USD,1.00,0,337,4,-242,95,2,na,na,na,na,178,36,25,na,na,0.5,2.6,13.7,na,14.1,16.1,16.1,16.1,63.8
NASDAQGS:AKAM,Akamai Technologies Inc.,31-Dec-25,0.00,USD,1.00,0,15300,106,4723,20023,23,na,na,na,na,4880,2656,1065,na,na,4.1,7.5,14.4,na,6.7,13.0,11.1,12.0,9.1
NASDAQGS:ALRM,Alarm.com Holdings Inc.,31-Dec-25,0.00,USD,1.00,0,2730,56,-78,2652,6,na,na,na,na,1117,746,165,na,na,2.4,3.6,16.6,na,7.1,4.7,5.0,4.9,7.8
LSE:ALFA,Alfa Financial Software,31-Dec-25,0.00,GBP,1.35,0,671,2,-23,648,7,na,na,na,na,191,122,39,na,na,3.4,5.3,17.0,na,6.2,7.7,7.1,7.4,5.1
NASDAQGS:ALKT,Alkami Technology Inc.,31-Dec-25,0.00,USD,1.00,0,2069,19,277,2346,8,na,na,na,na,589,384,109,na,na,4.0,6.1,18.9,na,19.4,16.6,14.5,15.6,48.0
NASDAQGS:DOX,Amdocs Limited,30-Sep-25,-0.25,USD,1.00,0,6536,63,922,7458,5,na,na,na,na,4843,1883,829,na,na,1.5,4.0,7.9,na,3.5,3.4,3.8,3.6,5.0
NASDAQCM:AMPL,Amplitude Inc.,31-Dec-25,0.00,USD,1.00,0,1728,14,-152,1576,12,na,na,na,na,454,329,20,na,na,3.5,4.8,87.0,na,19.5,15.9,19.6,17.7,151.2
NASDAQGM:APPF,AppFolio Inc.,31-Dec-25,0.00,USD,1.00,0,7979,225,-186,7793,10,na,na,na,na,1255,804,286,na,na,6.2,9.7,27.9,na,18.2,17.4,17.3,17.4,22.9
NASDAQGM:APPN,Appian Corporation,31-Dec-25,0.00,USD,1.00,0,2893,40,127,3020,7,na,na,na,na,911,678,96,na,na,3.3,4.5,30.3,na,16.9,10.8,7.4,9.1,31.6
NASDAQGM:AIP,Arteris Inc.,31-Dec-25,0.00,USD,1.00,0,1019,21,-113,906,6,na,na,na,na,110,99,2,na,na,8.2,9.2,423.1,na,37.0,21.1,27.8,24.4,nm
NYSE:ASAN,Asana Inc.,31-Jan-26,0.08,USD,1.00,0,2266,10,-176,2090,16,na,na,na,na,901,797,97,na,na,2.3,2.6,23.3,na,8.9,8.0,8.3,8.2,69.5
XTRA:AOF,ATOSS Software SE,31-Dec-25,0.00,EUR,1.16,0,1826,115,-131,1695,9,na,na,na,na,271,212,67,na,na,6.3,8.0,27.4,na,13.0,13.7,13.3,13.5,15.1
NASDAQGS:ADSK,Autodesk Inc.,31-Jan-26,0.08,USD,1.00,0,51769,248,-652,51117,33,na,na,na,na,8845,8189,2813,na,na,5.8,6.2,18.4,na,15.7,11.1,10.9,11.0,16.8
NASDAQGS:AVPT,AvePoint Inc.,31-Dec-25,0.00,USD,1.00,0,2856,14,-391,2466,13,na,na,na,na,581,433,107,na,na,4.2,5.7,26.7,na,21.7,20.5,21.3,20.9,8.9
NASDAQGM:BLZE,Backblaze Inc.,31-Dec-25,0.00,USD,1.00,0,838,14,33,870,7,na,na,na,na,203,160,18,na,na,4.3,5.4,46.0,na,18.6,25.6,21.8,23.7,11.2
NASDAQGS:BSY,Bentley Systems Incorporated,31-Dec-25,0.00,USD,1.00,0,11051,36,1118,12169,17,na,na,na,na,1815,1499,478,na,na,6.7,8.1,23.1,na,12.9,10.5,10.5,10.5,12.8
NYSE:BILL,BILL Holdings Inc.,30-Jun-26,0.50,USD,1.00,0,4061,48,-40,4021,18,371300,415170,451666,439567,1844,1545,346,na,0.9,2.2,2.6,11.7,na,11.8,8.8,9.5,9.1,123.1
NASDAQGS:BLKB,Blackbaud Inc.,31-Dec-25,0.00,USD,1.00,0,2137,48,1123,3259,4,na,na,na,na,1214,763,252,na,na,2.7,4.3,8.5,na,4.3,4.6,4.6,4.6,9.5
TSX:BB,BlackBerry Limited,28-Feb-26,0.16,USD,1.00,0,4587,8,-130,4458,8,na,na,na,na,647,504,121,na,na,6.9,8.8,37.8,na,10.5,10.6,11.8,11.2,26.5
NASDAQGS:BL,BlackLine Inc.,31-Dec-25,0.00,USD,1.00,0,1872,32,187,2059,11,na,na,na,na,820,664,197,na,na,2.5,3.1,9.5,na,9.5,10.5,10.2,10.4,13.2
NYSE:BLND,Blend Labs Inc.,31-Dec-25,0.00,USD,1.00,0,367,2,-52,315,6,na,na,na,na,136,106,24,na,na,2.3,3.0,15.0,na,3.7,9.1,12.0,10.5,29.5
NYSE:BOX,Box Inc.,31-Jan-26,0.08,USD,1.00,0,4824,35,111,4935,11,na,na,na,na,1357,1093,251,na,na,3.6,4.5,19.2,na,9.5,8.9,9.1,9.0,17.3
NASDAQGS:BRZE,Braze Inc.,31-Jan-26,0.08,USD,1.00,0,3692,33,-305,3387,21,na,na,na,na,986,666,93,na,na,3.4,5.1,39.8,na,21.9,17.0,14.1,15.5,101.1
NYSE:AI,C3.ai Inc.,30-Apr-26,0.33,USD,1.00,0,1607,10,-517,1091,15,na,na,na,na,237,120,-138,na,na,4.6,9.1,nm,na,-21.4,2.7,9.5,6.1,nm
NASDAQGS:CDNS,Cadence Design Systems Inc.,31-Dec-25,0.00,USD,1.00,0,86209,313,1073,87282,24,na,na,na,na,6886,6040,2515,na,na,12.7,14.5,34.3,na,19.3,13.4,13.0,13.2,17.8
NASDAQGS:CCC,CCC Intelligent Solutions,31-Dec-25,0.00,USD,1.00,0,4264,7,1253,5518,11,na,na,na,na,1230,948,294,na,na,4.5,5.8,14.5,na,9.9,8.9,8.1,8.5,14.6
NASDAQGS:CRNC,Cerence Inc.,30-Sep-25,-0.25,USD,1.00,0,381,8,59,440,5,na,na,na,na,296,234,42,na,na,1.5,1.9,9.0,na,14.9,-5.0,3.4,-0.9,19.2
AIM:CER,Cerillion Plc,30-Sep-25,-0.25,GBP,1.35,0,388,13,-38,350,7,na,na,na,na,78,61,26,na,na,4.5,5.7,14.9,na,14.9,9.9,8.4,9.1,11.3
NYSE:NET,Cloudflare Inc.,31-Dec-25,0.00,USD,1.00,0,101664,286,-633,101031,31,na,na,na,na,3421,2508,589,na,na,29.5,40.3,172.6,na,32.5,28.6,28.1,28.4,34.4
NASDAQGS:CVLT,Commvault Systems Inc.,31-Mar-26,0.25,USD,1.00,0,5355,129,-12,5342,17,na,na,na,na,1370,1116,231,na,na,3.9,4.8,23.1,na,12.2,11.1,11.5,11.3,33.4
NASDAQGS:CCSI,Consensus Cloud Solutions,31-Dec-25,0.00,USD,1.00,0,662,36,467,1129,3,na,na,na,na,369,296,116,na,na,3.1,3.8,5.7,na,3.0,3.7,6.9,5.3,3.7
TSX:CSU,Constellation Software Inc.,31-Dec-25,0.00,USD,1.00,0,46497,2194,3053,49550,11,na,na,na,na,15364,10454,2759,na,na,3.2,4.7,16.9,na,18.9,16.7,13.6,15.2,15.4
TSX:CVO,Coveo Solutions Inc.,31-Mar-26,0.25,USD,1.00,0,279,3,-93,187,7,na,na,na,na,172,134,4,na,na,1.1,1.4,71.1,na,9.7,12.2,10.7,11.5,nm
NASDAQGS:CRWD,CrowdStrike Holdings Inc.,31-Jan-26,0.08,USD,1.00,0,220218,215,-4156,216062,49,na,na,na,na,6781,5337,1497,na,na,31.9,40.5,147.1,na,24.5,22.2,21.9,22.1,39.2
NASDAQGS:DDOG,Datadog Inc.,31-Dec-25,0.00,USD,1.00,0,80375,224,-3708,76668,45,na,na,na,na,5139,4124,1092,na,na,14.9,18.6,73.6,na,30.5,22.3,23.5,22.9,22.6
NYSE:DOCN,DigitalOcean Holdings Inc.,31-Dec-25,0.00,USD,1.00,0,12807,109,1211,14018,18,na,na,na,na,1602,817,216,na,na,8.7,17.2,59.4,na,30.8,53.7,48.4,51.1,32.2
TSX:DCBO,Docebo Inc.,31-Dec-25,0.00,USD,1.00,0,631,25,48,679,9,na,na,na,na,294,236,51,na,na,2.3,2.9,12.3,na,13.5,10.1,11.9,11.0,6.9
NASDAQGS:DOCU,DocuSign Inc.,31-Jan-26,0.08,USD,1.00,0,12343,65,-631,11712,19,na,na,na,na,3651,2982,910,na,na,3.2,3.9,13.6,na,8.5,7.7,6.8,7.2,14.9
NASDAQGS:DBX,Dropbox Inc.,31-Dec-25,0.00,USD,1.00,0,7450,34,2862,10311,9,na,na,na,na,2514,2042,707,na,na,4.1,5.0,10.5,na,-0.1,-0.3,-0.1,-0.2,-0.5
NYSE:DT,Dynatrace Inc.,31-Mar-26,0.25,USD,1.00,0,15277,53,-997,14280,33,na,na,na,na,2466,2055,605,na,na,5.8,6.9,25.2,na,15.8,14.8,14.2,14.5,39.3
NYSE:ESTC,Elastic N.V.,30-Apr-26,0.33,USD,1.00,0,9700,92,-865,8835,31,na,na,na,na,2107,1636,399,na,na,4.2,5.4,24.3,na,15.9,14.8,14.6,14.7,13.4
TSX:ENGH,Enghouse Systems Limited,31-Oct-25,-0.17,CAD,0.72,0,649,12,-192,457,4,na,na,na,na,348,217,54,na,na,1.3,2.1,12.1,na,-4.4,3.5,9.3,6.3,1.5
NASDAQGS:EVCM,EverCommerce Inc.,31-Dec-25,0.00,USD,1.00,0,1426,8,400,1826,8,na,na,na,na,633,492,125,na,na,2.9,3.7,11.4,na,4.2,4.9,4.5,4.7,6.2
HLSE:FSECURE,F-Secure Oyj,31-Dec-25,0.00,EUR,1.16,0,399,2,163,562,4,na,na,na,na,187,155,29,na,na,3.0,3.6,13.6,na,7.0,4.9,4.0,4.5,28.2
