company_name	exchange_ticker	country	archetype	metric_wanted
Intuit Inc.	NASDAQGS:INTU	United States	Business Applications	Total payment volume / gross transaction value, latest full fiscal year, company-reported
GoDaddy Inc.	NYSE:GDDY	United States	Cloud & Infrastructure	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Wix.com Ltd.	NASDAQGS:WIX	Israel	Cloud & Infrastructure	Total payment volume / gross transaction value, latest full fiscal year, company-reported
ACI Worldwide, Inc.	NASDAQGS:ACIW	United States	Commerce & Payments Software	Total payment volume / gross transaction value, latest full fiscal year, company-reported
BILL Holdings, Inc.	NYSE:BILL	United States	Commerce & Payments Software	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Lightspeed Commerce Inc.	TSX:LSPD	Canada	Commerce & Payments Software	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Riskified Ltd.	NYSE:RSKD	United States	Commerce & Payments Software	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Shoper S.A.	WSE:SHO	Poland	Commerce & Payments Software	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Shopify Inc.	NASDAQGS:SHOP	Canada	Commerce & Payments Software	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Al Ansari Financial Services PJSC	DFM:ALANSARI	United Arab Emirates	Cross-Border & FX	Total payment volume / gross transaction value, latest full fiscal year, company-reported
CAB Payments Holdings plc	LSE:CABP	United Kingdom	Cross-Border & FX	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Euronet Worldwide, Inc.	NASDAQ:EEFT	United States	Cross-Border & FX	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Flywire Corporation	NASDAQ:FLYW	United States	Cross-Border & FX	Total payment volume / gross transaction value, latest full fiscal year, company-reported
OFX Group Limited	ASX:OFX	Australia	Cross-Border & FX	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Payoneer Global Inc.	NASDAQ:PAYO	United States	Cross-Border & FX	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Remitly Global, Inc.	NASDAQ:RELY	United States	Cross-Border & FX	Total payment volume / gross transaction value, latest full fiscal year, company-reported
The Western Union Company	NYSE:WU	United States	Cross-Border & FX	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Wise plc	LSE:WISE	United Kingdom	Cross-Border & FX	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Bakkt, Inc.	NYSE:BKKT	United States	Crypto & Digital Assets	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Bullish	NYSE:BLSH	Cayman Islands	Crypto & Digital Assets	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Coinbase Global, Inc.	NASDAQ:COIN	United States	Crypto & Digital Assets	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Ally Financial Inc.	NYSE:ALLY	United States	Digital Bank & Deposits	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Axos Financial, Inc.	NYSE:AX	United States	Digital Bank & Deposits	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Block, Inc.	NYSE:XYZ	United States	Digital Bank & Deposits	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Bread Financial Holdings, Inc.	NYSE:BFH	United States	Digital Bank & Deposits	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Capital One Financial Corporation	NYSE:COF	United States	Digital Bank & Deposits	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Chime Financial, Inc.	NASDAQ:CHYM	United States	Digital Bank & Deposits	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Coastal Financial Corporation	NASDAQGS:CCB	United States	Digital Bank & Deposits	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Inter & Co, Inc.	NASDAQ:INTR	Brazil	Digital Bank & Deposits	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Live Oak Bancshares, Inc.	NYSE:LOB	United States	Digital Bank & Deposits	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Medallion Financial Corp.	NASDAQGS:MFIN	United States	Digital Bank & Deposits	Total payment volume / gross transaction value, latest full fiscal year, company-reported
Merchants Bancorp	NASDAQGS:MBIN	United States	Digital Bank & Deposits	Total payment volume / gross transaction value, latest full fiscal year, company-reported
NewtekOne, Inc.	NASDAQGS:NEWT	United States	Digital Bank & Deposits	Total payment volume / gross transaction value, latest full fiscal year, company-reported
