# Fairway positioning tags for the listed fintech set. Keyed on exchange_ticker, 87 rows.
#
# TWO VOCABULARY FAMILIES, and which one a name gets is the most important call in this file.
# If the company SELLS SOFTWARE to financial institutions it keeps the SOFTWARE archetypes with
# industry = Financial Services, so a founder building core-banking software matches Temenos AND
# nCino AND the listed software set in one pass. If the company IS A FINANCIAL BUSINESS, earning
# on money it moves, lends, underwrites, custodies or matches, it gets one of ten new archetypes
# defined by ECONOMIC ENGINE rather than sector. Visa at 14.0x and Global Payments at 3.4x are
# both "payments"; a network taking a toll on volume it does not underwrite is not an acquirer
# carrying settlement risk, and a single tag covering both would carry no information.
#
# nCino, Q2 and BILL are INHERITED verbatim from peers-software-tags.csv rather than retyped,
# so the two files cannot drift.
#
# ADVERSARIALLY VERIFIED, Aug 2026. Four agents challenged every field against segment revenue in
# the latest annual reports. 83 field changes were accepted across 47 of the 87 names. The pattern
# was the same one the software audit found: the companies I got wrong were the ones whose name
# describes one business and whose segment disclosure describes another. Toast is 82% payments
# revenue and 72% payments gross profit. Corpay has no software subscription line at all. EVERTEC
# is 18% acquiring and 82% bank processing. Paytm has no bank: the licence was cancelled in 2026.
#
# industry means WHOSE INDUSTRY THE CUSTOMER IS IN. Financial Services is reserved for companies
# selling TO financial institutions. A payments company serving ordinary merchants is Horizontal,
# and an insurer selling cover to consumers is Horizontal, not Insurance.
exchange_ticker,company_name,archetype,archetype_secondary,industry,function,buyer,gtm_motion,revenue_model,product_role,ai_stance,product_tags,what_it_does
NYSE:V,Visa Inc.,Payment Network,,Financial Services,Finance & Payments,ENT_IT,ENT_SALES,TAKE_RATE,INFRA_LAYER,AI_EMBEDDED,Card Network|Payment Network|Credit Card|Debit Card|Interchange|Cross-Border Payments|Tokenization|Fraud Prevention,"global card network taking a fee on every transaction routed over it; contracts with issuing banks and acquirers, not with cardholders, and carries no credit risk"
NYSE:MA,Mastercard Incorporated,Payment Network,"Data, AI & Developer Tools",Financial Services,Finance & Payments,ENT_IT,ENT_SALES,TAKE_RATE,INFRA_LAYER,AI_EMBEDDED,Card Network|Payment Network|Credit Card|Debit Card|Interchange|Cross-Border Payments|Real-Time Payments|Fraud Prevention,"global card network earning on routed volume, with a growing services layer in fraud, data and consulting sold to the same issuers"
NYSE:AXP,American Express Company,Payment Network,Lending & Credit,Horizontal,Finance & Payments,CONSUMER,CHANNEL,TAKE_RATE,INFRA_LAYER,AI_EMBEDDED,Charge Card|Credit Card|Closed-Loop Network|Merchant Discount|Corporate Card|Travel & Entertainment|Rewards|Consumer Lending,"closed-loop network that issues the card, lends against it and runs the rails, so it earns the merchant discount AND the interest, unlike Visa or Mastercard"
NASDAQ:PYPL,"PayPal Holdings, Inc.",Merchant Acquiring & PSP,,Horizontal,Finance & Payments,SMB,PLG,TAKE_RATE,SOE,AI_EMBEDDED,Online Payments|Digital Wallet|Checkout|Braintree|Venmo|Peer-to-Peer Payments|Buy Now Pay Later|Merchant Services,"checkout button and wallet on one side, full merchant acquiring through Braintree on the other, earning a take rate on both"
NYSE:XYZ,"Block, Inc.",Digital Bank & Deposits,Merchant Acquiring & PSP,Horizontal,Finance & Payments,CONSUMER,PLG,TAKE_RATE,SOR,AI_EMBEDDED,Point of Sale|POS|Merchant Payments|Cash App|Peer-to-Peer Payments|Bitcoin|SMB Banking|Payroll,"two businesses under one roof: card acceptance and software for small merchants, and a consumer money app that earns on transfers, bitcoin and interchange"
NYSE:FIS,"Fidelity National Information Services, Inc.",Vertical Software,,Financial Services,Banking & Lending,ENT_IT,ENT_SALES,PLATFORM,SOR,AI_EMBEDDED,Core Banking|Payment Processing|Capital Markets Software|Treasury Management|Digital Banking|Card Issuing|Risk & Compliance,core banking and capital-markets software sold to financial institutions; the merchant acquiring business was largely divested with Worldpay
NASDAQ:FISV,"Fiserv, Inc.",Merchant Acquiring & PSP,Vertical Software,Horizontal,Banking & Lending,ENT_IT,ENT_SALES,PLATFORM,SOR,AI_EMBEDDED,Core Banking|Merchant Acquiring|Clover|Payment Processing|Card Issuing|Digital Banking|Bill Payment,"bank core processing plus Clover merchant acquiring, so it sits on both sides of a payment and bills the bank and the merchant"
NYSE:GPN,Global Payments Inc.,Merchant Acquiring & PSP,Vertical Software,Horizontal,Finance & Payments,SMB,CHANNEL,TAKE_RATE,INFRA_LAYER,AI_EMBEDDED,Merchant Acquiring|Payment Processing|Point of Sale|Issuer Processing|Integrated Payments|Software-Led Payments,"merchant acquiring distributed largely through software partners and banks, plus an issuer-processing arm"
NYSE:WU,The Western Union Company,Cross-Border & FX,,Horizontal,Finance & Payments,CONSUMER,CHANNEL,TAKE_RATE,INFRA_LAYER,AI_NEUTRAL,Remittance|Money Transfer|Cross-Border Payments|Cash Payout|Agent Network|Consumer Money Movement,"moves cash across borders for consumers through a physical agent network, earning a fee plus an FX spread on each transfer"
NYSE:FOUR,"Shift4 Payments, Inc.",Merchant Acquiring & PSP,Vertical Software,Horizontal,Finance & Payments,SMB,CHANNEL,TAKE_RATE,INFRA_LAYER,AI_EMBEDDED,Merchant Acquiring|Integrated Payments|Restaurant Payments|Hospitality Payments|Point of Sale|Gateway|Stadium & Venue,"payments embedded inside restaurant, hotel and venue software, won through the software vendor rather than the merchant"
