# RAW. Listed ecommerce, marketplaces, travel, classifieds, media and consumer brands, WITH GMV.
# S&P Capital IQ Pro screen, currency USD, as supplied by Daniil 30-Aug-2026. 74 names, rows 9-82.
# DO NOT EDIT. Derived working copy is data/peers-ecommerce.csv.
#
# THE FORWARD GMV FIGURES ARE DANIIL'S, NOT THE BROKERS'. His note, verbatim in substance: brokers
# do not usually publish GMV estimates, so he assumed GMV grows at the same rate as revenue in local
# currency, then built NTM GMV by pro-rating the 2026 figure at about 36% of the year remaining and
# the 2027 figure at about 64% of NTM. So:
#   gmv_cy0_musd     is the company's own reported figure where one exists
#   gmv_cy1/cy2/ntm  are DERIVED by applying revenue growth to that reported base
# Any EV/GMV multiple built on the forward columns therefore inherits a growth assumption. It is a
# reasonable one and it is not a broker estimate, and the reveal must never present it as though a
# third party forecast it. Company-reported GMV, with its exact definition, period and scope, is in
# data/gmv-disclosures.csv, which is the file to cite to a founder.
#
# GROWTH IS DEFINED DIFFERENTLY IN THIS PULL FROM THE SOFTWARE AND FINTECH PULLS OF THE SAME DAY.
# Here there are four revenue years, CY+0 to CY+3, and three growth columns:
#   revenue_growth_cagr_cy1_cy3_pct   TWO-YEAR CAGR FROM CY+1 TO CY+3. Verified by recomputation on
#                                     Amazon, JD, PDD, Sea and MercadoLibre.
#   revenue_growth_cy1_pct            CY+0 to CY+1
#   revenue_growth_cy2_pct            CY+1 to CY+2
# The software and fintech files carry a CY+0 to CY+2 CAGR. Both are two-year forward CAGRs but they
# are anchored a year apart, so they are close cousins and NOT the same measure. The loader takes
# the CY+1 to CY+3 figure here and the CY+0 to CY+2 figure there, and records which in g_basis so a
# comparison across the two can never be made silently.
#
# TWO ROWS LOOK WRONG ON THE SCREEN AND ARE TRANSCRIBED AS SHOWN RATHER THAN CORRECTED.
#   Autohome: local revenue jumps 6,452 to 729 between CY+0 and CY+1, which reads as a currency
#             switch in the source, and its enterprise value of $29m against a $2.6bn market cap
#             implies a very large net cash position. Growth of -89% is an artefact of the first.
#   CarMax:   revenue NTM and local CY+1 disagree slightly, 26,386 against 26,986.
# Both are flagged rather than fixed, because guessing at a source error is how a wrong number gets
# laundered into looking right.
company_name,exchange_ticker,market_cap_musd,enterprise_value_musd,gmv_cy0_musd,gmv_cy1_musd,gmv_cy2_musd,gmv_ntm_musd,revenue_cy1_musd,revenue_cy2_musd,revenue_ntm_musd,gross_profit_musd,ev_ntm_gmv_x,ev_ntm_revenue_x,ev_ntm_gp_x,revenue_local_cy0,revenue_local_cy1,revenue_local_cy2,revenue_local_cy3,revenue_growth_cagr_cy1_cy3_pct,revenue_growth_cy1_pct,revenue_growth_cy2_pct
"Amazon.com, Inc.",NASDAQGS:AMZN,2789664,2917916,,,,,828186,946577,903762,464784,,3.2,6.3,716924,828186,946577,1095337,15,16,14
Alibaba Group Holding Limited,NYSE:BABA,278060,240149,,,,,163134,185780,177590,69962,,1.4,3.4,1016744,1096652,1248889,1516137,18,8,14
"JD.com, Inc.",NASDAQGS:JD,39473,26004,,,,,202280,214042,209789,35095,,0.1,0.7,1309085,1359807,1438879,1511555,5,4,6
PDD Holdings Inc.,NASDAQGS:PDD,125800,59322,,,,,71296,79638,76621,42424,,0.8,1.4,431846,479281,535356,583052,10,11,12
"MercadoLibre, Inc.",NASDAQGS:MELI,97476,104938,65037,93804,119774,110382,41673,53210,49038,20626,1.0,2.1,5.1,28893,41673,53210,66194,26,44,28
Sea Limited,NYSE:SE,71985,67151,127400,172364,210559,196746,31034,37911,35424,15816,0.3,1.9,4.2,22938,31034,37911,44671,20,35,22
"Coupang, Inc.",NYSE:CPNG,29569,29092,,,,,37020,42011,40206,11278,,0.7,2.6,26312,37020,42011,46966,13,41,13
eBay Inc.,NASDAQGS:EBAY,46338,50121,79609,89736,95667,93535,12512,13342,13042,9525,0.5,3.8,5.3,11100,12512,13342,14189,6,13,7
"Etsy, Inc.",NASDAQGS:ETSY,7437,9391,11917,11774,12297,12108,2849,2975,2930,2138,0.8,3.2,4.4,2884,2849,2975,3104,4,-1,4
Allegro.eu S.A.,WSE:ALE,11953,12863,18395,21498,23988,23087,3626,4046,3894,,0.6,3.3,,11458,13391,14942,16649,12,17,12
Zalando SE,XTRA:ZAL,6411,6295,19853,22306,23546,23098,16194,17094,16768,6704,0.3,0.4,0.9,12346,13871,14643,15398,5,12,6
ASOS Plc,LSE:ASC,646,1289,3203,3032,3065,3053,3079,3112,3100,1540,0.4,0.4,0.8,2386,2259,2283,2332,2,-5,1
Vipshop Holdings Limited,NYSE:VIPS,6978,3214,29704,32183,32965,32683,15698,16079,15941,3736,0.1,0.2,0.9,97399,105528,108092,110056,2,8,2
Baozun Inc.,NASDAQGS:BZUN,165,306,,,,,1578,1684,1646,1210,,0.2,0.3,9945,10608,11320,12121,7,7,7
"1stdibs.Com, Inc.",NASDAQGM:DIBS,160,109,364,371,375,374,91,92,92,68,0.3,1.2,1.6,90,91,92,92,1,2,1
"DoorDash, Inc.",NASDAQGS:DASH,96838,94807,102018,132544,159667,149859,17821,21468,20149,10475,0.6,4.7,9.1,13717,17821,21468,25405,19,30,20
"Uber Technologies, Inc.",NYSE:UBER,160954,163008,193454,215500,248373,236485,57945,66784,63587,28021,0.7,2.6,5.8,52017,57945,66784,76186,15,11,15
