# COMPANY-DISCLOSED VOLUME METRICS: the single overlay of GMV, TPV and other gross transaction
# value that the ISSUER ITSELF publishes. Merges data/gmv-disclosures.csv (the ecommerce sheet,
# 30-Aug-2026) with the logistics, services, consumer and payments research sheet of the same day.
#
# metric_category is the line that stops a category error. CORE_GMV is a marketplace's own
# transaction value, the number a founder in that model would quote. ADJACENT_GROSS_VOLUME is a
# payments or lending throughput figure: a real disclosure, but not GMV, and it must never be
# pooled with GMV multiples. NOT_DISCLOSED means the issuer publishes revenue and often unit
# volumes but no monetary gross figure. EXCLUDED means the business model has none to publish, and
# is a conclusion rather than a gap: those names must not come back onto the sourcing list.
#
# NEEDS_FX in fx_basis means the issuer reports in a currency we have no dated rate for yet.
# The local figure is recorded; the USD column is deliberately empty. We do not invent a rate.
# VOLUME USABILITY ADDED 31-Aug-2026. A gross-volume figure may PRICE a company only when the
# enterprise value and the volume describe the same thing. Two ways they do not. A BALANCE-SHEET
# LENDER earns on its own book and prices on price to book, so value over volume is not a multiple
# of anything. And a SEGMENT VOLUME against a GROUP ENTERPRISE VALUE compares two different
# companies: U-NEXT is a streaming business whose cashless arm has a GMV, and dividing group value
# by segment volume produced 341.6x, which is how the error announced itself.
# A row marked NO keeps its disclosure. It is a fact about the company; it is not a denominator.
#
# FX ADDED 31-Aug-2026, at the average rate for each issuer's own fiscal year. THREE ROWS ARRIVED
# WITH A SCALE ERROR and are corrected here: U-NEXT, Digital Garage and AvenuesAI report in
# billions or trillions of local currency and the supplied conversion multiplied by the rate
# without normalising to millions, so they were out by a thousand and a million times.
company_name,exchange_ticker,status,metric_category,issuer_metric_name,fiscal_period,value_local_musd,currency,fx_local_per_usd,fx_basis,value_usd_musd,scope,exact_wording,source_url,origin,volume_usable,volume_usable_reason,fx_scale_check
"Amazon.com, Inc.",NASDAQGS:AMZN,NOT_DISCLOSED,,,"FY2025, year ended 2025-12-31",,,,,,Latest 10-K describes third-party seller activity but discloses no consolidated GMV,,,gmv-disclosures 30-Aug ecommerce sheet,,,
Alibaba Group Holding Limited,NYSE:BABA,NOT_DISCLOSED,,,"FY2026, year ended 2026-03-31",,,,,,Annual report references the world's largest retail marketplace without a GMV figure,,,gmv-disclosures 30-Aug ecommerce sheet,,,
"JD.com, Inc.",NASDAQGS:JD,NOT_DISCLOSED,,,"FY2025, year ended 2025-12-31",,,,,,Latest 20-F discusses the online marketplace without a disclosed GMV,,,gmv-disclosures 30-Aug ecommerce sheet,,,
PDD Holdings Inc.,NASDAQGS:PDD,NOT_DISCLOSED,,,"FY2025, year ended 2025-12-31",,,,,,Latest 20-F reports transaction services revenue rather than GMV,,,gmv-disclosures 30-Aug ecommerce sheet,,,
"MercadoLibre, Inc.",NASDAQGS:MELI,DISCLOSED,CORE_GMV,Gross merchandise volume,"FY2025, year ended 2025-12-31",65037.0,USD,1.0,Reported in USD,65037.0,Consolidated / company-defined scope,,,gmv-disclosures 30-Aug ecommerce sheet,YES,,
Sea Limited,NYSE:SE,DISCLOSED,CORE_GMV,Gross merchandise value (Shopee),"FY2025, year ended 2025-12-31",127400.0,USD,1.0,Reported in USD,127400.0,SHOPEE SEGMENT ONLY,,,gmv-disclosures 30-Aug ecommerce sheet,YES,,
"Coupang, Inc.",NYSE:CPNG,NOT_DISCLOSED,,,"FY2025, year ended 2025-12-31",,,,,,Latest 10-K reports net retail sales and net other revenue rather than GMV,,,gmv-disclosures 30-Aug ecommerce sheet,,,
eBay Inc.,NASDAQGS:EBAY,DISCLOSED,CORE_GMV,GMV,"FY2025, year ended 2025-12-31",79609.0,USD,1.0,Reported in USD,79609.0,Consolidated marketplace,,,gmv-disclosures 30-Aug ecommerce sheet,YES,,
"Etsy, Inc.",NASDAQGS:ETSY,DISCLOSED,CORE_GMV,Gross merchandise sales (GMS),"FY2025, year ended 2025-12-31",11916.9,USD,1.0,Reported in USD,11916.9,Consolidated / company-defined scope,,,gmv-disclosures 30-Aug ecommerce sheet,YES,,
Allegro.eu S.A.,WSE:ALE,DISCLOSED,CORE_GMV,GMV,FY2025,69163.1,PLN,3.8,Calendar 2025,18395.0,Continuing Group; EXCLUDES DISCONTINUED OPERATIONS,,,gmv-disclosures 30-Aug ecommerce sheet,YES,,
