"# Fairway positioning tags for the LISTED LOGISTICS, SERVICES MARKETPLACE, CONSUMER SUBSCRIPTION"
"# and PAYMENTS set. Written 30-Aug-2026."
# Keyed on exchange_ticker. THESE TICKERS WERE RECOVERED, NOT SUPPLIED: the pull that brought these
# 123 names in had its ticker column hidden in the screenshots, so every ticker here was researched
# and cross-checked against at least two sources. Five are marked low confidence in the notes below
# and should be verified against the workbook before anyone relies on them:
#   Sinotrans           SEHK:598 chosen over the Shanghai A-share line 601598
#   Reysas              IBSE:RYSAS, the symbol is right, the Istanbul exchange mnemonic is not sure
#   Freightos           NASDAQGM:CRGO may be NASDAQCM:CRGO
#   Kanzhun             NASDAQGS:BZ may be NASDAQGM:BZ
#   Fawry               CASE:FWRY may be EGX:FWRY
# One catch worth recording: Hays plc is LSE:HAS, not LSE:HAYS. The obvious guess is wrong and would
# have created a phantom company.
#
# SUBSCRIPTION IS A REVENUE MODEL, NOT A BUSINESS. Daniil's ruling is applied throughout: Costco and
# BJ's bill an annual membership and are warehouse RETAILERS; gyms are physical-venue consumer
# businesses; only companies whose product is genuinely content and audience are Streaming & Digital
# Media. Rent the Runway bills a subscription and owns the clothes, so it is Owned-Inventory Retail.
#
# TAXONOMY GAP FOUND AND NOT PAPERED OVER. The vocabulary has no bucket for HARDWARE MANUFACTURERS.
# NCR Atleos, Diebold Nixdorf and PAX Global all sell physical ATM and terminal hardware, and all
# three sit under Commerce & Payments Software as the least wrong option. There is also no bucket
# for physical fitness venues or for telecoms, so gyms and Aussie Broadband sit under Consumer Brand
# with the industry field doing the real work. Worth a decision rather than leaving it implicit.
exchange_ticker,company_name,archetype,archetype_secondary,industry,function,buyer,gtm_motion,revenue_model,product_role,ai_stance,acv_usd_disclosed,in_stats,product_tags,what_it_does
NYSE:UPS,United Parcel Service,Local Delivery & On-Demand,Commerce Enablement & Fulfilment,Horizontal,Operations,LOB,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_EMBEDDED,,1,Parcel Delivery|Ground And Air Network|Own Fleet|Supply Chain Solutions|Freight Brokerage|Healthcare Logistics|Global Scale,"runs an owned ground-and-air parcel network moving packages for e-commerce and enterprise shippers, paid per shipment"
NYSE:FDX,FedEx Corporation,Local Delivery & On-Demand,Commerce Enablement & Fulfilment,Horizontal,Operations,LOB,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_EMBEDDED,,1,Express Parcel|Air Cargo Network|Ground Delivery|Freight Division|Own Aircraft Fleet|Enterprise Shipping Contracts,operates an owned air-and-ground express network delivering parcels and freight for a per-shipment fee
NYSE:XPO,"XPO, Inc.",Commerce Enablement & Fulfilment,,Horizontal,Supply Chain,LOB,ENT_SALES,TRANSACTION_FEE,INFRA_LAYER,AI_EXPOSED,,1,Less Than Truckload|Own Terminal Network|Freight Trucking|Enterprise Shippers|North American Ground Network|LTL Network Density,runs an owned less-than-truckload trucking network moving palletized freight between its own terminals
NYSE:GXO,"GXO Logistics, Inc.",Commerce Enablement & Fulfilment,,Horizontal,Supply Chain,LOB,ENT_SALES,SERVICES_LED,INFRA_LAYER,AI_EMBEDDED,,1,Contract Warehousing|E-commerce Fulfilment|Outsourced Operations|Warehouse Robotics|Multi-year Client Contracts|Reverse Logistics,runs outsourced warehouses and fulfilment operations under multi-year contracts for large retailers and manufacturers
NYSE:RXO,"RXO, Inc.",Commerce Enablement & Fulfilment,,Horizontal,Supply Chain,LOB,ENT_SALES,TAKE_RATE,AGGREGATOR,AI_EMBEDDED,,1,Truck Brokerage|Digital Freight Matching|Asset-light Model|Full Truckload|Managed Transportation|Carrier Network,"brokers truckload freight between shippers and independent carriers via a digital marketplace, earning the spread"
NASDAQGS:CHRW,C.H. Robinson Worldwide,Commerce Enablement & Fulfilment,,Horizontal,Supply Chain,LOB,ENT_SALES,TAKE_RATE,AGGREGATOR,AI_EMBEDDED,,1,Third Party Logistics|Freight Brokerage|Navisphere Platform|Global Forwarding|Multimodal|Carrier Sourcing,"buys transportation capacity from carriers and resells it to shippers across truck, rail, ocean and air, keeping the margin"
NASDAQGS:EXPD,Expeditors International,Commerce Enablement & Fulfilment,,Horizontal,Supply Chain,LOB,ENT_SALES,TAKE_RATE,AGGREGATOR,AI_EXPOSED,,1,Freight Forwarding|Customs Brokerage|Ocean And Air|Non-asset Model|Global Network|Supply Chain Services,arranges international air and ocean freight and customs clearance for shippers without owning transport assets
NASDAQGS:HUBG,"Hub Group, Inc.",Commerce Enablement & Fulfilment,,Horizontal,Supply Chain,LOB,ENT_SALES,TAKE_RATE,AGGREGATOR,AI_EXPOSED,,1,Intermodal Freight|Truck Brokerage|Logistics Services|Asset-light Trucking|North American Network|Drayage Services,"arranges intermodal rail and truck freight movements for shippers, blending owned drayage with brokered capacity"
NYSEAMERICAN:RLGT,"Radiant Logistics, Inc.",Commerce Enablement & Fulfilment,,Horizontal,Supply Chain,LOB,CHANNEL,TAKE_RATE,AGGREGATOR,AI_EXPOSED,,1,Freight Forwarding|Agent Network|Multimodal Brokerage|Small Cap 3PL|Franchise-like Agents|Acquisition Roll-up,operates a network of independent agent offices that broker freight forwarding and truck brokerage services
NYSE:COLD,Americold Realty Trust,Commerce Enablement & Fulfilment,,Real Estate,Supply Chain,LOB,ENT_SALES,SERVICES_LED,INFRA_LAYER,AI_EXPOSED,,1,Cold Storage REIT|Temperature Controlled Warehousing|Food Logistics|Owned Real Estate|Storage And Handling Fees|REIT Structure,"owns and operates temperature-controlled warehouses, billing food and grocery customers storage and handling fees"
NASDAQGS:LINE,"Lineage, Inc.",Commerce Enablement & Fulfilment,,Real Estate,Supply Chain,LOB,ENT_SALES,SERVICES_LED,INFRA_LAYER,AI_EMBEDDED,,1,Cold Storage REIT|Warehouse Automation|Temperature Controlled Network|Global Footprint|2024 IPO|REIT Structure,"owns and operates the world's largest cold-storage warehouse network, billing food producers for storage and throughput"
