# Fairway positioning tags for the listed consumer, commerce and marketplace set. Keyed on exchange_ticker.
#
# THIS SET USES THE THIRD VOCABULARY FAMILY. See docs/consumer-commerce-taxonomy.md. Gross margin in
# the listed software set runs 24% to 98%, median 77%. Here it runs 8% to 100% and it is bimodal, and
# median EV/NTM revenue moves 4.3x across the margin buckets while EV/NTM gross profit moves 1.8x. So
# gross profit is the primary denominator for this family.
#
# mix_note IS A DISPLAY REQUIREMENT, NOT A COMMENT. Where a name is filled in, the reveal must show it
# beside the company whenever that company appears as a comparable. Amazon's multiple is not a commerce
# multiple while a third of its gross profit is AWS, and a founder comparing themselves to it has to be
# told so on the same line.
#
# in_medians=0 means the row stays VISIBLE and comes out of every median, with the reason on the row.
# SIZE IS NEVER ONE OF THOSE REASONS. Baozun is a 165 market cap and stays in the set; it is out of the
# medians because its minority interest is 163% of its market cap, which is a numerator problem.
exchange_ticker,company_name,archetype,archetype_secondary,industry,function,buyer,gtm_motion,revenue_model,product_role,asset_intensity,purchase_frequency,ai_stance,in_medians,mix_note,out_of_medians_reason,product_tags,what_it_does
NASDAQGS:AMZN,"Amazon.com, Inc.",Third-Party Marketplace,Owned-Inventory Retail,Horizontal,Commerce Operations,CONSUMER,ORGANIC_BRAND,GMV_RETAIL,DESTINATION,MIXED,REPEAT_TRANSACTION,AI_EMBEDDED,1,About a third of group gross profit is AWS. Neither the margin nor the multiple is a clean commerce read.,,Online Marketplace|E-commerce|General Merchandise|Third-Party Sellers|Fulfilment|Same-Day Delivery|Subscription Commerce|Retail Media|Cloud Infrastructure,"1P retail and a 3P marketplace on one demand base, with fulfilment, advertising and AWS attached; roughly a third of group gross profit is cloud, so neither the margin nor the multiple is a clean commerce read"
NYSE:BABA,Alibaba Group Holding Limited,Third-Party Marketplace,Cloud & Infrastructure,Horizontal,Marketplace Operations,SMB,NETWORK_EFFECT,TAKE_RATE,DESTINATION,MIXED,REPEAT_TRANSACTION,AI_EMBEDDED,1,"Cloud and Cainiao logistics are consolidated alongside the marketplace, which is what pulls group gross margin to 40%.",,Online Marketplace|E-commerce|Third-Party Sellers|Retail Media|Cross-Border Commerce|Logistics Network|Cloud Infrastructure,"Taobao and Tmall earn a commission and advertising fee from merchants who hold their own stock; Cainiao logistics and Alibaba Cloud are consolidated alongside, which is what pulls the group gross margin to 40%"
NASDAQGS:JD,"JD.com, Inc.",Owned-Inventory Retail,Third-Party Marketplace,Horizontal,Commerce Operations,CONSUMER,ORGANIC_BRAND,GMV_RETAIL,DESTINATION,RESALE_INVENTORY,REPEAT_TRANSACTION,AI_EMBEDDED,1,,,Online Retail|E-commerce|First-Party Retail|Electronics|Owned Logistics|Same-Day Delivery|Third-Party Sellers,"buys and holds its own stock and delivers it on its own logistics network, so revenue is the full ticket price and gross margin is 16%"
NASDAQGS:PDD,PDD Holdings Inc.,Third-Party Marketplace,,Horizontal,Marketplace Operations,SMB,NETWORK_EFFECT,TAKE_RATE,DESTINATION,NONE,REPEAT_TRANSACTION,AI_EMBEDDED,1,,,Online Marketplace|E-commerce|Discount Retail|Third-Party Sellers|Social Commerce|Cross-Border Commerce|Retail Media,"asset-light marketplace taking transaction and advertising fees from merchants, plus Temu cross-border; holds no inventory, which is why it clears 57% gross margin against JD's 16%"
NASDAQGS:MELI,"MercadoLibre, Inc.",Third-Party Marketplace,Merchant Acquiring & PSP,Horizontal,Marketplace Operations,SMB,NETWORK_EFFECT,TAKE_RATE,DESTINATION,MIXED,REPEAT_TRANSACTION,AI_EMBEDDED,1,Mercado Pago is a payments and credit business inside the marketplace; part of the multiple is fintech.,,Online Marketplace|E-commerce|Third-Party Sellers|Latin America|Payments|Digital Wallet|Merchant Credit|Fulfilment|Retail Media,"Latin American marketplace with a payments and credit business attached, so it earns a take rate on the goods and a spread on the money that moves for them"
NYSE:SE,Sea Limited,Third-Party Marketplace,Gaming & Virtual Economy,Horizontal,Marketplace Operations,SMB,NETWORK_EFFECT,TAKE_RATE,DESTINATION,MIXED,REPEAT_TRANSACTION,AI_NEUTRAL,1,Garena games and SeaMoney credit sit inside the same listing as Shopee and carry a large share of group profit.,,Online Marketplace|E-commerce|Southeast Asia|Third-Party Sellers|Mobile Games|Digital Wallet|Consumer Credit|Retail Media,"Shopee marketplace, Garena games and SeaMoney credit under one listing; the games business funded the marketplace and still carries a large share of group profit"
NYSE:CPNG,"Coupang, Inc.",Owned-Inventory Retail,Third-Party Marketplace,Horizontal,Commerce Operations,CONSUMER,ORGANIC_BRAND,GMV_RETAIL,DESTINATION,RESALE_INVENTORY,REPEAT_TRANSACTION,AI_NEUTRAL,1,,,Online Retail|E-commerce|First-Party Retail|Owned Logistics|Same-Day Delivery|Subscription Commerce|Grocery|Third-Party Sellers,"Korean 1P retailer that owns the warehouses and the last mile; the moat is delivery speed, and the cost of it sits in a 30% gross margin"
NASDAQGS:EBAY,eBay Inc.,Third-Party Marketplace,,Horizontal,Marketplace Operations,SMB,NETWORK_EFFECT,TAKE_RATE,DESTINATION,NONE,REPEAT_TRANSACTION,AI_EMBEDDED,1,,,Online Marketplace|E-commerce|Third-Party Sellers|Auctions|Collectibles|Recommerce|Managed Payments|Retail Media,"pure marketplace with no inventory and no logistics, monetised on final value fees and a growing advertising line; 72% gross margin is what an asset-light matcher looks like"
NYSE:ETSY,"Etsy, Inc.",Third-Party Marketplace,,Horizontal,Marketplace Operations,SMB,NETWORK_EFFECT,TAKE_RATE,DESTINATION,NONE,REPEAT_TRANSACTION,AI_EMBEDDED,1,,,Online Marketplace|E-commerce|Handmade Goods|Craft|Third-Party Sellers|Long Tail Supply|Seller Services|Retail Media,"marketplace for handmade and vintage goods where the differentiated supply is the moat; takes a transaction fee, an ad fee and a payments fee from the seller"
WSE:ALE,Allegro.eu S.A.,Third-Party Marketplace,Owned-Inventory Retail,Horizontal,Marketplace Operations,SMB,NETWORK_EFFECT,TAKE_RATE,DESTINATION,MIXED,REPEAT_TRANSACTION,AI_NEUTRAL,1,,,Online Marketplace|E-commerce|Central Europe|Third-Party Sellers|Subscription Commerce|Delivery Network|Retail Media,dominant Polish marketplace with a Smart subscription and its own parcel-locker delivery layer; the screen carries no gross profit line for it
