# INVESTOR ENRICHMENT, COMPLETED. Received 3-Sep-2026 21:00 UTC.
# Source: Google Sheet 'investor_enrichment_complete_3Sep2026', supplied by Daniil, researched in
# another chat in this project against docs/prompts/investor-enrichment.md.
# Sheet: https://docs.google.com/spreadsheets/d/1lAUpp5Mbw-jdVc47-rO7c16LLOSg5SDDucHVabSW1mk
#
# 78 rows in, one per row of data/raw/2026-09-03_investor-enrichment-targets.csv. 30 callable,
# 48 evidence_only. Joined onto data/investors.csv on investor_key by
# tools/apply_investor_enrichment.py. THIS FILE IS THE RECORD OF WHAT WAS SUPPLIED and is never
# edited to match the engine: if the engine and this file disagree, the engine is wrong.
investor_key,investor_name,verdict,first_cheque_low_m,first_cheque_high_m,cheque_currency,geographies,stage_bands,thesis_one_liner,cheque_range_source,geographies_source,dormant_note
accel,Accel,callable,1,2,USD,India; Indian-origin founders anywhere,Pre-seed; Seed,"Accel Atoms is a pre-seed scaling program for Indian and Indian-origin founders building from anywhere, for companies that have raised under $2M.",https://atoms.accel.com/faqs (Accel Atoms pre-seed programme),https://atoms.accel.com/faqs,Cheque and geography are the Accel Atoms programme only. Accel's core funds publish no cheque range and no investing geography. Accel co-led a $6m seed for Atlas on 9 Apr 2026.
acrew,Acrew Capital,callable,1,15,USD,,Seed; Series A,"Acrew's Early Fund leads or co-leads seed and Series A rounds in data and security, fintech and health.",https://www.acrewcapital.com/ (Early Fund; the separate Inflection Fund states $10-20 MM at Series B and later),NOT STATED,No investing geography stated on their own site. Co-led Monk's $25m Series A on 21 Apr 2026.
addition,Addition,evidence_only,,,,,,,,,
adobe,Adobe Ventures,evidence_only,,,,,,,,,
alkeon,Alkeon Capital,evidence_only,,,,,,,,,
alphawave,Alpha Wave,evidence_only,,,,,,,,,
altimeter,Altimeter Capital,evidence_only,,,,,,,,,
amex,Amex Ventures,evidence_only,,,,,,,,,
amplify,Amplify,callable,,,,,Pre-seed; Seed; Series A,"Amplify invests in technical founders building the next generation of applications, models, tools and infrastructure.",NOT STATED,NOT STATED,"No cheque figure and no investing geography published. The $400M on the Fund 6 page is a fund size, not a cheque. Led Waypoint Bio's $20m Series A on 2 Jun 2026."
andbank,Andbank,evidence_only,,,,,,,,,
andreessenhorowitz,Andreessen Horowitz,callable,,1,USD,Global,Seed; Series A; Series B; Series C,"We invest in seed to venture to growth-stage technology companies, across AI, bio and healthcare, consumer, crypto, enterprise, fintech, games, infrastructure, and companies building toward American dynamism.","https://a16z.com/speedrun/ (a16z speedrun accelerator, ceiling only)",https://a16z.com/speedrun/,Cheque is the speedrun accelerator only; the core funds publish no cheque range. Same firm as the a16z row: merge before this reaches founders. Led Pillar's $20m seed on 14 Apr 2026.
atomico,Atomico,callable,,,,Europe,Seed; Series A; Series B; Series C,"Atomico Venture VI works with founders earlier in their journey, predominantly at Series A, alongside occasional Seed opportunities.",NOT STATED,https://atomico.com/insights/dollar124-billion-as-european-technology-comes-of-age,"No cheque range published for Venture VI or Growth VI. The Atomico Angel Programme's $100k allocation is money given to an angel, not a cheque to a founder, and no new cohort has been published since Nov 2022, so it is not recorded here. Led Callosum's seed on 20 Aug 2026."
avra,Avra,evidence_only,,,,,,,,,Programme is invite-only and gated at post Series A.
bdtmsd,BDT & MSD Partners,evidence_only,,,,,,,,,
bailliegifford,Baillie Gifford,evidence_only,,,,,,,,,
