source_file,transaction_id,company_key,company_name,date_iso,round_type,revenue_metric,revenue_musd,revenue_basis,revenue_period,ev_revenue_x,revenue_source_url,growth_pct_at_round,growth_band,growth_band_basis,growth_source_url,growth_quote,not_found_reason,growth_arithmetic,growth_source_date,growth_measure_seen,growth_is_floor,seen_not_loaded,flags,notes
private-rounds-consumer.csv,quince-2026-03,quince,Quince,2026-03,Series E,FY2025 revenue,1000.0,NET_REVENUE,LTM,10.1,,100,GROWING,DISCLOSED,https://www.prnewswire.com/news-releases/quince-raises-500m-series-e-resulting-in-10-1b-valuation-to-accelerate-the-manufacturer-to-consumer-platform-302710298.html,"Since launch, Quince has experienced triple digit growth year over year, every single fiscal year.",,,2026-03,"triple digit growth year over year; the same release says ""last year surpassed $1 billion in top-line revenue""",yes,"Sacra estimates $2.0bn annualized revenue in February 2026, which contradicts the $1bn the company itself discloses, so the whole Sacra series was not used.",,"The release does not name the measure in the growth sentence. Retail Dive of 11 March 2026 (https://www.retaildive.com/news/Quince-500-million-series-e-valuation-tops-10b/814412/) reports the same claim and does name it: ""The DTC brand, best known for its attractively priced cashmere sweaters, said revenue grows by triple digits annually and topped $1 billion last year."" Recorded at the floor of 100 because ""triple digit"" means at least 100 per cent."
private-rounds-consumer.csv,stockx-2021-04,stockx,StockX,2021-04,Series E-1 plus tender,FY2020 GAAP revenue of over $400 million (threshold),400.0,GROSS_REVENUE,LTM,9.5,,67,MATURE,DERIVED,https://www.prnewswire.com/news-releases/stockx-valuation-surges-to-3-8-billion-with-255-million-financing-301264729.html,"For the year ended December 31, 2020 the company closed more than 7.5 million trades and hit $1.8 billion in gross merchandise value (GMV), which resulted in GAAP revenue of over $400 million.",,"FY2020 GAAP revenue over $400.0m (StockX round release, April 2021) / FY2019 revenue $239.0m (Front Office Sports, 18 February 2021: ""StockX previously had $239 million in revenue in 2019."") - 1 = 67.4%, recorded 67. A floor, because the 2020 figure is stated as ""over"".",2021-04,GAAP revenue,yes,"FY2020 GMV $1.8bn against over $1bn in 2019, and 7.5m trades: both are volume measures and were not used. StockX also published a Q3-only revenue growth rate of 75 per cent, which is a quarter, not a year.",,"The row carried no revenue_source_url. The 2020 leg is now the company's own round release, which also confirms the $400m the row prices on is revenue and not GMV. The 2019 leg is Front Office Sports, corroborated by Huddle Up of 19 February 2021 (""StockX has reported $400M in revenue for 2020, up from $239M in 2019""). TechCrunch's December 2020 revenue figures are the journalist's own take-rate arithmetic off GMV and were rejected."
private-rounds-consumer.csv,skims-2023-07,skims,SKIMS,2023-07,Series C,FY2023 forecast net sales,750.0,NET_REVENUE,NTM,5.3,,50,MATURE,THIRD_PARTY_DATED,https://www.retaildive.com/news/kim-kardashian-skims-reaches-4-billion-valuation-dtc/688400/,"Additionally, the brand is expected to reach net sales of $750 million in 2023, an increase from nearly $500 million last year.",,,2023-07,net sales,no,"Sacra states the same pair as an estimate (""Sacra estimates SKIMS hit $750 million in revenue in 2023, up 50% year-over-year from $500 million in 2022""). Sacra was not needed: Retail Dive carries the same two figures in the round week and calls them net sales.","FORWARD LOOKING: the sources say ""expected to reach"" and ""on track to reach"" $750m for 2023, so this is the expected rate, not an achieved one. It matches the row, whose revenue_period is NTM and whose $750m is the same expected figure.","This is the row the 9 September pass held out as Sacra-only. Under the ruling that Sacra is accepted where nothing better exists, a better source turned out to exist: Retail Dive of 19 July 2023, the round week, corroborated by Business of Fashion (""The company is on track to reach $750 million in net sales this year, up from about $500 million in 2022.""). Loaded on Retail Dive, not on Sacra. No source gives SKIMS 2021 revenue, so a trailing 2022-over-2021 rate cannot be built."
private-rounds.csv,remote-2022-04,remote,Remote,2022-04,,ARR,100.000,ARR,RUN_RATE,30.00,https://remote.com/blog/series-c,1200,HYPER,DISCLOSED,https://www.globenewswire.com/news-release/2022/04/05/2416485/0/en/Remote-secures-300-million-Series-C-financing-to-power-global-employment.html,"As more companies seek to employ talent around the world, the funding round comes on the heels of exponential growth resulting in a 900% employee increase and more than 13-fold growth in annual recurring revenue in the past year, making Remote the fastest-growing employer of record company.",,"""More than 13-fold growth"" in the past year is read as ARR ending at more than 13 times the year-earlier level, so at least +1200%. A floor.",2022-04,annual recurring revenue,yes,"The same sentence gives a 900 per cent employee increase, which is headcount and was not used.",,"The row's source URL (remote.com/blog/series-c) is dead. The live round announcement is the GlobeNewswire release of 5 April 2022, mirrored at remote.com/blog/company-news/213004-remote-secures-300-million-series-c-financing-to-power-global-employment and on Index Ventures' site with identical wording. This is the company's own release, on the measure the row prices on, for the twelve months to the round. The alternative reading of ""13-fold growth"" as an increase OF 13x (ending at 14x, +1300%) is less standard; either reading is HYPER."
private-rounds.csv,plaid-2021-04,plaid,Plaid,2021-04,,Annual revenue,170.000,GROSS_REVENUE,LTM,78.82,https://plaid.com/blog/series-d/,70,MATURE,DERIVED,https://www.justice.gov/d9/press-releases/attachments/2020/11/05/filed_visa_plaid_complaint_0.pdf,Plaid's revenues have been growing rapidly and were almost $100 million in 2019.,,"December 2020 annualized revenue $170.0m, which is the figure this row already prices on, from Forbes of 7 April 2021 (""Annualized revenue reached about $170 million by December 2020, a source tells Forbes"") / FY2019 revenue almost $100.0m, United States v. Visa antitrust complaint, filed 5 November 2020, paragraph 21 = +70%.",2020-11,"revenues (DOJ, FY2019); annualized revenue (Forbes, at December 2020)",no,"TechCrunch and Forbes both give 60 per cent customer growth in 2020, which is a count and was not used. TechCrunch of January 2020 gives 2019 revenue as a range, ""between $100 million and $200 million"", which is too wide to compute from; the DOJ figure is narrower and supersedes it.","THE TWO LEGS ARE NOT THE SAME PERIOD TYPE: the 2019 leg is a full financial year, the 2020 leg is a December run rate annualised. On a business whose revenue was rising through the year, comparing a year-end run rate to a prior full year flatters the rate. Two biases run in opposite directions and neither is quantified: ""almost $100 million"" pushes the true rate above 70, the run-rate mismatch pushes it below. Not marked as a floor for that reason. This is the weakest of the eleven rows loaded today and is the one to strike first if you want it gone.","The DOJ complaint is a sworn federal filing and is the only hard 2019 revenue figure that exists for Plaid. Fortune of June 2021 corroborates the size (""Visa saw revenues pegged at less than $100 million in 2019"")."
private-rounds.csv,zopa-2021-10,zopa,Zopa,2021-10-18,Pre-IPO equity,Revenue run-rate at the round,116.0,ARR_RUNRATE,RUN_RATE,8.9,https://techcrunch.com/2021/10/18/zopa-raises-300m-at-a-1b-valuation-to-expand-its-p2p-lending-and-savings-neobank-in-the-uk/,186,GROWING,THIRD_PARTY_DATED,https://alternativecreditinvestor.com/2022/07/26/zopa-losses-reach-41-6m-in-2021/,"During the 12-month period, the group's operating income increased by 186 per cent to £60.5m",,,2022-07,the group's operating income,no,"The same article gives an annualised revenue run rate of £114m, which is a level and a later one than the £85m the row prices on. Zopa's own site reports 2022 total operating income up 131 per cent to £151m, which is the twelve months to December 2022, roughly fourteen months after the round, and was not used. The October 2021 round release says revenue per customer more than doubled, which is a per-unit measure.","ENTITY MISMATCH TO CHECK: the 186 per cent is Zopa Group (operating income of £60.5m for 2021). Zopa's own 2022 statement of ""+131% to £151m"" back-implies a 2021 base of about £65.4m, which is Zopa Bank Limited, a different entity in the structure. The two are close but not the same. If the file needs bank-level rather than group-level growth, this figure is not it, and Zopa Bank Limited's FY2021 accounts at Companies House would have to be read directly.","Operating income is the revenue line for a bank, so this is the closest thing to revenue growth that exists for Zopa; no ARR growth is published. The figures come from Zopa's annual accounts filed at Companies House on 25 July 2022, reported by Alternative Credit Investor the following day. Companies House returns 403 to the fetcher, so the primary document itself could not be read here."
private-rounds.csv,sumup-2022-06,sumup,SumUp,2022-06,,Annualized revenue,1000.000,ARR_RUNRATE,RUN_RATE,8.50,https://sumup.com/press/sumup-raises-eur590m/,60,MATURE,STATED,https://techcrunch.com/2022/06/23/sumup-raises-624m-at-8-5b-valuation-with-its-payments-and-business-tech-now-used-by-4m-smbs/,"Altogether, SumUp's revenues have grown 60% annually in the last couple of years, Christ said.",,,2022-06,revenues,no,"SumUp's own later releases report transaction and merchant counts only. Sacra estimates $600m of annualized revenue in 2025, which is the wrong period and an estimate.",,"Marc-Alexander Christ, SumUp co-founder and CFO, in the round-announcement interview published the day the June 2022 round was announced. Basis is STATED rather than DISCLOSED because it is an executive in an interview with no release or filing behind it. The wording is ""60% annually in the last couple of years"", so it is an annual rate sustained across roughly 2020 to 2022 rather than one clean year-on-year comparison. The row prices on an ARR run rate and no ARR growth figure exists, so revenue growth is used under the 9 September ruling. The row's own source URL (sumup.com/press/sumup-raises-eur590m/) times out."
private-rounds.csv,wiz-2024-05,wiz,Wiz,2024-05,Series E,ARR,350.0,ARR,RUN_RATE,34.3,https://www.wiz.io/blog/celebrating-our-1-billion-funding-round-and-12-billion-valuation,75,MATURE,DERIVED,https://techcrunch.com/2024/10/23/wiz-hopes-to-hit-1b-in-arr-in-2025-before-an-ipo-after-turning-down-googles-23b/,"ARR at the cloud security startup was at about $350 million in May, but was already around $500 million by July when it walked from Google, TechCrunch reported at the time.",,"ARR $350.0m in May 2024 (TechCrunch, 23 October 2024, ""in May"") / ARR $200.0m in May 2023 (CNBC, 9 May 2023: ""The cybersecurity software vendor said in August that it reached $100 million in annual recurring revenue after selling its product for just a year and a half."" followed by ""Nine months later, the revenue figure reached $200 million."") - 1 = +75%. Exactly twelve months apart, same measure.",2024-10,ARR / annual recurring revenue,no,"Wiz's own round release says only ""At 4 years old, Wiz has shattered growth records, achieving $350M ARR in 2023"", a level with no prior year, and its round blog carries no revenue figure at all. Globes of February 2024 gives a 40 per cent figure that is market share of Fortune 100 customers, not growth. The CEO's ""we can still grow in triple digits a year"" is forward-looking commentary.","Both endpoints are round numbers stated approximately (""about $350 million"", ""reached $200 million""), so the 75 is a clean twelve-month pairing of two soft figures.","Contrary Research independently states ""In May 2023, Wiz had reached $200 million in ARR"", which corroborates the earlier leg. CNBC was used as the primary because Contrary is an aggregator."
private-rounds.csv,wefox-2021-05,wefox,wefox,2021-05,Series C,REVENUE,140.0,GROSS_REVENUE,LTM,21.43,https://techcrunch.com/2021/05/31/european-insurtech-startup-wefox-grabs-650-million-at-3-billion-valuation/,100,GROWING,DISCLOSED,https://www.businesswire.com/news/home/20210531005320/en/wefox-Germanys-digital-insurance-unicorn-closes-%24650m-Series-C,"Furthermore, wefox's revenue increased to $143M in 2020, doubling its 2019 revenue.",,,2021-05,revenue,no,"eMarketer of 2 June 2021 states the same doubling with a third figure again: ""In 2020, wefox doubled its revenues to EUR119 million ($152.6 million)"". Not used, since the company's own release is closer to the figure the row holds.","The company's own release says $143M for 2020; the row prices on $140.0m, taken from TechCrunch of the same day (""In 2020 alone, the company generated $140 million in revenue.""). A $3m gap on the same measure and the same period. For the basis audit.","The release says ""doubling"", not ""more than doubling"", so 100 is recorded as a stated value and not as a floor. It is still a rounded characterisation: no source publishes wefox's 2019 revenue in absolute terms."
private-rounds.csv,roblox-2021-01,roblox,Roblox,2021-01,Series H,REVENUE,923.9,GROSS_REVENUE,LTM,31.9,https://www.sec.gov/Archives/edgar/data/1315098/000119312521008734/d87104ds1a.htm,82,GROWING,DISCLOSED,https://www.sec.gov/Archives/edgar/data/1315098/000119312521049767/d87104ds1a.htm,"Revenue grew 56% from $325.0 million in 2018 to $508.4 million in 2019 and grew 82%, to $923.9 million, in 2020.",,"Cross-check only: $923.9m / $508.4m - 1 = 81.7%, consistent with the 82 per cent the filing states.",2021-02,Revenue,no,"The January 2021 S-1/A (Amendment No. 2, accession 0001193125-21-005357, filed 8 January 2021) has no full-year 2020 revenue at all and still uses the pre-restatement basis: ""Revenue grew 56% from $312.8 million in 2018 to $488.2 million in 2019, and grew 68% from $349.9 million in the nine months ended September 30, 2019 to $588.7 million in the nine months ended September 30, 2020."" Those figures must not be set against the restated $923.9m and were not used.",,"The row's own S-1/A link is dead. The working document is Amendment No. 4, filed 22 February 2021, which is the first filing carrying the restated full-year 2020 figure. It states the rate directly and its $923.9m is exactly the figure the row prices on. The filing is six weeks after the round; DISCLOSED because it is the company's own filing stating the rate."
